aid,bvid,coin,comment,created,date,favorite,length,like,pic,play,share,time,title,video_review
371119945,BV12Z4y1H7ir,19325,3115,1592298002,2020/6/16,12335,10:42,108651,//i2.hdslb.com/bfs/archive/f9aef014d0c941981f1f00c5ff5ffef8de1b54e2.jpg,1104290,1175,17:0:2,大战键盘侠！,17465
968573076,BV1mp4y1D7Qt,43052,3381,1592018138,2020/6/13,23103,21:26,146931,//i1.hdslb.com/bfs/archive/6a1375dcef79b7ca4409cdf490e091305a6f8fc4.jpg,1605489,1395,11:15:38,一天要还50块钱！？把我内裤卖的我也攒不到那么多啊！,18676
243421756,BV1Zv411z7iu,32930,4651,1591704012,2020/6/9,24365,20:26,149718,//i0.hdslb.com/bfs/archive/87ef449f173a61e93711d07a5d66158273e4189e.jpg,1934086,3171,20:0:12,是兄弟就一起来抢宝石,20126
413474542,BV12V411r7yJ,62631,3848,1591523277,2020/6/7,25224,21:34,157228,//i2.hdslb.com/bfs/archive/7a05b354217823ca43384a3999f94ced0c977015.jpg,1618349,1960,17:47:57,打 工 日 记,20072
413271272,BV14V411C7pU,55529,4714,1590999604,2020/6/1,23087,17:57,169274,//i0.hdslb.com/bfs/archive/6b1d9501deac7b029292aa1ddf790e0491e2c8d0.jpg,1997467,1461,16:20:4,来到满是垃圾的小岛打工，发现事情并没有那么简单！,24074
668312610,BV1da4y1e79e,33364,3596,1590745551,2020/5/29,18816,23:05,144441,//i2.hdslb.com/bfs/archive/593d944ff3bc00c2c256a58edc672f6b1ea1789c.jpg,1817934,1906,17:45:51,爱喝牛奶有错吗！？这个游戏为了不让我买牛奶真的是煞费苦心,33433
498287023,BV1MK411s7rq,21108,3796,1590577822,2020/5/27,12725,16:53,108833,//i1.hdslb.com/bfs/archive/3f830c8d71c1fa6efc401cbcd08355329dc2ca6b.jpg,1561556,1113,19:10:22,猴王教你如何攀岩爬山！,15450
200793610,BV1Gz411B77a,23341,3955,1590290425,2020/5/24,15188,14:42,134401,//i1.hdslb.com/bfs/archive/2e3a8699de0b369a27bcf8534bd464d334f80552.jpg,2014078,1783,11:20:25,专业搬家！砸一赔十！,14763
540805667,BV1si4y1s7Dm,14288,3067,1590153513,2020/5/22,9616,16:59,110543,//i1.hdslb.com/bfs/archive/9a538db4bd39bec67eba0568d2c78943a5b3c88c.jpg,1237153,1481,21:18:33,为了野炊开了200公里，到了之后整个人都傻了,16443
455710142,BV1i5411s7yt,55131,5024,1589903272,2020/5/19,27625,20:35,178671,//i0.hdslb.com/bfs/archive/2e42e2d06dbd9073f070e05d02bd0d3e61a031e6.jpg,2372770,2361,23:47:52,这个公司的员工都必须要开除了！太懒了！,17098
328155436,BV1hA411t7NR,206176,17023,1589696982,2020/5/17,126349,09:22,496307,//i1.hdslb.com/bfs/archive/f09a490ac3381da7db56e4f0a3350ee78437924a.jpg,6497822,24450,14:29:42,表 面 兄 弟！,52998
925663778,BV1tT4y1u7MB,51418,4904,1589446291,2020/5/14,27865,15:28,204035,//i2.hdslb.com/bfs/archive/bb614465281849d27516ab0aac00ba14fdff5866.jpg,2911256,1642,16:51:31,不务正业的老矿工,25314
243074793,BV1me411p7tb,263568,15042,1589105415,2020/5/10,144352,09:19,525189,//i2.hdslb.com/bfs/archive/a6b1c539c31dedf3c8d7ca7ddb60ed529fb68474.jpg,5959187,17365,18:10:15,谁是内鬼挑战！,64017
498049241,BV1wK411L7MQ,37978,4659,1588894212,2020/5/8,21249,18:32,162482,//i1.hdslb.com/bfs/archive/0701c05d8abdf135a6b6d02a53a0a262e7b05f73.jpg,2389200,2497,7:30:12,送快递，我们是专业的！,29125
455596000,BV1a54114796,84008,7150,1588592649,2020/5/4,44653,19:47,260428,//i0.hdslb.com/bfs/archive/5881ee7dad05d404a6c112813a2ade2c8baf7077.jpg,3339204,6399,19:44:9,第一次去公司上班，差点把公司都拆完了,46367
753045246,BV1Hk4y1k7Ge,33061,7382,1588428689,2020/5/2,20401,12:25,169310,//i1.hdslb.com/bfs/archive/ca7bf28b77faf30e9fd590230aac09e4d8d6ad7e.jpg,2202419,2720,22:11:29,玩完这个游戏我就变成蜘蛛侠的仇人了！,26568
840488720,BV1m54y1Q7rX,34784,6487,1588075200,2020/4/28,22110,18:20,184630,//i1.hdslb.com/bfs/archive/af1f724fc0daef7dc42aaef68e33e2d69f07ecf7.jpg,2492560,2178,20:0:0,B站联合我的工具人一起把我骗了,41820
625376057,BV1kt4y127FK,54459,9283,1587920386,2020/4/27,33755,11:29,289097,//i1.hdslb.com/bfs/archive/de13a0283cbc019d537c462e4c0468e9dd7bbf39.jpg,3428894,3213,0:59:46,做了1000多个视频，看看播放量最低视频是什么！！,36073
327788944,BV1tA411b743,39515,4674,1587645052,2020/4/23,22567,12:00,148949,//i2.hdslb.com/bfs/archive/70e74693ac4613a68a25819a28ec1f24c12104c3.jpg,1241990,1599,20:30:52,被 安 排 的 一 天,21884
667772138,BV1qa4y1x76J,88302,10441,1587549621,2020/4/22,59797,11:25,262737,//i2.hdslb.com/bfs/archive/3d0108854b851d06f0fee11cc6a0e1c662fcf0c4.jpg,2870374,7483,18:0:21,谁才是真正的摄影带王？,52899
625276754,BV1Gt4y127AJ,58263,5613,1587200400,2020/4/18,29427,12:20,189887,//i1.hdslb.com/bfs/archive/8a10e798a75a7bfb8f88b29ca344aab1dac39cc3.jpg,2326979,2238,17:0:0,这个游戏既可以变大变小还能套娃，爱了爱了！,43767
412787851,BV1NV411Z7S1,220209,14336,1587052559,2020/4/16,128725,04:35,557388,//i2.hdslb.com/bfs/archive/87ada8eba8cc03d75a7b2404b91ad6ea1ddb50ec.jpg,7319972,34624,23:55:59,百大UP互殴现场！,61884
925278059,BV1ST4y1G7E1,36996,8049,1586851296,2020/4/14,20825,21:06,166293,//i0.hdslb.com/bfs/archive/390673d881f5e1ef1a28c9a762f1eb3f6564c427.jpg,2636509,2219,16:1:36,半夜在汉堡店打工发现惊天大秘密！,73886
840136516,BV1H54y1d76B,51111,6992,1586519814,2020/4/10,27697,17:40,181288,//i0.hdslb.com/bfs/archive/eacccc7fa1ab257382e02c9eed94cc86c8d8a64a.jpg,2588522,6813,19:56:54,送个快递把我给逼疯了！,34467
540167962,BV1wi4y187bu,206006,13163,1586279049,2020/4/8,113602,19:58,358503,//i2.hdslb.com/bfs/archive/17900c77cc35121650e8d56797d7d2b9cdc72254.jpg,4766365,20309,1:4:9,全员铁憨憨!,82909
327530580,BV1SA41187a7,41536,8441,1585587748,2020/3/31,22345,13:37,178206,//i1.hdslb.com/bfs/archive/b5b41772929d59652e505d04e255d39ce7dfe35d.jpg,3012293,5829,1:2:28,玩了这个买房子模拟器，再也不想买房子了!,119396
99792935,BV1h741197Lm,34189,5284,1585303237,2020/3/27,18977,22:52,141292,//i2.hdslb.com/bfs/archive/311feb3a11c047275d6c9a5950ee3e4f83797e30.jpg,2433240,4456,18:0:37,因为这个游戏，我体验了一把卧底的感觉,27522
99330497,BV11741117fj,91055,11349,1585147966,2020/3/25,36913,19:24,196091,//i1.hdslb.com/bfs/archive/48a316a9747baaf2afb2ffb1bdcd83111c312567.jpg,2330271,4671,22:52:46,这个游戏都快把我吓哭了！硬着头皮玩通关！,71912
98497198,BV1uE411c7yy,46295,18158,1584895136,2020/3/23,21367,20:39,166026,//i1.hdslb.com/bfs/archive/66ce92c5214053051ab9e1b6ad2b09fee2ae510d.jpg,2487777,2017,0:38:56,这个高中不简单！,48585
97391635,BV1z7411R7EP,45286,6512,1584705606,2020/3/20,21353,10:33,186040,//i1.hdslb.com/bfs/archive/0d5fe107af11c79d6422fbb6796b1836c2c0271d.jpg,2282826,2346,20:0:6,入职阿里巴巴的第二天就要变成印度网红了！？,25861
97147104,BV1R7411d7cV,38497,5157,1584527425,2020/3/18,15929,26:18,113919,//i0.hdslb.com/bfs/archive/af67a54013d1d8d6717bae0669516e39ebbcf5f9.jpg,1666455,2196,18:30:25,关乎逆风笑名誉的马车8决斗！,21794
97007793,BV1H7411d7H9,38146,5750,1584430557,2020/3/17,20420,15:47,155898,//i2.hdslb.com/bfs/archive/2f6c6d96cdc4a1506b87267763480f6a68b75b72.jpg,2524747,2918,15:35:57,这个游戏太真实了，让我对超市产生了恐惧！,31929
96387334,BV1DE41137tA,59912,4223,1584218313,2020/3/15,25469,27:31,160404,//i0.hdslb.com/bfs/archive/06cf5c137380ca038c892ae1b63ae5fd59f31e53.jpg,2000145,1783,4:38:33,深更半夜的潜入高中真的让我感到背后发凉！,35963
95855702,BV1zE41157G2,35681,4293,1584072041,2020/3/13,23819,12:25,153856,//i2.hdslb.com/bfs/archive/2a705dd45bff208d44f1ee25540563ecd7eacb65.jpg,2346068,2748,12:0:41,最强篮球队之我的队友都是演员！,35630
94624679,BV1DE411g7yC,36141,4324,1583663475,2020/3/8,16895,16:10,126035,//i1.hdslb.com/bfs/archive/fa9f1c6633f214c638a3f1d08b8463895837a279.jpg,2116930,2479,18:31:15,GMOD谋杀模式！我是演技小带王！,18463
94416892,BV1oE411u7AR,68624,8387,1583570970,2020/3/7,33282,14:17,183452,//i2.hdslb.com/bfs/archive/4ae57ece3c2ca75429a0debaec736dd7bbf66258.jpg,2091121,5662,16:49:30,出了一些魔鬼问题给现室友和前室友，分数最高可以赢大奖，看谁才是最佳室友！,60459
93932830,BV1sE411W7z7,32687,9094,1583409603,2020/3/5,15719,12:24,158301,//i0.hdslb.com/bfs/archive/591b9e2e0d5acd620b737c53defdbfe8aa87352b.jpg,2155327,7246,20:0:3,这个折叠屏手机 光开盖合盖我就可以玩一整天 瞎评测#5,33124
