title,comment,play,pic,aid,bvid,created,date,time,length,video_review,favorite,coin,share,like
见过一个VLOG能剪半年的人吗？带你们开开眼,3056,837788,//i1.hdslb.com/bfs/archive/a74114fee7be0e70cb2aacaf293c65cb6625b4a4.jpg,200865832,BV19z411v7h6,1590228349,2020/5/23,18:5:49,05:47,6314,13198,36522,3661,73450
纯黑《面容》最恐怖的游戏之一 唯一没敢通关的恐怖游戏,1771,599856,//i2.hdslb.com/bfs/archive/1818208ce2449a94f8ce8467393e0129e0362ebb.jpg,455702051,BV1W5411s7rG,1589819266,2020/5/19,0:27:46,26:34,6427,7163,9277,2399,26303
纯黑《毁灭战士：永恒》暴力屠怪 爽就完事了 第九章,460,151608,//i0.hdslb.com/bfs/archive/395435615663e0caf4a552462237018a08cc1d1c.jpg,243126199,BV1Qe411p7SP,1589715675,2020/5/17,19:41:15,38:03,1471,1078,3009,214,11216
【纯黑】《心魔》P6 四个结局全都有，我真良心,596,159986,//i1.hdslb.com/bfs/archive/3da40f6aa7067a612c95582e908b99c4bf090eab.jpg,285550317,BV16f4y1m7mm,1588926036,2020/5/8,16:20:36,34:29,2567,1874,5225,217,13477
【纯黑】《心魔》P5 这是最吓人的一期,624,203956,//i1.hdslb.com/bfs/archive/f7137ad768b6c7dae676d8666c69d706779e11b2.jpg,243097448,BV1Ce411p7Eo,1588689039,2020/5/5,22:30:39,37:10,5672,1852,4759,532,14241
【纯黑】《心魔》P4 没想到吧，居然更了,1671,305941,//i1.hdslb.com/bfs/archive/48875f1ee97f055e6204da83d5fd353db73fd488.jpg,497947252,BV18K41157Ru,1588010271,2020/4/28,1:57:51,28:43,3468,1987,5789,403,17884
纯黑《逃离Ayuwoki》一个把我逼疯的恐怖游戏，哦不对，我早就疯了,1333,697340,//i2.hdslb.com/bfs/archive/100e9637cff7a91756d59ba5c8da5f6682c9284e.jpg,752909437,BV18k4y1r7gh,1587722439,2020/4/24,18:0:39,20:34,10089,6517,13007,2350,29617
纯黑《毁灭战士：永恒》暴力屠怪 爽就完事了 第八章,453,132326,//i1.hdslb.com/bfs/archive/71f0fdacd161fed70dfee22f978c1b1e6625f94f.jpg,667822413,BV1wa4y147S5,1587546150,2020/4/22,17:2:30,09:46,567,1003,2734,138,10575
纯黑《毁灭战士：永恒》暴力屠怪 爽就完事了 第七章,337,281262,//i1.hdslb.com/bfs/archive/2b27bf14870103b4fbed68391932de206394bc7b.jpg,412752766,BV19V411o7SV,1587327831,2020/4/20,4:23:51,31:10,1353,1269,4201,314,11932
纯黑《生化危机3：重制版》欢乐初见第六期（完）,448,258941,//i2.hdslb.com/bfs/archive/a8e2399060a983e33408794f451dcb5b8574c226.jpg,667874647,BV1ua4y147GS,1587195200,2020/4/18,15:33:20,20:40,2880,1636,4447,191,13392
