title,comment,play,pic,aid,bvid,created,date,time,length,video_review,favorite,coin,share,like
【KBShinya】好字唯之 翻唱自己作曲的歌【忘川风华录】,715,71030,//i1.hdslb.com/bfs/archive/b9e6493dac47dddae7a6e23115626cd15c6d6830.jpg,243588654,BV1Kv411B7aU,1592043454,2020/6/13,18:17:34,03:28,372,5571,6565,501,14396
摆 摊 金 曲 大 串 烧,929,158125,//i0.hdslb.com/bfs/archive/d561b53c18fdffa5e7d5db93f64dc1455d2698df.jpg,243425707,BV1fv411z7kE,1591502447,2020/6/7,12:0:47,03:20,1647,4722,7528,1651,20169
【KBShinya】小世间【原创曲】,913,127400,//i2.hdslb.com/bfs/archive/5fca4f8d5502a883fccae610c1b576bf0862f31b.jpg,925852086,BV1LT4y1g77W,1590834003,2020/5/30,18:20:3,03:41,574,7870,9430,801,18675
听说这首歌谁唱谁好听？！《喜欢你》男声翻唱！,489,156484,//i2.hdslb.com/bfs/archive/3fb8b3c3f6bcbacaf99ceb27666a77e90d0a8488.jpg,413279468,BV1bV411C7ST,1590225827,2020/5/23,17:23:47,01:32,842,3441,3205,1046,15421
拙劣模仿翻唱刘敏涛老师的《红色高跟鞋》有点尴尬,2303,435399,//i1.hdslb.com/bfs/archive/a9d0e3c98bd4b7fadf0b0fcfddc388d1e3d8f84a.jpg,370746976,BV1CZ4y1p7JR,1589604535,2020/5/16,12:48:55,02:54,2942,4357,8725,1401,30675
纯RAP新手挑战歌曲《锋芒》，有内味儿了！,417,73752,//i2.hdslb.com/bfs/archive/08e75c590c9acb5b0f1ec3730db70870b2cf8e96.jpg,200692208,BV1kz411q7QJ,1589550617,2020/5/15,21:50:17,01:48,782,3247,2465,1258,12853
【KBShinya】迷你的我 内含激情RAP,1011,104369,//i2.hdslb.com/bfs/archive/4bcca8b21eda33383a80b13d1c6fdecb6cc68daa.jpg,200581944,BV1Ez411q7da,1588680490,2020/5/5,20:8:10,02:39,2627,5213,5060,2479,19599
老歌《夏天的风》又火爆全网了，男声慵懒温柔风翻唱！,1174,239091,//i1.hdslb.com/bfs/archive/62bed6dbf4c727ec6f050a4c6bd694cea35e5ac9.jpg,243046659,BV1Be411p7id,1588501236,2020/5/3,18:20:36,04:03,929,9115,11607,1028,28994
挡不住灵感空降！！！,590,131105,//i0.hdslb.com/bfs/archive/2fb0bc56b722146d4e512227453480ab537100c8.jpg,200426028,BV1wz411z7kH,1587718808,2020/4/24,17:0:8,02:52,1523,7774,6668,3717,23955
我为什么不喜欢喝可乐？,2087,318134,//i2.hdslb.com/bfs/archive/12c63655b3675c2355ed6c74bbec29474c0018e1.jpg,455307637,BV115411t7kb,1587118841,2020/4/17,18:20:41,03:30,1578,19741,15303,2178,39837
翻唱火爆全网的《少年》，你还是从前那个少年吗？,1743,691540,//i2.hdslb.com/bfs/archive/9d15b18bc812592bf85826bb73a0ca4b9391b0a3.jpg,200063496,BV1Lz411b79U,1586512820,2020/4/10,18:0:20,03:57,3043,28773,28005,3015,56871
【KB/哦漏/少恭】秉烛照夜  超气质古风合唱,2186,200867,//i1.hdslb.com/bfs/archive/9a7fee9c7bbe8af264746fffa490550cb6fa7f15.jpg,540000052,BV1ji4y1n71T,1586167216,2020/4/6,18:0:16,03:25,3035,18990,25889,1674,37653
【KBShinya×哦漏】一线希望,781,178057,//i1.hdslb.com/bfs/archive/1e4f882c8d8bafbefbf6e285ef1dca34a42ff769.jpg,98691240,BV1r7411m7o8,1585396841,2020/3/28,20:0:41,01:56,1036,13726,10781,1348,19273
淡黄的长裙 蓬松的头发【B站男reader翻唱】,1197,495734,//i0.hdslb.com/bfs/archive/5202dead0e14f35501dcf4eb4d0c2899bb307491.jpg,795034310,BV14C4y147BA,1585386594,2020/3/28,17:9:54,01:00,1432,7374,6841,3468,42922
【KBShinya】戏江湖  戏腔、全新国风、武侠、江湖,1908,358224,//i0.hdslb.com/bfs/archive/e0b3fcb604a8064c8c016fdcde875617f8e4a06c.jpg,98781534,BV1u7411U7UX,1585130414,2020/3/25,18:0:14,03:03,2080,25452,36711,1506,51375
【凹凸全员豪华阵容/动画手书原创歌】陷落之序,9110,1554962,//i2.hdslb.com/bfs/archive/e700b322343c52614f623a1de16e97932b6ec19c.jpg,95752547,BV1ME41157gP,1584015886,2020/3/12,20:24:46,04:03,48977,135850,155074,29172,161028
【牵丝戏】我用了全民K歌智能修音，结果哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,2270,584916,//i1.hdslb.com/bfs/archive/59e6822ea5bfec8fea17f4e2d73f9d3c64ef7b96.jpg,95370962,BV12E411K7TL,1583900935,2020/3/11,12:28:55,01:35,9245,10420,7287,9350,58880
当 周 杰 伦 对 决 林 俊 杰 【二人金曲串烧翻唱】,1222,258427,//i2.hdslb.com/bfs/archive/2f69e07c47313b1de292ab351cde276d308a42f5.jpg,92430302,BV1NE411H7vR,1582970406,2020/2/29,18:0:6,02:50,1807,9544,13745,1880,25223
【处 处 杠】 建 议 改 成：祖 安 之 歌,4378,1550515,//i0.hdslb.com/bfs/archive/97850eb97735b5ec33d36e3958fe0531738269c1.jpg,91065378,BV1kj411f7kA,1582451860,2020/2/23,17:57:40,02:06,13463,34078,56501,5487,152578
