title,comment,play,pic,aid,bvid,created,date,time,length,video_review,favorite,coin,share,like
"南方人和北方人平翘舌PK, 结果...",1279,145948,//i1.hdslb.com/bfs/archive/d48650210583a69b6e56c5e243c4899b903a2df3.jpg,925934089,BV1RT4y1E7Aj,1591412431,2020/6/6,11:0:31,02:50,1255,860,656,1266,12655
马路上捡到小奶猫? 恭喜你被选中了！,713,83851,//i2.hdslb.com/bfs/archive/2b86a3def17c2f9d0a61e83ba4eb46580e68242f.jpg,243251843,BV1re411W7ag,1590202840,2020/5/23,11:0:40,07:31,768,1322,2973,124,12529
"【听前奏猜歌】520和一对情侣玩游戏, 我是真的飘了...",661,179418,//i0.hdslb.com/bfs/archive/82f679be95a6ff89b6f7521cc09808242a22a194.jpg,753164987,BV1uk4y167P1,1589944374,2020/5/20,11:12:54,08:45,2980,1210,3264,193,20508
"假如做父母需要考试, 考过了才能...",1565,211165,//i1.hdslb.com/bfs/archive/105ca483499b782d07f1ed739ed6178bb84fc34c.jpg,455742614,BV125411s7Wi,1589335210,2020/5/13,10:0:10,05:39,2795,4291,6059,2064,25479
我的天! 南方方言竟然这么美！真 香 !,5714,290086,//i1.hdslb.com/bfs/archive/2ab7f857ff578687e8fa7f86554093e7ec7ff0d5.jpg,925478488,BV1gT4y137wa,1587607230,2020/4/23,10:0:30,03:58,11450,3048,2873,948,25423
给我女儿的一些话,1256,238616,//i0.hdslb.com/bfs/archive/72b746704d4ddd173b8bf0304a3e0312beec71aa.jpg,540146684,BV1di4y1b7zA,1586085043,2020/4/5,19:10:43,05:57,3497,2338,4158,329,27048
我，一个滞留国外的游客,1270,237924,//i2.hdslb.com/bfs/archive/1157434326d4f17cfc602c27fcdd7cdb17d6945d.jpg,967612166,BV1np4y1C7vu,1585377751,2020/3/28,14:42:31,06:44,2104,1186,3501,223,30067
刚出国时说英语的糗事,566,209035,//i0.hdslb.com/bfs/archive/2d9a7e65caaa041c7ef271f0decb819bf90c4440.jpg,94123336,BV19E411H7Hx,1583546419,2020/3/7,10:0:19,04:55,2067,2922,4097,1147,25638
如果中国人说反话,976,568355,//i2.hdslb.com/bfs/archive/503ed6f5a965ac1e9042f1ff6522de0c76b36b99.jpg,90283726,BV117411A72y,1582166941,2020/2/20,10:49:1,02:35,2000,4566,4962,739,54023
不同人眼中的肺炎疫情,2927,2166117,//i1.hdslb.com/bfs/archive/d0c9d1238c9e36cf0f49b62ed7dfd25d5f38d8ce.jpg,86636341,BV1Y7411p7PK,1580786915,2020/2/4,11:28:35,02:07,16249,21277,50991,8121,177511
