title,comment,play,pic,aid,bvid,created,date,time,length,video_review,favorite,coin,share,like
异地情侣在家玩心理测试，结果就尴尬了...,695,436716,//i2.hdslb.com/bfs/archive/d457e84157ff11a9f7d7a584b36117af9d925236.jpg,840886766,BV1M54y1Q74e,1591784914,2020/6/10,18:28:34,06:46,9469,2857,8796,453,42827
日本女友让我看美女，还用检测仪测试我有没有心跳加快，结果就...,1886,652730,//i2.hdslb.com/bfs/archive/de70f5e3fa27d60a7563bb3c7b8a63810d142dc8.jpg,710981693,BV1rD4y1D7uq,1591352738,2020/6/5,18:25:38,10:06,35137,4928,17950,1485,63107
日本女生为什么能忍受对方出轨？问完女朋友后我瑟瑟发抖【分手挑战第2期】,1618,1436508,//i2.hdslb.com/bfs/archive/7650650876785441613c150cfc2926eb4e528c90.jpg,668369909,BV15a4y1v7sz,1590584547,2020/5/27,21:2:27,11:38,17254,10298,34497,1936,114339
交往的日本女友，突然和我提出这个要求，还是他妈妈建议的...你能接受吗？【毒评论挑战】,2044,1853173,//i0.hdslb.com/bfs/archive/859ee7c154f00abc06295be35570c1a6570f4ae5.jpg,328206986,BV1fA411i7sR,1589970350,2020/5/20,18:25:50,11:18,19592,16468,70801,2926,145047
对不起各位长时间拖更，我们的确是遇到了些问题！,1995,1342383,//i1.hdslb.com/bfs/archive/dc4eac85ca9485c5dd69892118799f2707a1223f.jpg,328053550,BV1uA411t7Yu,1588844281,2020/5/7,17:38:1,04:35,7781,3604,12733,438,71845
日本妹子让外婆帮忙做了个50年前的约会造型，男友看后终于忍不住说...,945,326800,//i2.hdslb.com/bfs/archive/775ea2e790753aea10bcbf536f6ebac5d1e07fb9.jpg,667963118,BV1Ba4y1v72U,1588152957,2020/4/29,17:35:57,05:30,3828,2198,8820,308,34344
男友24小时不吃饭挑战，日本女友在他面前各种吃，结果男友晚上竟然...,1222,628846,//i1.hdslb.com/bfs/archive/0eb89d50b4d2fe1279226dfeccb1392d74d06416.jpg,99804716,BV1s741197BN,1585301145,2020/3/27,17:25:45,08:29,6239,3568,13747,936,47554
这谁受的了！日本女友不断向男友卖萌，男友差点直接离家出走！,1506,778219,//i1.hdslb.com/bfs/archive/0aedc19b82edffb1ab355ca8b7f170b68c4e7c89.jpg,96501939,BV1u7411f7RC,1584275497,2020/3/15,20:31:37,04:27,10862,5932,20750,2912,71580
粉丝向女友举报，up主以视频为借口偷偷用VR看片！这一年我都经历了什么！,1364,961368,//i0.hdslb.com/bfs/archive/324c19662867951050fe9cfb6ebf404d4190ca7e.jpg,92689725,BV11E411J73Y,1582978310,2020/2/29,20:11:50,14:14,7300,8907,37220,1808,76809
up主作死情人节给日本女友送了个假苹果手机作礼物，当她充电后...『kei和marin』,1712,833166,//i0.hdslb.com/bfs/archive/f402cb99b1614491bb7fd7d6926a86c96755e3ab.jpg,87935194,BV18741147vx,1581312181,2020/2/10,13:23:1,06:37,8750,6004,20091,2780,57711
