title,comment,play,pic,aid,bvid,created,date,time,length,video_review,favorite,coin,share,like
不打折就倒闭！618十双好鞋推荐～,3179,859275,//i2.hdslb.com/bfs/archive/cf9418a20f940b69a7f382bca4cbf9fe57ecfc0b.jpg,840932128,BV1a54y1Q7mi,1591412431,2020/6/6,11:0:31,24:23,12508,10793,34516,4788,58854
“1韦”你选小米10还是一加8？,7922,861677,//i2.hdslb.com/bfs/archive/caa99f5a99670b421268f87de7ad8550cef9783b.jpg,968289424,BV1Fp4y1X7ex,1590203101,2020/5/23,11:5:1,20:11,22499,17072,135212,6628,108118
300元档首选？国产新科技软得刚刚好！,4067,760957,//i1.hdslb.com/bfs/archive/9daa85bedcab4112b68727229f9930506cfb818e.jpg,243215306,BV18e411W7q2,1589598036,2020/5/16,11:0:36,15:09,18704,11382,107090,4988,79834
绝对透气！今夏“最会呼吸”的跑鞋是……,2981,635695,//i1.hdslb.com/bfs/archive/84304124e8e5197b7c395dd076426083de851f8d.jpg,967944442,BV1Kp4y197gB,1588388455,2020/5/2,11:0:55,10:04,6133,8949,116225,2345,77855
穿上它们逼格瞬间拉满！6双新排面王了解一下~,2477,617665,//i0.hdslb.com/bfs/archive/e575e307338957a27d313fc38666d6d22d3cd7e0.jpg,540393686,BV1ai4y1t74N,1588244455,2020/4/30,19:0:55,16:08,10659,9961,116555,1761,82957
国产黑科技狂卖250万双！态极2.0众测全国首发 丨Z说球鞋,4544,849866,//i1.hdslb.com/bfs/archive/64c50d695c9ecaa79a0c6a7195afaa41e70050a3.jpg,540358392,BV1hi4y1t7Nc,1587466859,2020/4/21,19:0:59,23:04,19861,10444,112449,7150,85849
自信的人才敢穿？回头率100%的好鞋TOP10,5686,779327,//i0.hdslb.com/bfs/archive/111b9e406bbbfa4e2481eee779c142766a197922.jpg,497686517,BV1DK411L7es,1586574040,2020/4/11,11:0:40,17:53,24473,11681,113831,2725,90401
暴跌！开学季5双学生党好鞋推荐，同价位没有对手！,3802,1480792,//i2.hdslb.com/bfs/archive/e572af657602b4ec7dd2d26f82b10a3e42c1ed98.jpg,97577955,BV1bE411P7mb,1584759649,2020/3/21,11:0:49,18:26,15931,18343,127651,11254,104580
2020逆风翻盘！疫情结束后的新机会丨ztalk,10953,2329893,//i1.hdslb.com/bfs/archive/42bc89434c74fd33a9c88476ae1619836e8b4907.jpg,96128177,BV1gE411V7Hs,1584241206,2020/3/15,11:0:6,23:15,114720,121414,271781,58417,220494
不懂这些，你怎么跟小姐姐聊足球！,3941,568543,//i0.hdslb.com/bfs/archive/2b2bc94ac7b0a362fa7e2b88046297a1f12a2ebd.jpg,94049236,BV1GE411s7kR,1583549701,2020/3/7,10:55:1,23:00,38534,10891,106726,4664,77182
300块走路跑步又轻又弹没对手？软弹直逼态极，重量却轻一半！丨Z说球鞋,6927,988103,//i1.hdslb.com/bfs/archive/cc3e03340c6b929ecefe8b4837e353e70ad5ef1c.jpg,92509614,BV1rE411H7gk,1582945243,2020/2/29,11:0:43,15:13,27361,14941,115501,10693,90477
准备好子弹，哪个先跌买哪个！本季精选好鞋TOP5~丨Z说球鞋,2153,911438,//i1.hdslb.com/bfs/archive/263d2898a711b37e37df85358db8137e0eae5ca1.jpg,90650123,BV1f7411w7gr,1582340157,2020/2/22,10:55:57,19:34,14069,10331,84202,2718,68723
唱、跳、RAP、篮球，科技升级的高性价比明星鞋！,2221,526338,//i1.hdslb.com/bfs/archive/dec6552099238a5a24ab9743a2f7f58dc51f4077.jpg,90077413,BV1f7411L7vh,1582103734,2020/2/19,17:15:34,12:15,8303,7169,73858,3017,58487
情人节，男生都想要的5个礼物！,3992,1029989,//i1.hdslb.com/bfs/archive/de34ab555a329a5d50046e2f4061d35d1dffa5e0.jpg,87448943,BV1p741187VE,1581130536,2020/2/8,10:55:36,16:03,20584,18619,108734,13454,137150
李宁为什么越来越贵？还越卖越火？丨Z说球鞋,4706,1045683,//i0.hdslb.com/bfs/archive/f741540b2a464da21dac308d848c8759fd7667ec.jpg,85720592,BV1J7411674J,1580382046,2020/1/30,19:0:46,39:41,39715,24313,120514,10640,103504
