title,comment,play,pic,aid,bvid,created,date,time,length,video_review,favorite,coin,share,like
【三无】好字唯之【忘川风华录】,1834,172349,//i0.hdslb.com/bfs/archive/c805a0faf4873687c44121f8799d1da5742dd0bc.jpg,626104100,BV17t4y197Bu,1592109648,2020/6/14,12:40:48,03:28,1656,16465,23677,2387,32136
【三无】蒸汽金鱼【原创曲】,2011,314513,//i2.hdslb.com/bfs/archive/892a6e5f0e936799bb7e470a47e339f5ae71cc93.jpg,413462544,BV1vV411r7HD,1591508121,2020/6/7,13:35:21,03:51,1621,26483,30057,2340,47762
【三无】白夜协奏曲,986,154605,//i2.hdslb.com/bfs/archive/bc324799693775d3dd9a55fbaecedea74fef33da.jpg,883192334,BV1ZK4y147pk,1589540823,2020/5/15,19:7:3,02:19,1039,8110,9738,750,22992
【三无】社畜烧酒【翻唱】,1943,369859,//i2.hdslb.com/bfs/archive/9c9928b048ebf650d0b5d048f3cfdc9c95fdfa36.jpg,625196747,BV1qt4y1U7eh,1586680922,2020/4/12,16:42:2,04:01,1526,21603,27405,4097,46373
【三无】木兰行【忘川风华录】,4012,901791,//i1.hdslb.com/bfs/archive/22ff969d77564e8b255724636f719bc51ae48749.jpg,242552218,BV1te411x7Bt,1585914251,2020/4/3,19:44:11,03:30,6477,54014,63460,9393,84652
【达拉崩吧三周年】史诗版·人声Ver(管弦REMIX)【三无/肥皂菌/西瓜Kune/池年/雪霏岚岚/Natsu团长】,4271,1218511,//i0.hdslb.com/bfs/archive/ff0e9cefc46d16873c6fab0f813f132b707c3e2b.jpg,99321696,BV1y741117A7,1585145435,2020/3/25,22:10:35,04:13,6216,85564,103221,18486,134590
【三无】GALLOWS BELL ver. Piano,2252,221740,//i2.hdslb.com/bfs/archive/5092e0924f95fb0f1001b883abfc076021208608.jpg,91062089,BV1hj411f7dd,1582435668,2020/2/23,13:27:48,03:51,1515,10819,18028,1290,29763
声援疫线，Sing4U！B站各区知名Up主邀请运动员/艺人/CV等一起为武汉加油（原创音乐/人物录屏/应援念白/手写字条等）,3331,1073962,//i2.hdslb.com/bfs/archive/635105ec7aa212f0cea1ee3ee3715e32e03220ef.jpg,89013546,BV1r7411g7eo,1581739248,2020/2/15,12:0:48,07:01,23339,39548,89303,7747,158351
【三无】万古生香,4942,1194063,//i0.hdslb.com/bfs/archive/5806a6903513bfe4b076b501f5908ba67b4cc8fd.jpg,86033291,BV1D7411s7wr,1580529316,2020/2/1,11:55:16,04:54,8915,62218,94166,9466,101402
【三无】拾梦纪,1249,241412,//i2.hdslb.com/bfs/archive/0f9e9063134f3be13eaf4345646e42244a8e67de.png,83834232,BV1BJ411E7Qt,1579259059,2020/1/17,19:4:19,03:56,1390,10734,16019,1294,24931
