title,comment,play,pic,aid,bvid,created,date,time,length,video_review,favorite,coin,share,like
黑 铁 剑 魔 选 出 手，吓 得 队 友 直 发 抖 ！【文盲文】,242,169904,//i1.hdslb.com/bfs/archive/c9c0d6ee4f4ec03736b670a2772a009fc200c1ea.jpg,840976803,BV1g54y1B7FM,1591962949,2020/6/12,19:55:49,03:58,639,1086,1877,229,27696
当 代 网 红 现 状！【文盲文】,1355,608038,//i0.hdslb.com/bfs/archive/f73ce20e401343bd099e34ecaa3796d97f8917f3.jpg,413293243,BV1pV411C7v9,1590938157,2020/5/31,23:15:57,06:19,2174,7186,11023,1086,65916
某小学文化男子竟然在现实中还原出了蟹黄堡！吃完一口竟然差点变异！网友：希望汉堡没事【文盲文】,1319,287387,//i2.hdslb.com/bfs/archive/1f393d81fb576e9d5d9f8defd6f57124fdd7ac77.jpg,625790431,BV1xt4y1C7yv,1590670606,2020/5/28,20:56:46,04:05,3178,2525,2688,301,35551
祖 安 蟹 老 板！这TM才是不爱钱财蟹老板！【文盲文】,1191,627998,//i2.hdslb.com/bfs/archive/0beb3e09bd0a43c58fda558cd830c7b3e3605edd.jpg,370693893,BV1jZ4y1p7D9,1589375776,2020/5/13,21:16:16,05:28,4359,10005,16322,2460,95485
要开学的都进来看看，这说的是不是你！【文盲文】,1376,842293,//i2.hdslb.com/bfs/archive/e2ea68d0d16d2b5b8a0fad75289575aadeeadf67.jpg,710430270,BV1UQ4y1P7Fk,1588246619,2020/4/30,19:36:59,06:05,4134,9748,13693,2912,104044
祖 安 派 大 星！这是派大星让海绵宝宝原地爆炸的一集【文盲文】,1303,1127240,//i2.hdslb.com/bfs/archive/6a0507d461580a2296dee3cd31680d52f30090a5.jpg,795489935,BV1eC4y1W7aE,1587654880,2020/4/23,23:14:40,05:56,5685,12962,15786,4587,105365
祖  安  Q  宝,944,442303,//i1.hdslb.com/bfs/archive/91d2d94a2642bc6df3be8f3cae3afafe3a250b7c.jpg,412845421,BV1pV411Z7fq,1587458442,2020/4/21,16:40:42,03:13,2442,7931,5393,2045,48244
论作死，谁敢比，此男子，必第一【文盲文】,607,375892,//i1.hdslb.com/bfs/archive/76471feefa42c8ca27aa9029f7d3c911db3d1541.jpg,285366140,BV1Lf4y1S7Vk,1586936274,2020/4/15,15:37:54,05:10,1475,1758,1545,366,30210
这TM的才叫TM的海绵宝宝！【文盲文】,2745,3299225,//i2.hdslb.com/bfs/archive/736ac62c7ea468da6c7c6487b8d5646746755980.jpg,752753206,BV1Ek4y1R7pD,1586863351,2020/4/14,19:22:31,06:16,19803,83784,106877,40894,322294
男 人 要 是  骚 起 来，女 人 就  得 说 拜 拜！【文盲文】,2509,483354,//i2.hdslb.com/bfs/archive/a12af61fcc71b954ba0a4c37d173b7ab9e69e1ea.jpg,710088044,BV1iQ4y1M7Ru,1585670891,2020/4/1,0:8:11,04:31,1562,4588,4972,1786,48144
