title,comment,play,pic,aid,bvid,created,date,time,length,video_review,favorite,coin,share,like
【川普】没人比我更懂China！,16133,7436621,//i0.hdslb.com/bfs/archive/ab8c4a271542d820ae3da0c8afe997d20669028e.jpg,285778055,BV1gf4y1277v,1590120028,2020/5/22,12:0:28,01:46,35425,221409,285473,76066,733729
【全明星Rap】我舅是辣鸡！,13079,5589123,//i2.hdslb.com/bfs/archive/2c5df7fb6e00ea11c39524a102f8b8a736403dd9.jpg,84540197,BV177411e7gh,1579678372,2020/1/22,15:32:52,02:32,50318,272471,701887,63699,769326
【种族天赋】有一个儒雅随和的妈妈是什么体验？,6334,4887624,//i2.hdslb.com/bfs/archive/ef4fd7b05d2184024e47d8a7c71c87def235a449.jpg,69711912,BV1qE41197ek,1569985242,2019/10/2,11:0:42,01:36,10901,97927,139554,25861,332481
【全明星Rap】那才叫爽,12351,11306808,//i0.hdslb.com/bfs/archive/a8e49882873e7d13a578bd9368c12fa2706c1603.jpg,57026021,BV1Yx411d7Aj,1561637355,2019/6/27,20:9:15,02:33,76697,370881,503343,114224,660250
【高能Rap】疯狂踩点！我们有特殊的辩论技巧！,8448,8462801,//i0.hdslb.com/bfs/archive/aa7a695f3e2334c1a02a253b7166028fe9120053.jpg,54702487,BV1S4411M7zj,1559802236,2019/6/6,14:23:56,02:28,27322,265236,307186,68440,410768
【种族天赋】当丈夫回家遇见老婆和她的男朋友,8528,5127872,//i0.hdslb.com/bfs/archive/05a568d8f2175873daf8e8baa4e455abbef2cd77.jpg,51001246,BV1t4411t7C8,1556677844,2019/5/1,10:30:44,01:41,24995,119904,188646,36605,262514
【名师rap】游戏不打不成才,23739,6196178,//i0.hdslb.com/bfs/archive/90a5f41351f7d8622f5c5e0aa163933e05830bd3.jpg,48316018,BV1Yb411g7Mu,1554431709,2019/4/5,10:35:9,02:36,23218,202710,352621,76964,394402
【夺命Rap】我杀我自己,22674,4130678,//i2.hdslb.com/bfs/archive/400fffd3085f8092659d0a73926f4351a138c52f.jpg,35125956,BV1vb411P7iu,1541151713,2018/11/2,17:41:53,02:36,14754,89004,149941,25719,179098
【鬼畜金曲】《信仰之路》,27368,5387575,//i0.hdslb.com/bfs/archive/207caf7255c91375f23c70943036503f8fe6948c.jpg,28968307,BV1As411u7JK,1533873643,2018/8/10,12:0:43,04:09,65047,115910,284616,45025,185085
【武林外传】是男人就来溜肥肠,19142,6392978,//i0.hdslb.com/bfs/archive/dcf5cf586a7f0b23a2cec6db7cb14e749e83e1ec.jpg,24201406,BV1UW411P7Zu,1527778593,2018/5/31,22:56:33,02:32,41394,160861,262480,70788,210232
【全明星rap】你没有玩过的贪玩男悦,20606,5337654,//i0.hdslb.com/bfs/archive/5bef6571356adbef2abbf36e1b6852d7915b2642.jpg,19362358,BV1nW411n7eJ,1518192024,2018/2/10,0:0:24,02:49,30915,108918,223814,66035,129404
【RAP】当守望先锋遇到鬼畜全明星,9221,4019838,//i0.hdslb.com/bfs/archive/4b9600ee9fe6b6ae91da598f440085817f98556f.jpg,10766344,BV15x411Y7qi,1495555206,2017/5/24,0:0:6,02:34,18986,74587,115837,31448,45497
【三国最强武将】天下有谁敢杀我？,10900,6423437,//i1.hdslb.com/bfs/archive/4b08146e581e85ffca41ecc235b6eb831f0aefaf.jpg,9495157,BV1dx411D7vC,1491015610,2017/4/1,11:0:10,02:58,41454,106795,122332,49685,69429
【最强卖鞋哥】这双王八牌皮鞋，我买定了！,17416,16342002,//i1.hdslb.com/bfs/archive/615f086a40c2d1dde2087c69947ae05bed29a4e2.jpg,8247204,BV1Zs411b7ZL,1485488002,2017/1/27,11:33:22,00:59,48096,392740,282156,226184,279191
【带感炉石】我的魔法会把你撕成抱歉,7081,3698919,//i0.hdslb.com/bfs/archive/27f9810455fce1e74ce6c64f03d9b3937850c701.jpg,7663983,BV1Hs411a7d1,1482506471,2016/12/23,23:21:11,02:34,15344,61190,84017,23397,27504
【武汉醉汉单曲】我们需要，无理取闹！,8240,3135999,//i0.hdslb.com/bfs/archive/e65eff8b65e6664d3b0d2ed46d1d680a3721f70d.jpg,7484053,BV1Es411e7Fh,1481446145,2016/12/11,16:49:5,01:32,10980,32196,46991,18603,16264
【四大欠王】求生：最标准的结局,4850,1665916,//i0.hdslb.com/bfs/archive/4dc0974c5f711ac197888d35f652bb684ed87a72.jpg,7150678,BV18s411W7Ye,1479471260,2016/11/18,20:14:20,32:11,11219,8448,12291,1087,7965
【高能Rap】你从未看过的家有儿女,27759,19870186,//i2.hdslb.com/bfs/archive/4e812d44fcfd9fcadcaf1195d28eb24bc63eaccc.jpg,6482189,BV1fs411t7EK,1475301173,2016/10/1,13:52:53,02:31,136285,644360,562596,270215,506869
【射雕rap】全明星教郭靖练武功（上）,9912,2800524,//i1.hdslb.com/bfs/archive/e4a3a768c5f477dc203f202984924c876ff32336.jpg,4477842,BV1as411q7vx,1461671169,2016/4/26,19:46:9,02:35,12353,39637,35765,15289,11307
【爱的供养】其他狗做得到吗？,7767,3005495,//i2.hdslb.com/bfs/archive/ff538268de914b1f87a75c676d0cd89a3c862e5c.jpg,4427873,BV1Ms41167pK,1461230430,2016/4/21,17:20:30,02:15,30063,37596,39844,18180,13248
【电音单曲】我是papi酱,89331,34539340,//i1.hdslb.com/bfs/archive/f004d589847c604f5e3800ce99bced09ec7e20af.jpg,4033926,BV1hs411Q7zf,1457267935,2016/3/6,20:38:55,02:36,452495,636307,612807,178974,530541
【全明星Rap】本草纲目,11027,9580805,//i0.hdslb.com/bfs/archive/588939bbefdbc24b3a07950db019e0f4ff7675d5.jpg,3696842,BV1Js411X7M8,1454059334,2016/1/29,17:22:14,02:22,59706,226535,146971,80043,57466
【四大欠王】我们是一支身经百战的队伍,3939,2274337,//i2.hdslb.com/bfs/archive/3e33605c183c7f46570a610f609adbae36417a36.jpg,3653334,BV1os411R733,1453618779,2016/1/24,14:59:39,18:58,18466,16529,8998,2233,16581
【全明星Rap】黑喂狗！,78094,34918897,//i2.hdslb.com/bfs/archive/6c6a659683ca5fbb19530261d95c0ffe607fa920.jpg,3327562,BV1Us411d71V,1449225788,2015/12/4,18:43:8,03:40,646335,1175672,1068885,415187,944918
【DJ散人】你见过这么带感的遛狗吗？,5877,2344331,//i0.hdslb.com/bfs/archive/e2ac4851c87078bb922320947e89ceb81ddcbd80.jpg,3152361,BV1Ps411d7Cm,1446354960,2015/11/1,13:16:0,01:08,8594,17201,10379,4195,10259
