title,comment,play,pic,aid,bvid,created,date,time,length,video_review,favorite,coin,share,like
【刘老师】逆天吐槽尬得我脑浆子都沸腾了的国产烂片《午夜微博》，谁能想到刷个微博还有见鬼的风险！,175,23851,//i0.hdslb.com/bfs/archive/e7ed354b228ce59aba59c202828c392d229841e5.jpg,796071701,BV1dC4y1a75Q,1592303449,2020/6/16,18:30:49,06:11,302,189,291,13,2576
【刘老师】结局引众怒，这部剧烂尾了吗？爆笑解说沙雕青春剧《我才不要和你做朋友呢》第三期,2417,561780,//i0.hdslb.com/bfs/archive/33680e5cf2aa0c28f92f060b942fc1b38047b122.jpg,328482857,BV1eA411v7TZ,1591965061,2020/6/12,20:31:1,10:23,4365,2656,6681,1186,34352
【刘老师】穿回20年前，发现自己有俩爹？爆笑解说高分青春剧《我才不要和你做朋友呢》（第二期）,1990,388931,//i0.hdslb.com/bfs/archive/e2ec220a8dcb89e737cd956a001595a9f04a3dca.jpg,413413085,BV1tV411r7tG,1591871434,2020/6/11,18:30:34,11:21,3453,1673,3205,764,24475
【刘老师】爆笑解说宫廷互动剧《摩玉玄奇》，皇后我是当不上了，我就想问问能不能让我活到结局？,548,436462,//i0.hdslb.com/bfs/archive/2aba58c0c6dd29f257a948f3d0c991c7acc2e026.jpg,753468663,BV1gk4y1z7vS,1591709822,2020/6/9,21:37:2,06:44,1647,1482,2176,1619,24064
【刘老师】这股正宗的东北味太上头了！爆笑解说4万人打出8.6分的青春剧《我才不要和你做朋友呢》,1986,671968,//i0.hdslb.com/bfs/archive/fbd0227ecdc92635da8aac89254c7e08c216cf0b.jpg,710942246,BV1tD4y1D7Sf,1591441560,2020/6/6,19:6:0,08:51,5053,4096,8550,3985,42822
【刘老师】爆笑解说三个女人一台戏的《谁说我结不了婚》，谁说大龄单身女青年就是滞销品？你有眼无珠！,1278,519708,//i2.hdslb.com/bfs/archive/9348e9734c1704727eccd619b320eb0251b944df.jpg,583385831,BV1pz4y197r9,1591351201,2020/6/5,18:0:1,08:51,4764,2175,4667,939,35178
【刘老师】爆笑解说史上最强（qiong）跨界颁奖，剁手预热！,427,279770,//i2.hdslb.com/bfs/archive/016fbb31528ea6dee5b63baf255cd82a403acc0f.jpg,413395175,BV19V411C7QZ,1591237846,2020/6/4,10:30:46,04:18,1147,717,1745,131,17567
【刘老师】走心解说纪录片《另一个香港》,2016,356783,//i0.hdslb.com/bfs/archive/499280b18b60707632ac9c828dd1651559d4f076.jpg,540997335,BV15i4y1x7ev,1591178445,2020/6/3,18:0:45,05:49,3086,3906,11760,1184,45223
【刘老师】走心解说揭秘房产经纪行业背后故事的纪录片《中间人生》！,422,204198,//i0.hdslb.com/bfs/archive/117f82fb277aa0a9a22568a879e8fcfb728c079f.jpg,925884994,BV1xT4y1g7Ta,1591167840,2020/6/3,15:4:0,06:03,571,868,866,185,14350
【刘老师】逆天吐槽糟蹋青春的电影《青春荷尔蒙》，谁还不是个宝宝了？你就给我看这个？,916,514899,//i2.hdslb.com/bfs/archive/89bbae25f46282cad3bc864b484cda507957e26a.jpg,540967121,BV1Li4y1x7oF,1591009789,2020/6/1,19:9:49,05:20,4619,1358,2107,352,29631
