title,comment,play,pic,aid,bvid,created,date,time,length,video_review,favorite,coin,share,like
当女生狠起来，没男生什么事..,1194,405581,//i0.hdslb.com/bfs/archive/c50fc15f43b60080b54b50d7435b93b120ed784f.jpg,838535046,BV1bg4y1q7vx,1592218848,2020/6/15,19:0:48,06:36,7504,2530,4452,489,45133
国外爆火！而国内风评极差的新游戏,2568,750934,//i2.hdslb.com/bfs/archive/2685e90e03baeca40d27e1e17d90e66940e91c8c.jpg,710897473,BV1hQ4y1P7cM,1591495211,2020/6/7,10:0:11,12:37,7280,3574,5155,715,63131
我真的没有整容！,2696,895600,//i2.hdslb.com/bfs/archive/0422e5383782472d327d40ad9c55e5f4fdcb3055.jpg,883490686,BV12K4y1x7ne,1591183586,2020/6/3,19:26:26,09:46,19275,6345,10766,1288,93014
网游的现状 (必看),2460,998471,//i2.hdslb.com/bfs/archive/6cabaed20e14f030de8ac8dcf2b49342b1126e82.jpg,753373499,BV1pk4y1r7Xg,1590288657,2020/5/24,10:50:57,05:50,10449,6163,9733,797,91910
我包下了一片 “死海”,2720,1830455,//i0.hdslb.com/bfs/archive/ad403910d3bee1b62477f1f967215a077a1f6612.jpg,625855578,BV12t4y1C73L,1590114630,2020/5/22,10:30:30,09:46,17569,8489,11488,1443,139735
网络up主的现状 1,3774,1140965,//i0.hdslb.com/bfs/archive/ae9f361dcdca7a5a8d5956aaa374859c12f0f7df.jpg,413204653,BV1TV411C7Vr,1589594758,2020/5/16,10:5:58,06:44,12614,13105,21816,2015,134522
网络主播的现状 2,5936,2667418,//i2.hdslb.com/bfs/archive/9a557ff7fd20abe3ffe8ad3fcf5e371096c8d2ba.jpg,328023018,BV1fA41147M8,1588471537,2020/5/3,10:5:37,08:49,29610,24164,57690,11931,233898
网络主播的现状,9550,3022339,//i1.hdslb.com/bfs/archive/cc446a19adf0026cceaacd80683b2c60a949042d.jpg,625417669,BV1Pt4y1m7Ws,1587786029,2020/4/25,11:40:29,08:01,47124,38264,95303,19361,317485
【不要送大会员挑战】笑了就转账,4844,1540694,//i0.hdslb.com/bfs/archive/0d1ec066270c0873b3012ccfc9d315255886baa2.jpg,242790713,BV1we411s7vp,1587037538,2020/4/16,19:45:38,09:17,26360,24217,74604,3161,182059
96%的小孩想做又不敢做的事,2584,1057398,//i2.hdslb.com/bfs/archive/b2d3056024fc8f9b4d6eccf1b632f32428cf587f.jpg,925311246,BV1wT4y1V7AT,1586916017,2020/4/15,10:0:17,07:11,20223,7213,15847,738,103013
养100只猪是什么体验？,3372,1821156,//i2.hdslb.com/bfs/archive/a4152e7aac7297ef5e49f9fa481042da2759acdd.jpg,285191521,BV1dc411h7W1,1586128887,2020/4/6,7:21:27,09:29,19751,17582,46923,2474,182083
我退出社会摇,4291,1874992,//i1.hdslb.com/bfs/archive/8106ae30805e86add4e65c560dcba034d917abe8.jpg,667519329,BV1ga4y1t7vp,1585785907,2020/4/2,8:5:7,07:10,40633,24999,91184,11103,189132
欠费警告！千万别让孩子连上5G！,2397,893572,//i2.hdslb.com/bfs/archive/7c41922f196895d98d10358b923e0d34202edc6d.jpg,242561683,BV1Ye411x7jS,1585644268,2020/3/31,16:44:28,05:36,10368,3199,3970,519,68165
当成年人第一次打开 我的世界,3997,1606912,//i2.hdslb.com/bfs/archive/68fabc3277e5fd9cc23b61a487ed1905a505f496.jpg,99416464,BV1n7411C7Zy,1585185682,2020/3/26,9:21:22,09:07,24036,16327,42758,1703,183706
使命召唤16 真好玩！,2970,1581676,//i2.hdslb.com/bfs/archive/023be6ee165e179696dbb692026f5490bcd49d48.jpg,97771911,BV18E411N7kp,1584670090,2020/3/20,10:8:10,13:08,22727,7257,14701,2921,161027
1天时间100个游戏  最后玩哭了！,6556,2339565,//i0.hdslb.com/bfs/archive/e2ac4cd89bd78b1afb2674d6c28851bd9c03841e.jpg,95343794,BV1bE411K7Yk,1583890370,2020/3/11,9:32:50,15:20,69605,44024,130241,5479,275668
起床后被反锁在房间，原因不明,1871,824553,//i2.hdslb.com/bfs/archive/d3aa8ec8b4726aadc21a6591321b6f7db5d1882f.jpg,93437473,BV1sE41147Qp,1583373607,2020/3/5,10:0:7,07:54,12017,3105,5393,899,59738
花10000元打造的电脑桌是什么样子的？,2705,1349375,//i0.hdslb.com/bfs/archive/b0dad92bfdf8d33d74707cedd4521979bd243b3e.jpg,92807564,BV1DE41177zL,1583028959,2020/3/1,10:15:59,09:13,17246,11287,24102,1903,128215
最尴尬现场，网友翻唱秒杀歌手本人,3714,1222035,//i1.hdslb.com/bfs/archive/617d514fab395ff1f1edcf36a740a6cac7b2dadd.jpg,91770178,BV1D7411N77A,1582682436,2020/2/26,10:0:36,12:08,52955,10912,25896,3381,118786
家里有个米其林大厨是什么体验？,1943,750195,//i2.hdslb.com/bfs/archive/f2cebadda0785463163234124d77561901ae1afb.jpg,90756835,BV167411F73m,1582336845,2020/2/22,10:0:45,09:19,16333,3899,9978,595,70263
吴亦凡，我接受你的合作邀请,7320,2301986,//i2.hdslb.com/bfs/archive/ba9f01a374684dbd53435910229b369aed1fe4e7.jpg,89558727,BV1Q7411E75M,1581904851,2020/2/17,10:0:51,09:38,93337,36168,97288,7894,233776
摄像头监视女友，被发现后...,3140,1539024,//i1.hdslb.com/bfs/archive/88ca7dfc6f99d0d71dbb93bc5887742c0b84da46.jpg,88581054,BV1X7411V7tA,1581559504,2020/2/13,10:5:4,09:07,53455,9805,33186,2262,144989
强迫女友给我拍的MV，你们要看100遍！,11951,2665558,//i0.hdslb.com/bfs/archive/8bb11b2862ad8450ae967f1f114d5f09105191d5.jpg,87663392,BV1f7411t7Cy,1581213935,2020/2/9,10:5:35,03:22,72472,45842,157984,19220,335622
96%的人类会在家里偷偷干的事,2659,1326683,//i1.hdslb.com/bfs/archive/9b44a372e47ca76f8849f54507b7894e11cbce63.jpg,87027052,BV1D7411H7Ka,1580955918,2020/2/6,10:25:18,10:28,49248,15358,49942,3015,180085
【公开处刑】退出B站几个月后就忍不住，回来却遭疯狂打脸,1897,1007070,//i1.hdslb.com/bfs/archive/f71ef352040e4bef4257f37316d24c5f14e0b106.jpg,85513390,BV177411z7F7,1580264711,2020/1/29,10:25:11,13:28,14907,4023,10344,581,71804
场面一度失控！百大up突然鸡你太美～,2503,1073351,//i2.hdslb.com/bfs/archive/0a7b98395484eec5ff6ae13c239dae268d1f829b.jpg,84642420,BV1f7411e7LV,1579747521,2020/1/23,10:45:21,09:47,20874,10005,31857,942,90856
玩恐怖游戏就是要  笑！！！！,1772,785750,//i2.hdslb.com/bfs/archive/f91ef44d2ed12c160e6073f08ac41eb513773606.jpg,83551680,BV1kJ411J7R2,1579089863,2020/1/15,20:4:23,14:26,17542,7319,55530,2522,71780
知名主播现场道歉：小时候不懂事~,1612,739926,//i0.hdslb.com/bfs/archive/e0c51cbb774b2a567303c836b9b2864bf3c65029.jpg,82914631,BV1ZJ411H7DC,1578708044,2020/1/11,10:0:44,17:31,10437,3993,11036,752,47200
揭穿一家只吃“素”的自助餐，里面全是“肉”,1279,897115,//i0.hdslb.com/bfs/archive/4bcecd017cfe1c0c0826d1bd2c60a5fa945188a3.jpg,81109598,BV1eJ411a7Ay,1577596901,2019/12/29,13:21:41,09:56,8735,3179,9609,820,60236
15万买钻戒求婚，女友直接把我推开！,27884,6864864,//i1.hdslb.com/bfs/archive/84f8ef8d5fd15cdaffc4b735671b2807576619ae.jpg,80030891,BV1FJ41147aC,1576896315,2019/12/21,10:45:15,10:30,164118,226975,1332830,50224,971541
【浮生一顿饭】杀青！炸裂！欠的女装早晚都要还的！（第三集）,1040,710409,//i2.hdslb.com/bfs/archive/8588597f13bfba0d5124db067e45e3d259f997a8.jpg,79100589,BV1eJ411C7rw,1576314028,2019/12/14,17:0:28,69:09,12162,2968,5057,2083,28717
1000元1小时的录音棚是什么体验？唱一首最难的歌！,2280,1102004,//i0.hdslb.com/bfs/archive/3ff2cd1f57a148b9d73a0cc2ffb1741f4938cd3d.jpg,79094686,BV1eJ411C7M7,1576230118,2019/12/13,17:41:58,10:44,17901,19696,74839,3227,128678
