title,comment,play,pic,aid,bvid,created,date,time,length,video_review,favorite,coin,share,like
恶魔在人间，康斯坦丁进监狱,1587,855178,//i0.hdslb.com/bfs/archive/16f979828bbe34e1b98466c41a11adbb47fbb316.jpg,583493814,BV1Rz4y197iy,1591783502,2020/6/10,18:5:2,15:07,2620,7520,12054,1323,54413
伊藤润二《墓碑镇》沉浸体验，镇上的墓碑都是尸体变的！,2352,609018,//i2.hdslb.com/bfs/archive/1b79e596b153a4b344370fbc748a8190ce802762.jpg,968392150,BV1Dp4y1S7GD,1591265132,2020/6/4,18:5:32,14:25,6018,4842,9568,2320,38279
漫威电影十年，入门收藏必备的宝藏漫画《无限手套》,757,531796,//i0.hdslb.com/bfs/archive/70d5034a6cd0b84f3fef7e9fbe54e426402cea11.jpg,795860941,BV1vC4y1p7Zm,1590836904,2020/5/30,19:8:24,06:14,461,2923,2882,493,33726
灭霸获得漫威史上最强外挂，强到官方都不承认！,2100,907381,//i0.hdslb.com/bfs/archive/d8abfa0caeacf81781a867656d10b0e60926147b.jpg,968322551,BV1gp4y1X7pj,1590746739,2020/5/29,18:5:39,18:12,5367,5717,8745,1001,54386
史上最惨的毒液宿主，双腿被炸断，银幕陪跑18年,1333,876033,//i0.hdslb.com/bfs/archive/48960413e1d1c22a46f960072f54457971031127.jpg,413255434,BV1GV411C7AJ,1590141953,2020/5/22,18:5:53,12:20,3480,6816,14139,528,57911
「战尊绿巨人」登场！率领浩克敢死队核爆全球《暮狼后传》第二章,1107,769478,//i1.hdslb.com/bfs/archive/ccdddf4941c09b18f7b74934bb0c2291601c1155.jpg,328217939,BV1AA411q7EZ,1589601930,2020/5/16,12:5:30,13:15,3583,5942,13649,520,53665
克苏鲁神话入门，长满眼球的变种恶煞《敦威治恐怖事件》（密恐慎入）,1972,883898,//i0.hdslb.com/bfs/archive/e0a588df8a15853902a93ef063bf6d67181c5678.jpg,925696417,BV1qT4y1u72F,1589364306,2020/5/13,18:5:6,09:26,7580,13074,36040,2598,66690
克苏鲁神话入门，恶臭鬼镇的畸形怪胎《敦威治恐怖事件》,3036,1202177,//i2.hdslb.com/bfs/archive/e52c7b5f82140252a9b17587451fd999e2b8ea97.jpg,883015220,BV1XK4y1b787,1588932353,2020/5/8,18:5:53,11:43,9418,19253,41421,4928,84406
蝙蝠侠被打成瘫痪！阿卡姆疯人院全员越狱，DC超虐名篇《骑士陨落》,2247,814872,//i1.hdslb.com/bfs/archive/8c8f784e89c411147c033bdc7e426308178a1ff5.jpg,753023372,BV1Lk4y1k7He,1588759543,2020/5/6,18:5:43,18:02,7309,6905,11601,1083,51624
日本山贼夜闯青楼，强抢艺妓献祭妖怪《日本猎魔人》,1381,645062,//i2.hdslb.com/bfs/archive/9ed778a63384aa575343ac7f71f4a811cd52affb.jpg,455453093,BV1Z5411x7vv,1588305950,2020/5/1,12:5:50,14:59,4341,7397,18501,599,56842
《暮狼寻乡》后传，九旬老狼猎杀韩国浩克，再续末世废土传奇,1645,961437,//i0.hdslb.com/bfs/archive/899a8ac960499a012c4caed483169805f4a15567.jpg,710406010,BV1HQ4y1T7i6,1587787541,2020/4/25,12:5:41,12:56,4419,16950,45335,1370,98220
这只身价950亿的皮卡丘，竟然是史上最赚钱的超级IP！,1800,763252,//i0.hdslb.com/bfs/archive/c14d683052bb69f0d04a31e354870f9cf6431771.jpg,667963972,BV16a4y1v7oV,1587636045,2020/4/23,18:0:45,10:24,5839,4588,6048,1246,43514
《德意志超人》苏联超人一战封神！英军闪电侠、女浩克登场！（完结篇）,2149,1044575,//i0.hdslb.com/bfs/archive/5bc201a16c8b7196b0655e155bb0f85451d8bc27.jpg,497839321,BV11K411V7gz,1587031517,2020/4/16,18:5:17,16:10,8160,9853,23571,1214,70774
克苏鲁神话入门，祖传凶宅的地下魔窟《墙中之鼠》,5143,2144458,//i1.hdslb.com/bfs/archive/c38270ae276d7373af17f773d95c0c796ae52091.jpg,582628140,BV1b64y1u7jU,1586580066,2020/4/11,12:41:6,15:03,16811,57081,134057,17982,173274
人兽混居的变种末世，遭遇最凶残的太空猛兽《异形VS特警判官》,1717,914343,//i2.hdslb.com/bfs/archive/f71838394c5d23536f8ab33c92f1fac330d789ef.jpg,327737609,BV1AA411b7ys,1586340320,2020/4/8,18:5:20,13:33,4278,5598,8701,573,52541
史上最强浩克，「绿殇大帝」王者归来！浩克将自己撕成碎片,2322,1198682,//i2.hdslb.com/bfs/archive/513c6eb8bfafd976fd69963ae943a186c9df1321.jpg,370159204,BV1PZ4y1x7K3,1586077638,2020/4/5,17:7:18,12:12,6109,6924,12460,922,64420
DC宝藏佳作，小丑活埋蝙蝠侠，至今未被影视化,3037,1196604,//i0.hdslb.com/bfs/archive/72e9de4e5d54aa8ba373e58828fcaefa47b30f8a.jpg,625071550,BV1St4y1m7Q7,1585821901,2020/4/2,18:5:1,16:54,10679,24890,57700,3039,102067
《复联5》剧本预定？漫威元始天尊AAO终于登场！,2396,1335493,//i0.hdslb.com/bfs/archive/e5d80eff964c1ad4fd201917c88e06059173f0c8.jpg,99774949,BV1j741197jm,1585454706,2020/3/29,12:5:6,17:17,13150,8589,15797,2263,71591
克苏鲁神话入门，人鱼混种的鬼镇怪谈《印斯茅斯暗影》,4717,1758084,//i0.hdslb.com/bfs/archive/74bab2bf392cec86702a3b0179239300467c55a5.jpg,99518126,BV1A7411y7Yc,1585225003,2020/3/26,20:16:43,19:01,15201,25114,37570,10003,95554
绿巨人、红巨人、蓝巨人、灰巨人…奇怪的浩克又多了23个！,1540,992307,//i2.hdslb.com/bfs/archive/3efc16fbed55026a4c9543d97010662ac1268ef5.jpg,98078260,BV1DE411c7AH,1584767992,2020/3/21,13:19:52,10:08,2958,5768,7385,894,52542
《德意志超人》苏联最强「超人神」登场！肉装浩克、霓虹国亮相！,4087,1219854,//i1.hdslb.com/bfs/archive/c6d8f650a8cc6ea5eb297eabf7bc6de1f1240479.jpg,97289777,BV1M7411R7cZ,1584612346,2020/3/19,18:5:46,13:47,9877,16181,46529,1881,86247
DC最具争议神剧《守望者》，剧情时间线完整解析！,1840,883607,//i0.hdslb.com/bfs/archive/bb8a8fc0fb00bfcb281c97e8ade5a2eee402de03.jpg,96007338,BV1eE411G7zD,1584098489,2020/3/13,19:21:29,27:02,2703,8191,14312,1147,47180
DC高分名篇《小丑》，跟着Joker混社会，下场有多惨？,2048,1284948,//i1.hdslb.com/bfs/archive/67bea4bd0d897014cc31c619b363148367b5a1f7.jpg,93929469,BV1eE411W7jC,1583408395,2020/3/5,19:39:55,14:48,5201,12822,28333,2152,73623
史上最强浩克，「机械元祖浩克」登场！ 暂时完结,1761,1463898,//i0.hdslb.com/bfs/archive/51dce7d68e07b7f5b35cfd23ad50273ab6284823.jpg,92456381,BV15E411H7is,1582949142,2020/2/29,12:5:42,10:22,4301,8004,17064,852,72316
希特勒造出「纳粹赛亚人」打赢二战，100万盟军投降，邪恶帝国卷土重来,7199,1259662,//i2.hdslb.com/bfs/archive/20a7177b3a85d255cfbc673cbeabeb1321cd4c72.jpg,92219733,BV1B7411N7sE,1582884305,2020/2/28,18:5:5,13:05,8725,15382,34140,2897,80519
史上最强浩克，向全人类宣战！《不朽浩克》第七章,1548,1022180,//i0.hdslb.com/bfs/archive/57b6b8c2ed552fd76eb27931769da2d14aad91db.jpg,91808952,BV1A7411K7fV,1582711507,2020/2/26,18:5:7,07:03,4921,6325,13706,756,56279
《恐惧特工》祖安狂人漂泊宇宙十年，回到地球老婆却....,731,661124,//i0.hdslb.com/bfs/archive/14d68201137c0b80a94f7c823c6b6a7a0ac4b3d9.jpg,91086161,BV1zj411f7Nr,1582443186,2020/2/23,15:33:6,11:57,1497,3911,8719,323,36704
史上最强浩克，灭世神浩克诞生！主宰宇宙100亿年!,2121,2104051,//i1.hdslb.com/bfs/archive/23bd7103a84ef37280ca113d081722d9ab9a59df.jpg,90088353,BV1V7411j7Sd,1582106736,2020/2/19,18:5:36,08:52,4346,12747,29512,1472,100630
《恐惧特工》史上最骚「星河战将」，穿越2万年上演星际大逃杀！,1543,725592,//i0.hdslb.com/bfs/archive/088011b8045b3f36e4d89b4d11b04ee13b903ff4.jpg,89402973,BV1P7411E7Fp,1581839811,2020/2/16,15:56:51,16:24,2750,8115,19725,707,53058
史上最强浩克，被强酸融掉整张脸，依旧生龙活虎,1309,1481226,//i2.hdslb.com/bfs/archive/12feddabf5760d9bd802690c206afb89a2d9576b.jpg,83540941,BV1UJ411J7DZ,1579255518,2020/1/17,18:5:18,10:24,3707,7983,18754,751,60820
「不开杀戒」的蝙蝠侠，到底失手杀了多少人？,1239,1017927,//i2.hdslb.com/bfs/archive/2d60c2ce798c0822a0c7a1ec7164c3d4f01b8e39.jpg,83475241,BV1bJ411J7xS,1579082744,2020/1/15,18:5:44,08:34,3050,5553,7125,767,41240
《天堂屠夫》人猪混种的黑暗末世，孤胆奇侠杀出个黎明,6087,2098454,//i2.hdslb.com/bfs/archive/ded403d6082492374315ed63d9b43901d47651f2.jpg,82937781,BV1KJ411p79m,1578717505,2020/1/11,12:38:25,18:03,13216,75495,162175,17270,165598
史上最强浩克，被啃成人棍，依旧能满血复活,2021,1450236,//i2.hdslb.com/bfs/archive/052d92a8471490391c609a0732be50b0b26862f4.jpg,82548247,BV1yJ41157bM,1578477903,2020/1/8,18:5:3,07:01,2269,10983,32591,826,76285
史上最好玩的漫威DC游戏，第一名只能是它！,1758,1088593,//i1.hdslb.com/bfs/archive/a90229c0ab8f8fc64a1cf72966a497ac46d1a0bb.jpg,81657301,BV1mJ411b7aF,1577885028,2020/1/1,21:23:48,11:48,5968,10942,11824,1168,41144
万字《黑暗骑士》纯干货影评，「漫改第一神作」是如何炼成的,2095,1167363,//i0.hdslb.com/bfs/archive/56e020ecb5f56270e5efa4569cd9188234f4da18.jpg,80956341,BV1jJ411e7Hn,1577510622,2019/12/28,13:23:42,25:40,6872,52073,117770,5067,110463
史上最狠圣诞老人，戴过无限手套！还是最强变种人之一？,741,1016896,//i0.hdslb.com/bfs/archive/68345c7070043331cf1ad9ea192cf5b1473ccb9b.jpg,80462340,BV1WJ411x7KU,1577181931,2019/12/24,18:5:31,07:22,2501,4579,5052,746,38030
生化危机爆发！钢铁侠变异，感染整个复联！ 第一章,1072,1325553,//i0.hdslb.com/bfs/archive/711b11d66c8dfa01cb04b66451f72cba252aa7c7.jpg,79939496,BV1PJ411b7ku,1576836311,2019/12/20,18:5:11,07:48,3150,11282,28187,802,64180
史上最强浩克，暴怒之下长出了六个头！,883,1527438,//i2.hdslb.com/bfs/archive/4f86b0bc8b0486de9f47a4509f0223858b88b86d.jpg,79740623,BV1GJ411t7Pn,1576666941,2019/12/18,19:2:21,10:15,3645,17533,57491,959,91078
《神奇女侠2》首发预告！金鹰女战神惊艳归来,2900,1202138,//i1.hdslb.com/bfs/archive/b8f68f1954a4342591106f5a9e61d956d2bb6c73.jpg,78611132,BV1XJ411v7x7,1575862291,2019/12/9,11:31:31,02:25,3370,7687,3652,13305,33033
世上最强浩克！被大卸八十块满血复活，不死之身竟然是他给的《不朽浩克》第二章,942,1546517,//i2.hdslb.com/bfs/archive/09ce2eff4c9e2856ae7f26034a7ca62a598d8932.jpg,78234696,BV1tJ411i7Po,1575626713,2019/12/6,18:5:13,15:09,1985,16891,53940,1059,84003
《黑寡妇》预告逐帧解析，五成假镜头，一帧不能信！？,1379,989533,//i2.hdslb.com/bfs/archive/2a2c9d84d67795e371020c697584c8851ce256c1.jpg,78035986,BV1jJ411B7se,1575456011,2019/12/4,18:40:11,08:53,4238,5890,11028,5167,38949
《黑寡妇》首发预告曝光！白衣寡姐美如画,2432,1807396,//i1.hdslb.com/bfs/archive/b8d5b2b1bfbd3937b655c87e86b0545f2d63e331.jpg,77934020,BV11J411q7Fa,1575368614,2019/12/3,18:23:34,02:09,2592,17527,7188,26090,60522
凶残的恶灵骑士竟被猛男一枪爆头？......,949,888931,//i2.hdslb.com/bfs/archive/8071151519f5584b0c6e818387928dcb0ea82e21.jpg,77468127,BV1hJ411Q7xv,1575086746,2019/11/30,12:5:46,09:24,2177,6403,13359,712,40337
最高监禁2445年！影史5大小丑，谁才是哥谭最狠带恶人？,2429,1330542,//i2.hdslb.com/bfs/archive/bfac18eddca8b3ca03f909b170ec9dcb6be586f2.jpg,76631524,BV1NJ411d7y2,1574481621,2019/11/23,12:0:21,11:10,6280,12224,18777,1918,56257
史上最强浩克！被大卸八十块装进罐子，依旧能满血复活 第一章《不朽浩克》,1352,2260529,//i1.hdslb.com/bfs/archive/c9e6b2275263436c40c1068b52d60a6e8123b999.jpg,76358251,BV1SJ41117v1,1574247949,2019/11/20,19:5:49,07:54,3201,22971,59713,1477,111052
万字《小丑》纯干货影评，「影史现象级」是怎样炼成的,9752,2919873,//i1.hdslb.com/bfs/archive/0f1f67b736bcd8c77eac84c65180ef27d8c10db6.jpg,75820495,BV15J411U7mr,1573876840,2019/11/16,12:0:40,29:23,18086,171991,351659,40008,288224
蝙蝠侠：恶魔的小号,943,781697,//i2.hdslb.com/bfs/archive/cc09dde21ceb2501f154cb1357d23f6275054bac.jpg,75531159,BV1zJ411S75s,1573639550,2019/11/13,18:5:50,08:20,976,10600,23625,627,38134
