title,comment,play,pic,aid,bvid,created,date,time,length,video_review,favorite,coin,share,like
全职UP主自己装修的房子，和你们想象中一样吗？,1240,412129,//i0.hdslb.com/bfs/archive/9e165dc8b16acd667ffe2829ccc36a61f85de2f3.jpg,668459361,BV1aa4y1v7nd,1591960034,2020/6/12,19:7:14,15:24,4637,6917,18534,2088,45956
这些年交过的智商税！有惊喜有血泪？【十音红黑榜】,559,274175,//i2.hdslb.com/bfs/archive/cfad30884db11b3afcf9222032c3d3b16105302d.jpg,753402873,BV1Dk4y1B7Bq,1591700446,2020/6/9,19:0:46,16:49,2078,2144,2732,290,17142
10分钟拍大片挑战！[LKs+影视飓风+十音+林海音],2652,656388,//i0.hdslb.com/bfs/archive/8bfdecb678dd04d43bff291923f6bc527f625da3.jpg,968416962,BV1Zp4y1S7i3,1591435800,2020/6/6,17:30:0,25:22,29834,22661,57050,12020,71359
我穿越回去，遇到了另一个自己？！,1192,190246,//i2.hdslb.com/bfs/archive/aadd03703c14e3d479a5134f2c7f0a945eab568c.jpg,455798368,BV1X5411s7PT,1590832821,2020/5/30,18:0:21,06:18,5028,1227,4134,208,18990
史上最低分预警！程潇脱线答题 女人何苦为难女人？【UP！大明星】,1514,659568,//i2.hdslb.com/bfs/archive/3ae888e67bdc44e2f28ef927b065fc3b8e644cd7.jpg,370757225,BV1vZ4y1p7sC,1590657721,2020/5/28,17:22:1,08:58,3571,3400,3655,462,18879
我后悔成为全职UP主吗？,1900,479175,//i0.hdslb.com/bfs/archive/152ec2afe7b04f9a2ae2ef0fb2a1113ec4b73c76.jpg,668332698,BV1Xa4y1e7zc,1590138049,2020/5/22,17:0:49,21:30,6067,6568,20128,683,43389
男友摸到啥就买啥？我敢买单吗！【520蒙眼挑战】,1545,699355,//i0.hdslb.com/bfs/archive/b087c22b8b8d18101539d8c93d7555a35936116f.jpg,243147712,BV1ge411W71J,1589621481,2020/5/16,17:31:21,13:17,13113,4846,15984,2950,73647
劳斯莱斯酒杯，Dior洗手液丨大牌不务正业产品好用吗？【十音独家开箱】,1139,372120,//i1.hdslb.com/bfs/archive/903aa4f6d8f29c199d4fd5844c69608b7b1495d9.jpg,370603478,BV18Z4y1s7kL,1589019182,2020/5/9,18:13:2,11:40,5951,2134,4874,929,27308
买奢侈品能帮你升职加薪吗？【何为奢侈】Chanel篇,1419,299372,//i1.hdslb.com/bfs/archive/8cfea01f502a185b7b4da55875af834ac7b43943.jpg,667963209,BV1Ba4y1v7XS,1588300203,2020/5/1,10:30:3,25:45,5221,4890,12768,1406,29294
网上的二手奢侈品包到底能买吗？,989,291050,//i0.hdslb.com/bfs/archive/efc688e180ec9f012a1edb0f8e603fd50c993a2e.jpg,285422747,BV1kf4y1S71n,1587812445,2020/4/25,19:0:45,18:36,2879,2190,5255,717,23486
考古自己的旧视频！天呐我曾经长这样？,771,381832,//i2.hdslb.com/bfs/archive/b7952be4aecbfca8ba5be31252b91c8916b7a0be.jpg,582657713,BV1q64y1u7pz,1587182420,2020/4/18,12:0:20,16:39,2807,1459,3629,188,26914
米其林1~3星完整体验！米其林有资格评判中餐吗？【十音去发现01】,2194,662138,//i2.hdslb.com/bfs/archive/00a873ef52258134d5bb3cf0f52f55a08b70a1fa.jpg,625129787,BV17t4y1U7ps,1586244216,2020/4/7,15:23:36,27:28,12264,9193,28893,3628,63331
上万的大牌包制作成本多少钱? 采访工厂从业人员【何为奢侈2】Gucci篇,3913,659972,//i0.hdslb.com/bfs/archive/320bd1ebd5bf2e46cf8e753a8513a854817e60df.jpg,98915038,BV1g741127mx,1585028880,2020/3/24,13:48:0,28:20,13937,12066,30474,7881,54549
我花了9个小时，把衣橱里的每件衣服都穿了一遍,3536,1072218,//i1.hdslb.com/bfs/archive/234f045683fe39010893917291d64b85ad4982d6.jpg,93789328,BV1aE411x7ht,1583381728,2020/3/5,12:15:28,13:29,9179,13690,36600,3419,82428
人生首次帮别人理发！拿男友试手，结果比理发店剪的还好？【被禁足的日子3】,2806,676252,//i0.hdslb.com/bfs/archive/db09935f96fbb7bc078011dacb8d17f67ad6464a.jpg,90743111,BV127411F7aQ,1582345810,2020/2/22,12:30:10,13:44,22964,6729,27026,6500,61945
不会做饭的UP挑战复制餐厅获奖菜品，能成功吗？【被禁足的日子2】,1947,395570,//i2.hdslb.com/bfs/archive/d3b8e8b3fa535b87650233dbe59c2142bfcdae6b.jpg,89526027,BV1r7411E7qr,1581913854,2020/2/17,12:30:54,12:03,7194,3319,11326,1784,35717
