title,comment,play,pic,aid,bvid,created,date,time,length,video_review,favorite,coin,share,like
试吃198块钱一块的肥牛砖，比砖头大多了，切出来也太多了吧,262,219281,//i2.hdslb.com/bfs/archive/6bba85785f463e13d2143e5c5b92cdfc1548b63c.jpg,838465353,BV1Zg4y1i7uS,1591862975,2020/6/11,16:9:35,04:00,689,486,1375,103,14369
开箱试吃洽洽X欢乐斗地主联名礼盒，拿出来的那一刻还以为是AJ呢,283,154352,//i1.hdslb.com/bfs/archive/17391e2c8b0dd7aa4d96dc33cc62b76cea5dec21.jpg,455905726,BV1d5411p7Bt,1591349691,2020/6/5,17:34:51,06:30,790,300,969,55,9750
户外试吃火箭军单兵口粮，吃着菌菇牛肉拌饭，却被一群牛给盯上了,406,201338,//i0.hdslb.com/bfs/archive/99c011796babe6b9eb27d73d0d81f9438c20905d.jpg,838485020,BV1Pg4y1q7wi,1591025178,2020/6/1,23:26:18,04:32,537,530,1800,137,13716
试吃近300元一斤的珍珠蟹，像一只只的蟹宝宝，需要去鳃不？,621,554082,//i0.hdslb.com/bfs/archive/3fbf0c2f76c25a866131b1bdfa11953af8a6661b.jpg,795755507,BV1NC4y1p74Y,1590228012,2020/5/23,18:0:12,03:08,1247,731,2170,157,26428
口腔溃疡怪牙口不好？各种溃疡药都试过了，为啥选意可贴?,1045,169819,//i0.hdslb.com/bfs/archive/84f4169efed520b0d31abe8494be2beb0a2b98f6.jpg,328128781,BV1nA411t7or,1589688003,2020/5/17,12:0:3,03:47,1634,639,1025,202,10104
一个多月的快递终于到了，运费比里面东西还贵，赶紧拆开尝尝,572,281970,//i0.hdslb.com/bfs/archive/87a0c27f0babe48b6ee58e42497b9d828981cb65.jpg,795720983,BV1AC4y1p7GZ,1589264527,2020/5/12,14:22:7,03:36,1423,686,4105,132,21174
试吃波兰稀有单兵口粮，花巨资购买，老板还送一包过期口粮,508,291049,//i0.hdslb.com/bfs/archive/9c9ef8caa3f40f1ab26940043789e79ac7c853ef.jpg,883023710,BV11K4y1b75u,1588675032,2020/5/5,18:37:12,03:44,1186,856,4171,90,25120
小龙虾吃到饱是啥感觉？买十斤吃到后面“瞎”了,582,351956,//i1.hdslb.com/bfs/archive/1b51139568709eb8e6e83ca5a2af9243cc238168.jpg,840461157,BV1B54y1Q7Qz,1588219245,2020/4/30,12:0:45,03:54,1928,796,3675,231,22985
开箱试吃六款宿舍小零食，却收到七箱零食包裹,368,199916,//i2.hdslb.com/bfs/archive/bf11799e6fc62d924cdb582297c2b65bb2a9096b.jpg,882878857,BV1qK4y1k71v,1588064456,2020/4/28,17:0:56,05:34,1453,542,1843,85,14360
开箱试喝巨型原浆啤酒，这打开方式真够特别的！,646,307172,//i0.hdslb.com/bfs/archive/53f0873da6bdf5c79b66ad316e5d5b0694093ab6.jpg,625318304,BV1et4y12782,1587299901,2020/4/19,20:38:21,03:43,1773,686,2422,322,18777
时隔两个多月重返县城，家里一团糟，买个榴莲还血亏！,385,182264,//i0.hdslb.com/bfs/archive/628996879600d360fd31b45ef75e564f26c27000.jpg,882789236,BV1FK4y1k7sW,1587193691,2020/4/18,15:8:11,03:28,690,391,1883,54,13417
