title,comment,play,pic,aid,bvid,created,date,time,length,video_review,favorite,coin,share,like
天上龙肉地下驴肉？这家驴火被称为北京第一！UP也就吃了4个火烧半斤驴肉！,1093,369581,//i0.hdslb.com/bfs/archive/cd0d60310d41107bcecfe3517ab73b921d50e812.jpg,838376442,BV1zg4y1i72a,1591871434,2020/6/11,18:30:34,06:22,2746,1351,2467,922,21357
破产版厉家菜仿膳饭庄？好吃不贵的北京宫廷菜餐厅！给你帝王般的享受？,1045,322283,//i0.hdslb.com/bfs/archive/57076a559c719c61218cc80881f58120f629b720.jpg,455880610,BV125411p7HJ,1591612223,2020/6/8,18:30:23,08:18,3409,1447,2353,519,18671
曾是北京最传奇路边摊！有人暴晒三小时，只为吃上一口猪蹄！,826,483138,//i0.hdslb.com/bfs/archive/235576e1b90499abc243eab818419ecf900b78fa.jpg,455936913,BV1P5411W7rQ,1591267605,2020/6/4,18:46:45,07:10,4034,2020,4160,1354,27176
希望钱包没事！16元一只的小龙虾，真不愧是北京顶尖豪宅旁的餐厅！,1176,409705,//i1.hdslb.com/bfs/archive/2b07afb04f15d082ba8c8e695c9e1cc5358a315f.jpg,795882097,BV1ZC4y1h74d,1591007442,2020/6/1,18:30:42,07:38,3108,772,1692,456,20564
3顿东北烧烤引出陈年旧事！朋友邀请我去东北做客，居然用这种方式招待我？,2121,452024,//i2.hdslb.com/bfs/archive/0acdfeee2f8c1f3fc7ae8e724262db4ca50409fe.jpg,668309812,BV1Ra4y1e74a,1590672159,2020/5/28,21:22:39,13:19,6066,1306,3586,1045,22379
大胃王挑战「点一本」菜单！2个人22个菜？结账发现只能洗碗还债？？？,862,381492,//i2.hdslb.com/bfs/archive/155ba2cb0123deee367ee31e54e69601b60f5ab9.jpg,668252480,BV1qa4y1e7pW,1590402630,2020/5/25,18:30:30,08:21,2007,1293,4378,300,23522
吃肉喝酒看足球！北京胡同里的吃肉小店，猪肋排焦香酥脆太过瘾！,1190,478929,//i1.hdslb.com/bfs/archive/be0935ad71c4531bdf581c38bf6965ad5b4b835e.jpg,710629689,BV1SQ4y1N79E,1589797824,2020/5/18,18:30:24,07:48,5043,1770,2897,1031,24470
乔峰段誉在此拼酒结拜！影视中出现最多的苏帮菜？金庸先生都曾给他家题字！,800,457158,//i1.hdslb.com/bfs/archive/0c3e1ad11b436955794878facacb93715c2b045f.jpg,840690826,BV1U54y1X7bB,1589193024,2020/5/11,18:30:24,06:25,2139,1051,2649,386,22364
斥巨资200元在家自制蒜肠！切蒜剁馅灌肠忙到满头大汗，结果……,569,379453,//i2.hdslb.com/bfs/archive/2046c12a3866335323ec672a904347f6755d5609.jpg,795621756,BV1YC4y1H77N,1588847451,2020/5/7,18:30:51,07:39,2072,1448,2196,284,20449
包场京城第一烤肉？烤牛肉称霸北京330年！一口烤肉一口酒吃着太过瘾了！,1966,876467,//i1.hdslb.com/bfs/archive/1a582831a4edae9c023b21e775144f3cd7fa3e69.jpg,753044716,BV1Hk4y1k7PA,1588588231,2020/5/4,18:30:31,09:02,5964,2656,4532,1744,38291
20年免费流水席，北京最传奇民间美食家？他开的火锅店味道如何？,737,745953,//i0.hdslb.com/bfs/archive/5b1e683831803c83e6f19e0920208945e189a7c7.jpg,582948703,BV1x64y1M7PM,1587983448,2020/4/27,18:30:48,09:32,3353,1718,3543,1032,30744
