title,comment,play,pic,aid,bvid,created,date,time,length,video_review,favorite,coin,share,like
改善肋骨外翻运动，靠呼吸快速减腰围、缩肚子、丰胸！提升核心改善体态！【周六野Zoey】,1208,317388,//i0.hdslb.com/bfs/archive/5b324d1ad658358de716da0263974a35c7cc7377.jpg,200918629,BV1gz411i7mE,1591873053,2020/6/11,18:57:33,28:43,1176,38668,5988,2310,15659
10分钟下腹部小肚子运动｜高效燃脂、无工具【周六野Zoey】,2021,626602,//i0.hdslb.com/bfs/archive/f69e7ace3fd89e75b2339ddf70e4a8885325763c.jpg,625925680,BV1Mt4y1y7Pt,1591273746,2020/6/4,20:29:6,13:14,3175,79062,9667,6372,27937
20分钟全程躺趴全身燃脂塑形运动｜无跳动、膝盖友好【周六野Zoey】,2382,904500,//i0.hdslb.com/bfs/archive/b7c70bc366a8ec35e26de44b28aaae1b0b6aecc5.jpg,710811611,BV15Q4y1P7Ms,1590660301,2020/5/28,18:5:1,20:15,4640,123980,15865,10665,37584
10分钟进阶腹肌运动｜无工具瘦腰、超燃马甲线【周六野Zoey】,2545,750368,//i0.hdslb.com/bfs/archive/cfcb43f9a8e2ccdd7b7642a7acebc124e07b5b3e.jpg,328295628,BV1jA411q7ix,1590062691,2020/5/21,20:4:51,10:47,3661,71447,8210,7744,22874
520征婚现场【周六野Zoey】,808,270426,//i2.hdslb.com/bfs/archive/128c49d5eac64cbcf809c17ddc0a713b5f2b87c7.jpg,540662459,BV1Gi4y1477d,1589894219,2020/5/19,21:16:59,07:25,1593,495,844,188,12841
我一天都吃了什么？都多少卡路里？分享我的一日三餐健康食谱！【周六野Zoey】,1312,464903,//i2.hdslb.com/bfs/archive/9662c57916a08c2774c04925abb862bde497ac71.jpg,710649279,BV1KQ4y1K7fQ,1589456799,2020/5/14,19:46:39,02:46,622,3429,1252,1054,16940
曝光我的一天VLOG｜自律的小技巧【周六野Zoey】,1384,503263,//i0.hdslb.com/bfs/archive/5a12ca01fb1e3883802db609e26aaf7b2d5162e4.jpg,668089407,BV1ta4y1i7gG,1588855844,2020/5/7,20:50:44,05:13,1578,5872,5832,1438,29240
10分钟高效增强臀腿柔韧性拉伸运动，改善腿型、增高，让腿肌又长又直，坐位体前屈马上成功！（素颜公开x碧欧泉）【周六野Zoey】,1742,857038,//i0.hdslb.com/bfs/archive/7641f6f8a4a039f72e93dcb653024b23c5dfea29.jpg,540496709,BV1Pi4y1b7un,1588251636,2020/4/30,21:0:36,33:36,4798,75941,8259,5609,28186
15分钟美背运动，超燃烧紧实背部线条，改善驼背圆肩，气场飙升【周六野Zoey】,3548,1351160,//i0.hdslb.com/bfs/archive/7ff154e370d228e8e4e7fde3607f87e0d0f759f5.jpg,455458438,BV1f5411x7eW,1587647078,2020/4/23,21:4:38,20:09,10948,144326,14013,10967,41919
约吗？约了些会，这些男人我爱了！- 闺蜜没秘密 第19期【周六野Zoey】,2400,662200,//i0.hdslb.com/bfs/archive/d0d4e425f73d9832df2a3924006ab5d2993560e0.jpg,327764767,BV1gA411b7vs,1587045386,2020/4/16,21:56:26,20:38,5771,6944,14641,2973,32457
10分钟床上运动，提臀瘦腿，超刺激【周六野Zoey】,4401,1780005,//i2.hdslb.com/bfs/archive/43d962bdacbb91f7abff72b9aa4f43bfd267b9a1.jpg,200055707,BV1Vz411b784,1585825679,2020/4/2,19:7:59,12:19,13194,184509,21402,18298,62049
