title,comment,play,pic,aid,bvid,created,date,time,length,video_review,favorite,coin,share,like
【嘟督】这破游戏把爷给整友尽了！,588,304473,//i2.hdslb.com/bfs/archive/86a0b20b7d8c23d3077dd2ebe14a6db3a3d9f6ab.jpg,795939893,BV1LC4y1a7PE,1592020805,2020/6/13,12:0:5,13:42,2245,3948,9172,835,29923
【丧病中配】建议改名：大便活人,740,298571,//i1.hdslb.com/bfs/archive/f47cfe8a1ed6f0d11d9b46a3e4ea9b5934b07449.jpg,370989245,BV1KZ4y1H7Kg,1591783238,2020/6/10,18:0:38,01:05,831,2925,3044,1508,26420
【嘟督】这破游戏把爷裤衩儿都吓飞了！,973,859382,//i1.hdslb.com/bfs/archive/b92b0158e3c26c4238fca39f413c42b827a87753.jpg,883455650,BV1qK4y1x7Ty,1591182036,2020/6/3,19:0:36,10:02,3237,9992,18909,1493,63176
【荒野乱斗】这就是舔狗的下场？,435,229002,//i2.hdslb.com/bfs/archive/ce5ff5e56fb85b6c38061c6e8b0693904e05bd22.jpg,413330438,BV1eV411C7Mu,1590919219,2020/5/31,18:0:19,12:07,931,818,5495,265,18852
【嘟督咆哮解说】25岁的村长爷爷依旧工作在最前线，真相令人动容！《帕斯卡契约》,880,448169,//i1.hdslb.com/bfs/archive/9b8ae9e0fc940421bd2b46fbd900475c06b9e2c1.jpg,328369894,BV1SA411q7xA,1590750019,2020/5/29,19:0:19,12:18,2634,3566,5965,562,31955
被做成游戏NPC是什么体验？我玩我自己？,488,260430,//i1.hdslb.com/bfs/archive/ffb56fd6a7bb5fa33279cfbb7c13728239dac877.jpg,840766049,BV1k54y1D7iY,1590663625,2020/5/28,19:0:25,10:02,1100,1288,1172,119,17838
【嘟督咆哮解说】有生之年就没见过这么骚的快递员！《死亡搁浅》（最终话）,1241,703995,//i2.hdslb.com/bfs/archive/91bff652f6105890ee5049a5dcaf4cb37a7927c9.jpg,540834897,BV1Wi4y1s7Mm,1590400848,2020/5/25,18:0:48,29:26,10037,20115,54416,1661,71648
【嘟督】就这也叫医院？脖子以下截肢？？？,1898,650422,//i2.hdslb.com/bfs/archive/de9303ef20e6cf2d165bbaba097e7c4b3c8c0aa4.jpg,498196557,BV16K411W7DM,1589884243,2020/5/19,18:30:43,09:08,2621,7722,16881,1319,47076
你绝没见过这么拼爹爹的败家玩意！,712,369573,//i0.hdslb.com/bfs/archive/8dfe88ffe1e82922618164d9fe36721cde12bbcf.jpg,710713635,BV11Q4y1A7ZY,1589716841,2020/5/17,20:0:41,07:50,1434,1557,1683,506,22835
就这？就这也叫兄弟？,1118,448936,//i2.hdslb.com/bfs/archive/6af71a65953fc7289de835626816d3ae07e01b12.jpg,883226641,BV1TK4y1t7Hn,1589631549,2020/5/16,20:19:9,09:57,1559,1483,1667,254,25548
【嘟督咆哮解说】你居然管这叫枪？《生化危机3：重制版》！（最终话）,1626,866435,//i0.hdslb.com/bfs/archive/364209765545a4479f30e64886cd65222dc22169.jpg,753243071,BV1Ck4y167wF,1589193637,2020/5/11,18:40:37,15:16,11316,21808,54680,2679,98055
【嘟督咆哮解说】贼刺激的《生化危机3：重制版》！（第三话）,1730,1003785,//i2.hdslb.com/bfs/archive/b767d0c6b0b60de17290003fa3947b10a600d746.jpg,752917146,BV1kk4y1r72t,1588161615,2020/4/29,20:0:15,12:38,9630,31138,48822,2465,92235
如此刚猛的医疗兵你爱了吗？,1123,672569,//i0.hdslb.com/bfs/archive/94054b53924c38df3f70c2099efcc56b98178102.jpg,882935267,BV1bK4y1b7D5,1587991671,2020/4/27,20:47:51,17:02,2332,3366,2613,604,27023
佛祖，时代变了！,692,413645,//i0.hdslb.com/bfs/archive/68c446df57f289ae2ede7b98c3204e52c51c7947.jpg,837953995,BV1Qg4y1z7Rp,1587903680,2020/4/26,20:21:20,15:42,3406,1403,1801,336,23192
因为美艳，我失去了爱情！！！,1257,378629,//i2.hdslb.com/bfs/archive/99a6c21b39e650013c48e99f48d72359206a1e0c.jpg,327986478,BV12A411472U,1587652842,2020/4/23,22:40:42,15:18,5893,1513,2380,615,22895
【嘟督咆哮解说】超吉儿刺激的《生化危机3：重制版》！（第二话）,1752,1284103,//i0.hdslb.com/bfs/archive/a9861dee6dec72975389f600ff86e56e5bc53cd4.jpg,710330542,BV1fQ4y1K71u,1586952915,2020/4/15,20:15:15,14:15,17787,44834,77487,4344,130498
可算见识女装大佬有多凶残了！,867,481429,//i1.hdslb.com/bfs/archive/bb652cf8d4cd021a5c8d5d6e962018de2c3c3b96.jpg,412692241,BV1vV411o7L9,1586520017,2020/4/10,20:0:17,15:29,3916,1861,2198,443,26623
【嘟督咆哮解说】最吉儿刺激的《生化危机3：重制版》！（第一话）,1884,1454465,//i2.hdslb.com/bfs/archive/ff71a9305e85ad9cf330d563b457a08ec2753d48.jpg,625204867,BV18t4y1U77w,1586330466,2020/4/8,15:21:6,13:43,18487,44837,87213,7530,143688
被健身猛男3D环绕能有多刺激？,744,418064,//i0.hdslb.com/bfs/archive/d71b3c2c97faae36586a27cad29c85e5eb612800.jpg,710041085,BV1gQ4y1M79d,1585829561,2020/4/2,20:12:41,12:03,3230,1571,2332,407,23887
【嘟督咆哮解说】真吉儿刺激的《生化危机3：重制版》DEMO！,2780,1860605,//i1.hdslb.com/bfs/archive/b3e39ff6e56d55669de16ca72a4310eefedf4716.jpg,98953749,BV1H741127Gg,1585042617,2020/3/24,17:36:57,07:47,18770,54814,108488,9245,186709
用RAP唱死女友的四个前任是什么体验？,782,488497,//i2.hdslb.com/bfs/archive/105fdb0d2677ef5c1b93f0a9c113114add84b492.jpg,96965317,BV1D7411Z72Z,1584784827,2020/3/21,18:0:27,10:19,3435,2924,5393,583,33456
刺激！被大姐姐鞭打是一种怎样的体验？,2321,626064,//i0.hdslb.com/bfs/archive/fb3eda62898e8efed8ca601ccc676aebf92c8650.jpg,97563299,BV1iE411P7xv,1584603346,2020/3/19,15:35:46,12:34,4655,3408,4529,1902,33496
【嘟督咆哮解说】世界第一丑B仁王！《仁王2》,1379,926183,//i2.hdslb.com/bfs/archive/254c8a13ff284d0561b3d6a614e6b249028808b2.jpg,97339469,BV1G7411R7sh,1584532592,2020/3/18,19:56:32,06:57,11085,13780,30401,4286,75081
【嘟督咆哮解说】约个毛的约会！《约会模拟器》,1004,828889,//i1.hdslb.com/bfs/archive/c2dff5b4546907aea119095c36c21b1ed830fd09.jpg,94172107,BV1fE411H7zM,1583492612,2020/3/6,19:3:32,05:11,5539,17246,36742,5492,81658
【丧病配音】找尼玛个塞班！！！,3141,2785225,//i1.hdslb.com/bfs/archive/7d0dc01237f1dd9f8c3594df73c6e573ab095ec6.jpg,93632670,BV1yE411s7Yx,1583322932,2020/3/4,19:55:32,00:41,4536,39041,40101,39888,152724
我居然在这个游戏里当了导演？！,687,379450,//i2.hdslb.com/bfs/archive/875b2756cf854adc35d87d2eac2e9640f44189d2.jpg,92636533,BV1zE411J7Nb,1582980427,2020/2/29,20:47:7,15:46,3316,1777,4188,300,24261
【嘟督咆哮解说】这才是疫情期间正确制作生日蛋糕的方式！,5288,945080,//i0.hdslb.com/bfs/archive/c55cc734bcb970a85d0da8f79df237945692e15d.jpg,92012084,BV1N7411T7Ve,1582776008,2020/2/27,12:0:8,06:13,48680,21971,78315,6182,127736
我竟然在现实里遇见了绫波丽和明日香？,1389,434775,//i1.hdslb.com/bfs/archive/7b7d1a8d968031df96bf53247ad3fa25cb31f334.jpg,91627722,BV1F7411M7je,1582632037,2020/2/25,20:0:37,10:24,4268,2462,3443,1261,28025
【嘟督咆哮解说】这世上我就没见过这么三官不正的女鬼！！！《港诡实录》（最终话）,2066,1462428,//i1.hdslb.com/bfs/archive/cb853ad04cfe5b8264e430bcaf3e440d9455f3a3.jpg,89385026,BV187411n7Wa,1581841128,2020/2/16,16:18:48,11:08,18650,33140,71424,8402,137306
我裂开了！知名偶像私下里的兴趣爱好居然是这个？！,805,590177,//i1.hdslb.com/bfs/archive/7fc5882e330365727aec4c2bd9bdd12c42742f0a.jpg,88718645,BV1Q7411371z,1581678038,2020/2/14,19:0:38,15:35,3605,2534,3943,637,28671
【嘟督咆哮解说】京剧腔唱《爱河》的女鬼你见过吗？！爷当场就傻了！《港诡实录》（第二话）,1630,1554347,//i0.hdslb.com/bfs/archive/b2faaccedb9627996f2b740e6b35b552767459ea.jpg,86467067,BV1p7411s7Np,1580724032,2020/2/3,18:0:32,08:16,30573,41950,103102,12027,141722
【嘟督咆哮解说】你见过腿这么长的女鬼吗？！《港诡实录》,4215,1596279,//i2.hdslb.com/bfs/archive/cc96cb098f3b4a25abf7dc1d1ad6a42d55a53c5c.jpg,85760486,BV1c7411B7rD,1580379363,2020/1/30,18:16:3,06:13,28982,36356,98881,13670,141822
【嘟督咆哮解说】从入门到入殓，手把手教你如何俘获坦克的芳心！《洛奇英雄传》,1329,1020707,//i0.hdslb.com/bfs/archive/a7d1858510d62ce8988701936f8a943b883c0d20.jpg,84925241,BV1e7411Y71d,1579924812,2020/1/25,12:0:12,17:12,7002,18604,48904,3025,69278
猛男必学拜年大法,524,415406,//i1.hdslb.com/bfs/archive/8acff18f629783b697f15fb996ab171cfeeb69ff.jpg,84105363,BV1x7411q7a5,1579521626,2020/1/20,20:0:26,03:13,507,1337,2611,428,19662
嘟督带你从身体透支开始的异世界生活~,575,424610,//i0.hdslb.com/bfs/archive/4aaaf364439c8b11b9c6ceb3bf14daa6db7f7c07.jpg,82706876,BV1XJ411G7EW,1579082418,2020/1/15,18:0:18,10:25,2295,1889,2974,527,18271
嘟督教你如何看破红尘！,624,647817,//i1.hdslb.com/bfs/archive/ad08a8ffb697b74722560c7e21eddc2c5efac4ab.jpg,81283629,BV1vJ41187ww,1577705817,2019/12/30,19:36:57,11:28,1159,1392,2184,400,18833
【嘟督咆哮解说】爆笑解说2019年度黑马级恐怖游戏《心魔The Beast Inside》（最终话）,843,996683,//i2.hdslb.com/bfs/archive/aab693af532a50031a81dca476abee874df0ccc9.jpg,79906929,BV19J411t745,1576900844,2019/12/21,12:0:44,13:11,8015,11608,33096,3150,58106
这么骚气的东方不败！哪个男人把持得住啊？！,427,383736,//i0.hdslb.com/bfs/archive/7a460c39daa99ab8db30f25c53bc85973c752e92.jpg,79836545,BV1kJ411t7Dn,1576756826,2019/12/19,20:0:26,14:57,1179,906,1353,336,12255
跟和尚谈恋爱是一种怎样的体验？,754,524516,//i1.hdslb.com/bfs/archive/7e67cd1465beb6a8ae3fc6fab31542d6737dad91.jpg,79276293,BV1oJ411r7Xq,1576411238,2019/12/15,20:0:38,10:33,1389,1708,2069,815,17573
拳拳到肉的快感真是欲罢不能！,451,405193,//i1.hdslb.com/bfs/archive/622ac1e66e73175bd43b804d6c79467f5a402940.jpg,79104681,BV11J411C7BY,1576321232,2019/12/14,19:0:32,09:13,1376,1159,1575,329,14275
【嘟督咆哮解说】有生之年就没见过这么骚的快递员！《死亡搁浅》（第二话）,891,1091523,//i2.hdslb.com/bfs/archive/4a1a95517b26cdd19ec0b410851714555048cdab.jpg,78088711,BV1YJ411B7k4,1575637244,2019/12/6,21:0:44,14:09,5870,22250,48157,2742,67196
