title,comment,play,pic,aid,bvid,created,date,time,length,video_review,favorite,coin,share,like
【古筝】辉夜大小姐想让我月更-DADDY! DADDY! DO!,1349,416613,//i2.hdslb.com/bfs/archive/a21826761d2c4f8cf02290c69614e174447cab09.jpg,710716315,BV11Q4y1A749,1589988966,2020/5/20,23:36:6,03:10,1347,9887,20860,1735,45801
【古筝】当潮不让 - 意识流古筝rap,1163,180863,//i0.hdslb.com/bfs/archive/cf053979d1e2a34e515a28b0982c0d24a0ab370f.jpg,753100463,BV18k4y1k7MZ,1588932007,2020/5/8,18:0:7,03:39,1470,7130,15716,1120,28981
【古筝x钢琴】四月是你的谎言OP - 光るなら,1347,298570,//i0.hdslb.com/bfs/archive/b53aa7722ed22047812b205d93da328342f54984.jpg,370410875,BV1rZ4y1W7Lv,1587808819,2020/4/25,18:0:19,04:38,2028,19653,36110,3540,46681
【古筝】iL —— 160的速度你想秒我？得得得～,2767,590176,//i2.hdslb.com/bfs/archive/cd9d5dd47cdaef5d4642da0d4f6f0c3b69341ef3.jpg,370009954,BV1NZ4y1j7zu,1586084414,2020/4/5,19:0:14,03:28,2968,17229,36840,4088,69269
【一人双筝】黄金之风处刑曲 il vento d’oro —— 我真是high到不行！,5226,1247121,//i2.hdslb.com/bfs/archive/3929861525c16dfefbb95572d26dc74768965e5c.jpg,412507811,BV1uV411f7bq,1585648836,2020/3/31,18:0:36,04:13,9234,95555,215192,26037,201130
【古筝】明月天涯,2356,347143,//i0.hdslb.com/bfs/archive/6b09f1a59add5679aa90dbeec211709fc89ad64f.jpg,98027731,BV1KE411P7B5,1584770435,2020/3/21,14:0:35,03:06,3310,15847,35489,2279,50728
此梦缘君—既仙又攻的六种民乐合奏是这个样子,1078,271010,//i2.hdslb.com/bfs/archive/aec42163d9fa1cee4f7eebb70f0a8e5eded11359.jpg,84386955,BV1H7411i7yp,1579838414,2020/1/24,12:0:14,06:01,2078,12390,17761,2424,27576
【民乐x摇滚】同道殊途——新年器乐大乱炖,3266,660238,//i0.hdslb.com/bfs/archive/9bceed53f9232dc3cf386f680743da9188b5cd2d.jpg,84400529,BV1L7411i7sd,1579604414,2020/1/21,19:0:14,06:42,8416,54065,79245,9250,81123
【墨韵】原创曲《爱竹说》-「淑女飘飘拳」印象曲,1096,263940,//i1.hdslb.com/bfs/archive/3eea78a928de74e383ab726a53b2795c63523ce6.jpg,81987653,BV1VJ411779C,1578117617,2020/1/4,14:0:17,08:37,2014,6397,15261,1104,22847
【墨韵】临安小记（筝/小提琴）-《食物语》江南印象曲,1514,341798,//i0.hdslb.com/bfs/archive/a4f58fde36a0cc625768f7d45e7196bd28064b96.jpg,67629271,BV17J411N7zn,1568385376,2019/9/13,22:36:16,04:00,2333,8647,17579,1264,27498
