title,comment,play,pic,aid,bvid,created,date,time,length,video_review,favorite,coin,share,like
试吃炭烤莫桑比克玫瑰龙！无敌！,3095,1519474,//i1.hdslb.com/bfs/archive/ca0f5fb85d0174cb487fe69ee24c5f59b2b03912.jpg,455993484,BV135411W72e,1591956008,2020/6/12,18:0:8,06:43,12353,6557,26129,2474,111924
试吃两斤半一个的巨型生蚝，这真的是我见过最大的生蚝了！,3383,2325294,//i0.hdslb.com/bfs/archive/c2cc1215eac7f305970ea4fb6c0f4ec0b193469e.jpg,968385528,BV1Dp4y1S7PW,1591351201,2020/6/5,18:0:1,05:32,12246,7047,36701,4435,158720
分享七种不同类型的酒，绝对有你没见过的！,2241,1343458,//i0.hdslb.com/bfs/archive/a981bd025aaf4c8a8864e9a3159009ef2278635d.jpg,753348091,BV1Vk4y1r7pY,1590746457,2020/5/29,18:0:57,10:21,7143,13592,21763,3447,85045
这才是螃蟹的正确吃法！打破了一直以来我对螃蟹的认知！,3549,2489170,//i2.hdslb.com/bfs/archive/d9ea2b3bee2ba8cc089b9a005c5846d126a75b7f.jpg,925798537,BV1uT4y1g7Ts,1590141605,2020/5/22,18:0:5,07:35,18845,9458,36218,5056,142485
我兄弟说我这个烤乳猪在饭店最少卖2000！你们觉得值么？,3968,1846047,//i1.hdslb.com/bfs/archive/dd9a01365b556f8dd83ae836d2b4b486a9b3424f.jpg,710721057,BV12Q4y1A7nz,1589968830,2020/5/20,18:0:30,08:59,26528,6795,25557,4218,124742
试吃世界最大的青蟹品种，时隔一年，只有它的大钳子能跟皇帝蟹媲美！,4581,2472618,//i1.hdslb.com/bfs/archive/e901f6aada131535ef0a6a33e387087f4012f5d7.jpg,370649575,BV19Z4y1s7YG,1589536804,2020/5/15,18:0:4,10:08,22659,7819,36546,4986,148383
这些零食如果你没吃过一定要尝尝！嗝儿~,3900,1909309,//i1.hdslb.com/bfs/archive/d25aac38798c4a9af94fe5d324d037fd47222857.jpg,498196214,BV1BK411W7Se,1589364033,2020/5/13,18:0:33,10:19,20938,6743,19985,2697,113213
试吃长额弓背虾！海鲜爱好者无法抗拒的美味！,3859,2536405,//i1.hdslb.com/bfs/archive/84f39252aeae1f33f67777948470227e6e1e6d39.jpg,200515490,BV1Bz411z7MB,1588932007,2020/5/8,18:0:7,05:39,14633,6335,28774,2291,139159
试吃究极无敌A5菲力牛排，别问哪来的！马路边捡的！,4901,2751644,//i2.hdslb.com/bfs/archive/d4fd1a8448c91c955c32b94c036e857642f0b2a7.jpg,967994475,BV1gp4y1972d,1588327254,2020/5/1,18:0:54,06:22,22330,8511,42712,3419,162820
试吃法国生蚝+马粪海胆+鱼子酱+柠檬！有一说一真的牛批！,5371,2434862,//i0.hdslb.com/bfs/archive/78a8facd4e31acd4506ae161717044483ececf7c.jpg,327879218,BV1dA411b7nf,1587722439,2020/4/24,18:0:39,07:52,28155,9157,47018,5721,161386
试吃450一盒的天价巧克力番茄和普通番茄有什么区别？,10830,3020466,//i0.hdslb.com/bfs/archive/216995ea52de62a1e746f6e20167d6daaff4354b.jpg,795263805,BV1oC4y1s7K5,1587121222,2020/4/17,19:0:22,10:01,111849,10908,48617,3893,184149
活蟹生醉！这是我吃过最好吃的醉膏蟹！中华美食天下第一！,5245,3241069,//i2.hdslb.com/bfs/archive/847d2fae6e2a780da92e456be61b443bcb848093.jpg,242682563,BV1Me41147Zr,1586512820,2020/4/10,18:0:20,07:38,33574,12151,61757,8184,181729
自制和牛温泉蛋鱼子酱盖饭，就俩字！过瘾！,4844,2772215,//i2.hdslb.com/bfs/archive/52fc1dbcf323bfa4ac6f764e1622051ff4f9d2aa.jpg,840001312,BV1654y1R7hy,1585908035,2020/4/3,18:0:35,04:27,20525,10318,45215,6105,161972
大祥有鲲，其名为鲛。,5678,3134353,//i2.hdslb.com/bfs/archive/66b93120519169b8986c19c7119da38183a5d991.jpg,99520055,BV1w7411y7Z1,1585303237,2020/3/27,18:0:37,08:02,37781,10167,55953,4864,184977
试吃世界顶级战斧猪排！没想到竟然这么好吃！,5667,2859915,//i2.hdslb.com/bfs/archive/07f8288d09814993e0f35fed7323bd374922a135.jpg,97617560,BV1QE411P7oN,1584698423,2020/3/20,18:0:23,08:55,40139,11668,57204,5956,186109
小伙吃鱼子酱上瘾，直接买了一斤只为吃个痛快！,8869,3684462,//i1.hdslb.com/bfs/archive/cf93f70c5debbdc67c90cff55fa8eae2c38cd772.jpg,95724586,BV1fE411V7jB,1584093642,2020/3/13,18:0:42,08:32,64003,15528,94293,9880,233687
一上午输了20万人民币，网赌到底有多可怕？,38240,6455801,//i2.hdslb.com/bfs/archive/6358a69824341ffebf3a2ba50ec3c8b65a9efbd4.jpg,94051636,BV13E411s7kf,1583488840,2020/3/6,18:0:40,11:46,119516,106735,436220,65788,607612
分享烹饪3580元一位的顶级日料中最好吃的一道菜！包教包会！,5492,3908328,//i1.hdslb.com/bfs/archive/c828665a3f04cbe71c0b41e96e2631af2a5a42ea.jpg,92274735,BV18E411n7w1,1582884042,2020/2/28,18:0:42,08:18,30778,102523,196874,10026,317084
试吃不知名的海螃蟹！主要是分享盐焗大法！,4033,2616165,//i2.hdslb.com/bfs/archive/8dd9d1d64fb1be4560734f39cfe57d348af4faf4.jpg,90590337,BV1b7411w7p5,1582271045,2020/2/21,15:44:5,05:06,12514,7398,39791,2955,129688
试吃比龙虾还贵的超大对虾！出乎意料的好吃！,3629,3316671,//i0.hdslb.com/bfs/archive/b6160a018c89b95653301e4fc02995c7f01632bc.jpg,88828759,BV1j7411G7J5,1581674411,2020/2/14,18:0:11,07:01,24205,11626,64778,8664,179993
试 吃 异 形,6393,5211081,//i0.hdslb.com/bfs/archive/07b4ac0f3a2a6a9e98ada8ded9620224b9be5b0c.jpg,86815148,BV1o7411n7Bk,1581069646,2020/2/7,18:0:46,06:44,32043,15212,81995,7787,237038
几十次试验优化出的最好吃的全熟菲力牛排做法！你值得拥有！,2977,2486750,//i0.hdslb.com/bfs/archive/db71c408f6881cc44ad279c27d349b615f545a35.jpg,85854904,BV187411B7m3,1580464845,2020/1/31,18:0:45,04:53,13668,16119,50520,5853,138569
试吃深海中的大刺猬：刺蟹！好像又是B站首吃！嘻嘻！,5021,3695239,//i1.hdslb.com/bfs/archive/9ff6349ad8a3b799ebd16a297c095e8a7e252c24.jpg,83601490,BV1TJ411n7dc,1579860026,2020/1/24,18:0:26,06:02,17796,8992,49370,3095,169966
试吃自制两千多元的超级海鲜大火锅【拜年祭情报】,4277,3670083,//i0.hdslb.com/bfs/archive/0347c78479a8a09deca203ba9812b0eadfd9b8f1.jpg,83597318,BV1KJ411n7CD,1579600851,2020/1/21,18:0:51,11:19,23533,14259,57124,12746,171311
试吃不同品种的释迦果，熟透的释迦果竟然这么好吃！,3589,2526584,//i1.hdslb.com/bfs/archive/504569d3a0af4301271746758692114a3184d43f.jpg,83452180,BV1VJ411J7AB,1579255248,2020/1/17,18:0:48,07:11,15443,6083,27812,4848,108003
试吃营销号说有剧毒的日本馒头蟹！圆圆滚滚好看又可爱！,3344,3632953,//i2.hdslb.com/bfs/archive/46f2b9ba27515c54166288765d33203a557d2e38.jpg,83304452,BV1EJ411H7ye,1578996024,2020/1/14,18:0:24,07:36,15147,9277,51834,3493,159195
一年内从零到三百万粉年终总结加读评论！,8326,1471535,//i2.hdslb.com/bfs/archive/76a1f8ac0de5319eff3de17f6da2d1ac40046ae0.jpg,82775572,BV13J411V7fe,1578650418,2020/1/10,18:0:18,08:16,59786,10728,57632,1845,117090
试吃价格相差十倍的蓝纹奶酪！真的有传说中那么臭吗？,4477,2732602,//i0.hdslb.com/bfs/archive/a7bbd232d14334b66979eeff7b958ee95cc85e98.jpg,82332918,BV14J411V7WW,1578391239,2020/1/7,18:0:39,06:39,18757,6871,36189,2928,119814
喜欢吃螃蟹或海鲜的小伙伴甚至UP主们您一定要看看这期视频！！,3029,3521576,//i2.hdslb.com/bfs/archive/389644877a401ae2ffd0473323ee48ee7c2b8607.jpg,81836821,BV1tJ411j7NS,1578045612,2020/1/3,18:0:12,08:48,12154,16683,114618,3619,196535
试吃吃日本拟人面蟹，蟹肉竟然是橘红色的！,2408,2905094,//i2.hdslb.com/bfs/archive/0a7d199f6c15266a61d7c181f9d163728c6fffce.jpg,81369577,BV13J411h7G5,1577786427,2019/12/31,18:0:27,06:20,11060,6035,37332,2378,116279
试吃世界上体型最大的甲壳动物【杀人蟹】太过瘾了！,5974,6071545,//i2.hdslb.com/bfs/archive/751a6f828bb78dfe6e1abd3c5b830dc94f82db68.jpg,80805503,BV1bJ411Y7o5,1577440807,2019/12/27,18:0:7,10:22,40325,32769,151489,32744,279511
试吃道氏深水虱，这玩意真的有人吃吗。。。,4247,3595811,//i2.hdslb.com/bfs/archive/f4032f730fa54293dfa52f49fa4c07c84c96aa78.jpg,80425684,BV1HJ411x7Si,1577181610,2019/12/24,18:0:10,07:22,27464,7349,42024,5523,139136
试吃3580元一位的日本料理，大家觉得值吗？,4932,4059395,//i1.hdslb.com/bfs/archive/346584871491a56d7981d89087fa9d2b47db9da1.jpg,79906594,BV1RJ411t7F8,1576836040,2019/12/20,18:0:40,11:08,27016,24368,98355,16756,210959
