title,comment,play,pic,aid,bvid,created,date,time,length,video_review,favorite,coin,share,like
日本1人专门煮饭器，为单身狗量身定制，男子买回一试结果。。。,1397,632359,//i0.hdslb.com/bfs/archive/13276f1141b61e33786689c1853bc68af482b499.jpg,541036180,BV1vi4y1x76f,1592013614,2020/6/13,10:0:14,04:19,8288,4311,15048,821,66123
日本超火网红拉面，男子打包一碗回家，吃完结果。。,3023,1168743,//i2.hdslb.com/bfs/archive/60db613eb535a8a43b72a003ff9a79e65857f58e.jpg,455640020,BV1L5411s7tR,1589968197,2020/5/20,17:49:57,03:55,5021,7409,18357,1719,97734
日本拉面店的溏心蛋是怎么做的？男子试了下,3341,1614735,//i1.hdslb.com/bfs/archive/5a037e03b692873f1bded74390a24ee26f455875.jpg,370686076,BV1WZ4y1p7i2,1589595002,2020/5/16,10:10:2,04:20,6636,21272,40591,2223,149413
男子日本网上买了蛋包饭生成器？倒入蛋液后结果。。。。,5681,2065922,//i1.hdslb.com/bfs/archive/30786fbbdf0a87fd25aa678b90775c4e007d1afe.jpg,98928003,BV1W741127Sq,1585034417,2020/3/24,15:20:17,05:55,28661,10927,42395,2552,171793
日本现在到底有多危险。实拍疫情下的日本,15743,2745767,//i1.hdslb.com/bfs/archive/e121e554c508e44494a5c93b57d7de150f959884.jpg,94772341,BV1PE411u7oY,1583750123,2020/3/9,18:35:23,04:53,15940,15553,66645,4347,297029
【处 处 杠】 建 议 改 成：祖 安 之 歌,4383,1550123,//i0.hdslb.com/bfs/archive/97850eb97735b5ec33d36e3958fe0531738269c1.jpg,91065378,BV1kj411f7kA,1582451860,2020/2/23,17:57:40,02:06,13462,34075,56499,5486,152565
日本香蕉开外挂，连皮也能一起吃？中国男子大吃一根结果。。,2846,1354825,//i2.hdslb.com/bfs/archive/fa09ad27aab61c070170fffd20f32ce8bd457313.jpg,90255601,BV1z7411A75h,1582194921,2020/2/20,18:35:21,04:14,7562,6078,17986,2513,112058
男子作死打开妹子的手机浏览记录，结果....,1606,1421738,//i1.hdslb.com/bfs/archive/564a4f6efedcf46b6e372f416f3ffdaad8fa58c7.jpg,85760587,BV1c7411B7mr,1580466924,2020/1/31,18:35:24,10:55,8417,6635,16353,906,84179
中国男子在日本呆久了回国后会怎样？,1648,946359,//i2.hdslb.com/bfs/archive/6f01db7d0145ecd1f0aa1015d7cd99b4d7afbd50.jpg,84826881,BV1P7411Y7a9,1579863622,2020/1/24,19:0:22,04:39,6269,3665,7909,611,57331
日本服务业妹子平常都吃啥？拍日本妹子吃午饭，结果....,1689,1282052,//i1.hdslb.com/bfs/archive/e63601c607e7a9dfede0712b62a9186f8904dccb.jpg,84522079,BV1p7411e7NE,1579689321,2020/1/22,18:35:21,05:27,7397,3802,7535,584,59575
男子花了2万日元在日本买了个便当，一打开结果…,4056,5037567,//i0.hdslb.com/bfs/archive/e4796fce2ad72a0d0c74873d56b1a0787f208710.jpg,81847211,BV1HJ411j7vs,1578047758,2020/1/3,18:35:58,05:04,53403,52561,224253,4205,420569
外国人第一次喝中国的豆浆，喝完竟这样说…,1418,1641302,//i2.hdslb.com/bfs/archive/526e875a9e65e70edd25fcb5e1532837bc6e3544.jpg,80599544,BV1pJ411W7rX,1577280649,2019/12/25,21:30:49,04:30,4049,8622,30098,873,89854
男子做了个巨型红色奥利奥，妹妹吃完结果...,1396,999051,//i2.hdslb.com/bfs/archive/72d9aba27c0c807cc0492b85fd960dcd0550492c.jpg,80064231,BV1gJ41147sq,1577097060,2019/12/23,18:31:0,03:30,3852,2914,6049,855,44413
