title,comment,play,pic,aid,bvid,created,date,time,length,video_review,favorite,coin,share,like
史上最骚魔鬼套路“永眠姐妹花”，教你如何让敌人化身电竞张飞！,1155,644605,//i0.hdslb.com/bfs/archive/7e8c1c6f52b8d6d0beb69c7c69eb8e29bba6f674.jpg,370777321,BV1QZ4y1p7A1,1590724835,2020/5/29,12:0:35,08:08,1991,16331,59489,4502,74638
LOL当前版本最变态下路组合“束缚姐妹”，教你如何折磨对手！,1113,638540,//i1.hdslb.com/bfs/archive/260bb8d2e85d70162d75e7d241327586519e42e3.jpg,968199723,BV1kp4y1Q7Cs,1589601636,2020/5/16,12:0:36,08:09,1979,8717,28662,4438,57488
男  女  折 磨,262,126708,//i1.hdslb.com/bfs/archive/8fe5dfee8d360365b8dc95d110b72d81401ca536.jpg,838135047,BV1dg4y1q7zM,1589363126,2020/5/13,17:45:26,07:28,377,604,2012,70,8745
实锤！百万”僵尸粉”UP，场面惨烈！,268,129179,//i1.hdslb.com/bfs/archive/69a60e9e1f13681f6a123d14dc01b847061c14d7.jpg,455524705,BV13541147WM,1588936899,2020/5/8,19:21:39,12:54,698,1022,2725,415,11158
150万人都惊呆了的亚索表演。,880,374800,//i0.hdslb.com/bfs/archive/86488a8a414dcad0d0a2d0c5d4abcf7cb0bdebe0.jpg,967750589,BV1Pp4y1y75Q,1587528010,2020/4/22,12:0:10,09:21,1788,2384,6088,1386,26075
史上最骚魔鬼套路之“芜湖兄妹”教你如何让对手人间蒸发。,1007,641750,//i0.hdslb.com/bfs/archive/d92f6d43d81e627d608e59a7358c7de77719de99.jpg,412863950,BV17V411Z7tA,1587182420,2020/4/18,12:0:20,07:22,2068,9419,30311,5498,59443
举 高 高 战 队,1274,393298,//i2.hdslb.com/bfs/archive/4b9ab466f16a57275600f4e8d61c17c003709af1.jpg,97313632,BV1N7411R7of,1584518414,2020/3/18,16:0:14,03:50,864,3562,11065,2355,35306
五 软 妹 战 队,876,316777,//i0.hdslb.com/bfs/archive/3ab6a905ba918c5225bf819e97608653d2860c19.jpg,96772752,BV1Q7411o7ee,1584349624,2020/3/16,17:7:4,07:30,1347,2225,6854,2330,24003
【B站三废】史上配合最烂小队，笑到肚子抽筋# 2,463,230771,//i0.hdslb.com/bfs/archive/7e70707a568735102b928c9c696532a2a425e6f7.jpg,94041540,BV1FE411s7N8,1583467246,2020/3/6,12:0:46,11:58,1645,2631,9022,2035,22509
【B站三废】史上最吊车尾玩家，笑到窒息肚子抽筋（1）,562,354990,//i1.hdslb.com/bfs/archive/b4bd84301adb6004eb716a22dc1a393a4b69a023.jpg,92536265,BV1BE411H7K4,1582948817,2020/2/29,12:0:17,15:12,1617,3537,10752,2689,26197
史上最骚魔鬼套路“上单渣女”教你如何让对手气急败坏。,2480,890101,//i0.hdslb.com/bfs/archive/30bb036cb1da3fc4043f5d6879b788e659db54b0.jpg,90504093,BV1A7411w7J1,1582257657,2020/2/21,12:0:57,07:49,3355,14427,61274,5180,95597
当你穿越到异世界如何做一名谨慎的勇者,471,206161,//i0.hdslb.com/bfs/archive/cc2d71bd97e36aebfe359575186ba90f6d862dd6.jpg,88974018,BV1h7411g7Yc,1581681649,2020/2/14,20:0:49,06:47,675,974,3812,481,13233
史上最骚魔鬼套路“奥利给姐姐”教你如何让对手脑淤血,1945,1147822,//i0.hdslb.com/bfs/archive/ce40fdb6956668ba3610067f7349b09a5d2fb30d.jpg,86803884,BV1X7411n7r3,1580875241,2020/2/5,12:0:41,07:12,3582,24859,92866,16758,119528
史上最骚魔鬼套路“妈妈爱你”组合教你如何带妹上分。,1453,1325305,//i2.hdslb.com/bfs/archive/6dde06fd933712a3afadae521ddc9296f9498560.jpg,83765265,BV1jJ411E7mh,1579233610,2020/1/17,12:0:10,07:49,4503,19430,78067,15667,95615
史上最骚魔鬼套路“女神烧香”教你如何融化对手。,1167,1044837,//i2.hdslb.com/bfs/archive/f03170c252fac42ef0c87a4fffeaa8864ca434e0.jpg,80877220,BV1AJ411e7GA,1577447478,2019/12/27,19:51:18,07:35,6004,13917,52255,3155,71941
史上最骚魔鬼套路“吸血鬼少女”教你如何删除ADC。,1435,1060270,//i1.hdslb.com/bfs/archive/0c2b5ede3cbe993812b2188251c628aeb4921b2c.jpg,78818566,BV1ZJ411y7RJ,1576037108,2019/12/11,12:5:8,07:53,3146,12806,48926,8595,69008
史上最猛刷分套路！“无限剑制”教你如何气哭你的对手！,1592,964303,//i2.hdslb.com/bfs/archive/9adce88f80da02b7bd8922b3c5bf781cdd95939d.jpg,76583720,BV1AJ411d7GU,1574406076,2019/11/22,15:1:16,06:39,1798,17733,35186,6619,59542
S赛上最骚魔鬼套路“怪盗机德”实战演示，教你如何钩到敌人泪崩。,818,937728,//i1.hdslb.com/bfs/archive/316692125007a9aadc7667c36ffd3dcad8f9ae6e.jpg,74909965,BV1jE411q7MK,1573185641,2019/11/8,12:0:41,07:12,1728,10786,31978,11431,50518
当键盘侠穿越到异世界会发生什么,226,158182,//i2.hdslb.com/bfs/archive/40331e132f977280db761fb581520a021e0974fa.jpg,74041664,BV1ZE411b7WN,1572523249,2019/10/31,20:0:49,09:58,559,627,2655,249,7466
史上最骚魔鬼套路“宝石之国”教你如何玩坏你的对手,956,803794,//i1.hdslb.com/bfs/archive/8bd728f8c732a2daff05ecee00ec6bb90451f143.jpg,71683151,BV1AE411k7ns,1571457606,2019/10/19,12:0:6,06:25,1372,19181,44722,13506,61948
云顶之弈版本最骚套路“肥龙在天”，教你如何靠挨打就能吃鸡！,604,398494,//i2.hdslb.com/bfs/archive/d75098d6890e0740a2cbadc23d296403aa416a71.jpg,70926135,BV1uE411Z7A4,1570852853,2019/10/12,12:0:53,05:32,2452,4887,12019,755,24022
史上最骚魔鬼套路“啤酒少女”100%锁头秒杀教你如何鲨疯对手。,1151,1041086,//i0.hdslb.com/bfs/archive/c03bd808883de32fe2af034b3b8b869a7e51f5b7.jpg,69613116,BV1TE41197UN,1569913222,2019/10/1,15:0:22,05:32,1860,12142,45753,7516,63221
【互动视频】星之守护者妮蔻迷惑历险记,437,157650,//i2.hdslb.com/bfs/archive/3ff8287ff671ea5464330f62563d8a6b9059a3b8.jpg,69381245,BV1iE411R7t9,1569748186,2019/9/29,17:9:46,06:10,461,887,3092,377,8721
穿越到异世界做“渣男”是什么感受,438,260828,//i0.hdslb.com/bfs/archive/fbbad9bd809d78c2033786e0fdc9544d53dde12e.jpg,67454055,BV1WJ411P7Aw,1568282409,2019/9/12,18:0:9,07:31,576,716,2550,251,8229
史上最骚魔鬼套路“枪炮玫瑰”甜甜果实性感手枪教你如何酸死对手！,1957,1134843,//i1.hdslb.com/bfs/archive/d4c94903b39be3fb673fd4b52579b92246bb4ee3.jpg,65100944,BV1x4411r7HB,1566619230,2019/8/24,12:0:30,07:47,3364,23760,52408,11173,66677
