title,comment,play,pic,aid,bvid,created,date,time,length,video_review,favorite,coin,share,like
【漫评】一口气看完鬼灭之刃决战篇！大结局都演了啥？真的烂尾了吗？,1179,251620,//i2.hdslb.com/bfs/archive/e969e081c7ea527719589c1b97bc6cffdfd89757.jpg,625998179,BV1ht4y1y7GF,1591701678,2020/6/9,19:21:18,28:47,2778,7705,16065,570,23286
【侃国创】这部国产新番口碑炸裂！细节良心吹爆！主角竟是一只猫？,670,181621,//i2.hdslb.com/bfs/archive/e8fcfd92570c34e6cceaa88d5acd86cc9b5724c5.jpg,838313756,BV1wg4y1z7C3,1590663625,2020/5/28,19:0:25,08:48,820,1806,1619,232,11656
用《今日说法》的方式打开国产动画？,266,56001,//i0.hdslb.com/bfs/archive/9a3e2ba5d8726f72f0d9f016515e6cb84b1ef2e8.jpg,498300539,BV1GK411s7MF,1590400848,2020/5/25,18:0:48,02:52,329,778,896,116,6616
【漫画屋】前女友手撕假女友，基友横插一脚？场面一度十分混乱！租借女友#3,571,144634,//i2.hdslb.com/bfs/archive/5d817b9272f87b625c1e43cbf7fed65eb9aa21c6.jpg,968147164,BV1Ep4y1Q7PT,1589707837,2020/5/17,17:30:37,18:06,1554,1328,1725,271,16355
【天堂】有没有那么一部动漫陪你度过了整个青春,549,102669,//i2.hdslb.com/bfs/archive/7d6c9dd6608620bbc11b1d3472a1e6c647d5ca82.jpg,883222331,BV1KK4y1t7rF,1589544057,2020/5/15,20:0:57,15:11,1304,1721,2801,170,9232
【漫画屋】前女友酒后邀我去她家坐坐是什么意思？在线等，急！租借女友#2,621,189202,//i1.hdslb.com/bfs/archive/5fb5d19b105e4dcbda1c840b5cb18d7c237c2ac7.jpg,455695627,BV1n5411s7YY,1589189419,2020/5/11,17:30:19,12:53,2388,2022,2958,377,20757
【漫画屋】5000块一小时租了个女朋友，却用来做了这些事？租借女友#1,1317,262804,//i0.hdslb.com/bfs/archive/d28d58e11c496749791907dabd92c071da2de803.jpg,883108640,BV1HK4y187XD,1588584618,2020/5/4,17:30:18,13:32,2537,3055,3834,533,24592
【天堂】明日方舟中那些你不知道的考据和彩蛋！竟暗藏如此多有趣的细节？,644,142838,//i2.hdslb.com/bfs/archive/031fd481df213f6cb38ec5801915742deb306961.jpg,625403786,BV1Dt4y1272i,1588305642,2020/5/1,12:0:42,13:25,2063,4676,3605,725,16153
企 鹅 物 流 抬 棺 队,606,336065,//i2.hdslb.com/bfs/archive/b528c9a2bf5c967f7bffe78c9f69b5b55d7f568b.jpg,242975152,BV1fe411s7nL,1587906170,2020/4/26,21:2:50,01:10,891,9443,4152,1840,30657
车车好快的车车！什么？居然是改装车？【新番爱吐槽】,434,221492,//i2.hdslb.com/bfs/archive/7d485df6f6af2800511e22cebb503d9f92353e4e.jpg,752987457,BV1Pk4y1k7Tb,1587567531,2020/4/22,22:58:51,14:13,1441,2960,5642,272,15232
【天堂】UP主竟然参加了凹凸大赛？！,278,55990,//i0.hdslb.com/bfs/archive/1025c993427f86037cf2b8a2623c51b4e1ef39bf.jpg,625340617,BV1at4y127eq,1587038415,2020/4/16,20:0:15,17:29,307,423,231,62,4693
快住手！这根本不是决斗！！！【新番爱吐槽】,692,396383,//i0.hdslb.com/bfs/archive/bb7813fd16d5d5b1c640df20ac9bf9ed212a2abc.jpg,242868404,BV1Le411s7QU,1586961208,2020/4/15,22:33:28,12:56,2850,5409,14010,316,30524
这个男主开局后宫凑一桌麻将，连嫂子都不放过？【新番爱吐槽】,710,347415,//i1.hdslb.com/bfs/archive/c0fba56458eeddb923a1d6b7c63960b8ec6d07d3.jpg,200145650,BV1hz411b7tJ,1586439402,2020/4/9,21:36:42,12:13,2769,3787,5623,252,20885
【漫画屋】悬疑烧脑！为拯救家庭踏入修罗的父亲，拷问人性的最后博弈！MY HOME HERO#6,828,273920,//i0.hdslb.com/bfs/archive/d631d122c8238a18eec7f8c085e33e0a6630dfce.jpg,99000578,BV1m741127N6,1585137901,2020/3/25,20:5:1,21:55,3530,11201,22167,646,27257
【漫画屋】神展开！精妙布局烧脑陷阱，死线来临前最后的博弈！MY HOME HERO#5,620,248584,//i1.hdslb.com/bfs/archive/9e02a64ea894dc2b6a5e1af4ed09e9e760a1c502.jpg,97122369,BV127411d7yM,1584533133,2020/3/18,20:5:33,16:53,1661,11287,22680,523,26615
【漫画屋】剧情刺激！为救落入虎口的女儿，高智商父亲如何创造一线生机？MY HOME HERO#4,863,290340,//i0.hdslb.com/bfs/archive/3abe050feaea7164abdd1e6f3207cf23cdf07a87.jpg,95550910,BV1vE411L7tT,1584014732,2020/3/12,20:5:32,11:46,1770,11548,23645,476,28526
【漫画屋】连环智斗！史上最强人妻如何套路他人逆转绝境？MY HOME HERO#3,593,220402,//i2.hdslb.com/bfs/archive/31df724dad03accb556062420dc0493237c7fa72.jpg,93766686,BV1jE411x7JU,1583409918,2020/3/5,20:5:18,18:46,1628,9509,19109,406,23843
【漫画屋】层层博弈！父亲为救家人捏造虚构案件洗清嫌疑，竟意外落入致命危机？MY HOME HERO#2,536,280227,//i1.hdslb.com/bfs/archive/4075ec113f4834932f8c66c242d54ef8192dc58f.jpg,91984876,BV1M7411T7ic,1582805131,2020/2/27,20:5:31,13:13,1856,11284,21694,604,26998
【漫画屋】女儿被人渣糟蹋，父亲杀人后和黑道展开智斗博弈？剧情连环翻转拍案叫绝！MY HOME HERO#1,1640,473893,//i0.hdslb.com/bfs/archive/52261204a9201af67df7b11970156e19ebaa364e.jpg,90459820,BV1U7411c7ek,1582373146,2020/2/22,20:5:46,22:25,4746,24217,40333,4548,46829
对王之王尕天堂,722,260511,//i1.hdslb.com/bfs/archive/72303a566a588ba42de32566d2ff9951df720083.jpg,87747087,BV1V7411b7Bm,1581249953,2020/2/9,20:5:53,01:53,1342,5873,15193,652,31408
UP主配音版逆转裁判同人剧场：逆转的手办【H萌贺年祭单品】,353,67983,//i1.hdslb.com/bfs/archive/3e9f4d4a639d01b62459c4856986fb08369ce352.jpg,87432036,BV1t741187Yt,1581163511,2020/2/8,20:5:11,57:32,903,1363,1858,204,6336
【H萌贺年祭单品】一个你看了就会裂开的《芒种》！天堂&小智&水番【MMD】,532,86114,//i1.hdslb.com/bfs/archive/59000334e8a08e98a6c358dcc7be38ea64ccc3dc.jpg,86813857,BV1R7411n7x1,1580896843,2020/2/5,18:0:43,01:51,869,931,1427,378,8202
我听的炮姐第三季OP怎么和你们不一样？,578,191746,//i2.hdslb.com/bfs/archive/d883b88a539f82e9598046db239bad13e5998ced.jpg,85808055,BV1T7411B7nj,1580395174,2020/1/30,22:39:34,02:33,635,3466,3055,385,14177
2020年H萌贺年祭 属于你我的二次元春晚,1930,547006,//i0.hdslb.com/bfs/archive/a8d2e08cb4b6a16aa96fe18dcfe531d6651c5478.jpg,84992318,BV1F7411k7bH,1579962012,2020/1/25,22:20:12,251:15,13243,20755,32132,2470,47206
【新番爱吐槽】开始了吗？不！已经结束了！一月新番第二轮盘点！,346,257886,//i2.hdslb.com/bfs/archive/1df4b8feae96a2049ac73a3067e74267b6b927c9.jpg,84561140,BV1p7411e76u,1579696545,2020/1/22,20:35:45,14:48,1840,4088,10304,181,17979
【新番爱吐槽】500岁的精灵美女和50岁的人类大妈，他们竟然选了？,524,281662,//i2.hdslb.com/bfs/archive/16414452dcad80cfa06ff5e0d67ed34e7ec972c2.jpg,83534892,BV1mJ411J72B,1579094451,2020/1/15,21:20:51,13:11,1353,3481,5496,184,16393
【天堂】用影视名场面的方式打开动画会怎样？,341,185488,//i2.hdslb.com/bfs/archive/a94d17a41be4020edb9895ead5b51e4bed16329b.jpg,81349922,BV1RJ41187To,1577793947,2019/12/31,20:5:47,04:24,537,5297,11910,989,20720
【漫画屋】当沙雕主角遇上这种黑深残展开会发生什么？,141,79976,//i1.hdslb.com/bfs/archive/cf3845772deefa73d1ee9dbb0d6a3cb1e5372bdd.jpg,80871949,BV1wJ411e7Ev,1577448035,2019/12/27,20:0:35,18:26,210,1096,1387,91,5520
【宅语异闻录】日本各大漫画杂志及代表作全介绍！你知道自己喜欢的作品在哪连载吗？,447,120330,//i2.hdslb.com/bfs/archive/a29c8ca8136e8aab01cce3359742884494648b75.jpg,80361019,BV1wJ411x7Kq,1577106021,2019/12/23,21:0:21,17:16,1428,5122,6830,326,11284
【漫画屋】这个主角明明超强却过分胆小！逆境翻盘的伏笔竟埋的如此深？,174,114310,//i1.hdslb.com/bfs/archive/80727393cad96a2232e154d5ff804b452ad348d7.jpg,79869900,BV1XJ411t7kf,1576837738,2019/12/20,18:28:58,21:46,441,1513,2058,91,6164
【漫画屋】史上最丢人主角！统领千军万马却天天被吓晕？,249,128123,//i1.hdslb.com/bfs/archive/af30a6eb31d5e028c88b694b068c77d47d134103.jpg,78867012,BV1PJ41117MU,1576231212,2019/12/13,18:0:12,21:12,818,1953,2932,188,7677
【天堂】黑长直or双马尾你选哪个？浅谈动漫中发型与人物属性的奇妙联系,402,99595,//i0.hdslb.com/bfs/archive/3c1d935e210cb64043e7312f21b99baf07a29561.jpg,78238524,BV1bJ411i7DR,1575633612,2019/12/6,20:0:12,11:10,992,1381,1221,125,6130
【漫画屋】神反转！主角竟用这种骚套路绝境翻盘？反派都被气傻了！欺诈游戏#15,553,245316,//i0.hdslb.com/bfs/archive/07bfa8e274ef2c4245194c29e5e6d30135ee7442.jpg,76372210,BV1kJ41117k3,1574252418,2019/11/20,20:20:18,15:59,925,5962,13912,315,15580
影 流 黑 白 熊,398,222705,//i1.hdslb.com/bfs/archive/73ef1589031bc1d320ff158797dd596a41a125df.jpg,75986006,BV1TJ411S77T,1573965123,2019/11/17,12:32:3,00:14,244,3237,1800,1230,10535
【漫画屋】极限烧脑！连背叛也能利用的智斗游戏！欺诈游戏#14,253,230708,//i1.hdslb.com/bfs/archive/536cd9fc916ec33babc8e98d4eb80d18552162cc.jpg,75573969,BV1DJ411S7k1,1573650011,2019/11/13,21:0:11,13:02,818,8353,15319,272,17130
【漫画屋】史上套路最多的勾心斗角！剧情连环反转！欺诈游戏#13,371,211806,//i2.hdslb.com/bfs/archive/5efea9d5c67b8fec4637a6e327badb425ab81cb7.jpg,74559470,BV1uE411B7Pe,1572871821,2019/11/4,20:50:21,13:31,680,8969,17555,308,18597
【漫画屋】最巅峰的智斗对决！尔虞我诈的抢椅子篇！欺诈游戏#12,480,292195,//i2.hdslb.com/bfs/archive/202c5c52152a4b2f5dfdcf4123fb2d331ddf0744.jpg,73681783,BV1UE41187Lw,1572264612,2019/10/28,20:10:12,12:48,979,9603,18244,536,19880
这几部新番无人敢买！展开刺激！UP主都看傻了！【新番爱吐槽】,991,721434,//i0.hdslb.com/bfs/archive/ea34c8bc508653534c609e8b20fed0cdc36b37d1.jpg,73181278,BV1aE411y7JA,1571841536,2019/10/23,22:38:56,10:54,2676,7790,6647,361,15511
新番角色竟热跳新宝岛？这几部动画开播口碑爆棚！【新番爱吐槽】,333,174128,//i0.hdslb.com/bfs/archive/e6fbae187122c61c398ee828e120e843bf266431.jpg,71371489,BV1EE411C7Sv,1571198729,2019/10/16,12:5:29,12:12,1077,2340,4723,146,10152
