title,comment,play,pic,aid,bvid,created,date,time,length,video_review,favorite,coin,share,like
看见声音，你的耳朵几岁了,851,142530,//i1.hdslb.com/bfs/archive/20ad37004d079eb912a1a9bbd15f1af0e5eb8a31.jpg,201117180,BV1bz411e7zJ,1592215494,2020/6/15,18:04:54,6:32,1717,3284,6430,1188,14359
相机大战的幕后故事,665,251358,//i2.hdslb.com/bfs/archive/db3e2436f911b7e23ed987807f24b8f6845d653d.jpg,498516633,BV1BK411p7Nb,1592118026,2020/6/14,15:00:26,12:32,1636,4616,11211,1125,27299
相 机 大 战,4164,1638598,//i0.hdslb.com/bfs/archive/67c3bbae0eec01a1783f35851649724cb4c408bd.jpg,371067145,BV16Z4y1H7NG,1592031651,2020/6/13,15:00:51,5:34,9738,79308,203986,24647,225110
【影视飓风】一英寸的徕卡模块化运动相机？！Insta360 ONE R评测,413,178649,//i1.hdslb.com/bfs/archive/97e114076f289cd6d93d246153a59883d6b67475.jpg,328397859,BV1UA411q7KS,1591927209,2020/6/12,10:00:09,16:06,1599,3169,5314,2313,11998
10分钟拍大片挑战！[LKs+影视飓风+十音+林海音],2656,667326,//i0.hdslb.com/bfs/archive/8bfdecb678dd04d43bff291923f6bc527f625da3.jpg,968416962,BV1Zp4y1S7i3,1591435800,2020/6/6,17:30:00,25:22:00,29873,22809,57216,12096,71644
《伙伴》——致我们尚未远去的童年！,1865,647094,//i2.hdslb.com/bfs/archive/a91ccf1d9462754064ebc40a6c86781281cdb469.jpg,540773074,BV1di4y1479u,1590930031,2020/5/31,21:00:31,3:48,2845,10766,16176,6687,41672
【4K 120FPS】你的设备顶得住吗？4K120帧技术演示片,4272,936304,//i1.hdslb.com/bfs/archive/7a6ed973e7bc8551091b149399e9d99aa736e9da.jpg,883362563,BV1fK4y1t7hj,1590663567,2020/5/28,18:59:27,4:56,8507,20158,11691,7507,26360
【4K 50FPS重制版】B站的帧率提升了！4K 120FPS！,880,209343,//i2.hdslb.com/bfs/archive/8e1c004d4b73e2bafc748492964e057ba8174acf.jpg,413273169,BV1xV411C7UF,1590658223,2020/5/28,17:30:23,11:09,1107,4530,8151,1139,15259
【硬核科普】全“绿”的游戏 - 为什么用绿幕？,533,339255,//i1.hdslb.com/bfs/archive/d802239e43c16af4539119cca2308e6ae0f7df06.jpg,625789756,BV14t4y1C7Lf,1590544831,2020/5/27,10:00:31,9:56,2672,9060,21716,1035,36129
【影视飓风】NETFLIX认证的首台微单？松下S1H评测,679,232248,//i2.hdslb.com/bfs/archive/9baf528c82433e34d85e9ccf86167ea2b1fd3211.jpg,413172939,BV1oV411k7uE,1589940046,2020/5/20,10:00:46,14:52,2129,4046,14427,1135,21480
【硬核科普】猫咪奔跑的秘密 - 时域采样,1380,814030,//i1.hdslb.com/bfs/archive/7ddb91bece7cfdaf54e1187c64925d780d98068b.jpg,840517636,BV1d54y1Q7r6,1588939785,2020/5/8,20:09:45,6:56,2933,20200,56552,3154,91035
【硬核科普】焦段是什么？,632,311493,//i0.hdslb.com/bfs/archive/abdae512223ac8cd886b278ce2dc940c6a00a331.jpg,497921476,BV1nK41157no,1588230158,2020/4/30,15:02:38,6:44,1791,10443,19029,2158,29965
