title,comment,play,pic,aid,bvid,created,date,time,length,video_review,favorite,coin,share,like
大sao去黄山第一顿，一盆米饭五个菜，老爸说米饭免费，过瘾了,1707,488426,//i2.hdslb.com/bfs/archive/5539b3f6ba4bf36851b62f9170669ebeaf3b8886.jpg,796075487,BV1oC4y1a7Lg,1592217032,2020/6/15,18:30:32,08:30,7698,1391,5638,449,36353
大热天吃地锅排骨，四斤肋排一大锅，竹筒蒸着吃过瘾，一锅做少了,1972,1322952,//i1.hdslb.com/bfs/archive/9bcd2e5a605f1b5a545c52940f009856f4765f55.jpg,370930263,BV18Z4y1W76C,1592044257,2020/6/13,18:30:57,10:08,10073,2897,13997,1520,75835
电视台采访，去老总大叔的公司帮忙，一桌美食少不了，主食不够吃,1762,1265226,//i0.hdslb.com/bfs/archive/5253b7b7d581263aedb9cfa0150aeb30ca512e5e.jpg,540891266,BV1ri4y1s7b7,1591957807,2020/6/12,18:30:7,07:31,9337,2294,9435,676,67467
30箱啤酒，5斤大公鸡，媳妇种的土豆，柴火地锅炖鸡，告别料酒了,1868,1464292,//i0.hdslb.com/bfs/archive/40e13cd9114e312e04b1b4028fb0da60a45dfc8f.jpg,455954757,BV1c5411W7hd,1591871434,2020/6/11,18:30:34,08:30,13836,2899,14304,1725,78101
买5斤猪板油炒1斤辣椒，大sao做下饭菜，一油两吃，主食太香了,3134,1733188,//i1.hdslb.com/bfs/archive/03e425a678cfe2ee5a62c535aae0f1d800145cfd.jpg,883386025,BV1oK4y1t7jh,1591698630,2020/6/9,18:30:30,07:14,14034,3214,14028,2669,80639
带1斤黄鳝去蹭饭，最后端盘子外面吃，岳父不在，大sao压得住饭局,2392,1200776,//i1.hdslb.com/bfs/archive/1ff82638401d32b877c39e0fb6e94e0173fed3ae.jpg,710892722,BV1bQ4y1P7Yx,1591612223,2020/6/8,18:30:23,08:05,9257,1911,9821,759,61572
一天一夜成就四斤无骨凤爪，大sao做菜做到自闭，小肥羊却爆发了,2310,1703891,//i1.hdslb.com/bfs/archive/2cb02042401c95ed4188ac7adaee98bb200ca9e6.jpg,883487038,BV1mK4y1x7TU,1591525804,2020/6/7,18:30:4,10:52,15732,4160,20875,2394,97746
看吃播吃饭，炸鸡配大蒜会更香？大sao一次做四斤炸鸡，不够吃,2773,1752881,//i0.hdslb.com/bfs/archive/af0ae9f386472f3319b5b1aa691274df21eb8268.jpg,968393044,BV1Ap4y1D7TB,1591353053,2020/6/5,18:30:53,07:12,18069,3725,16620,2630,87815
魔鬼椒腌肉，辣椒粉做底，四斤鸭翅做一大盆麻辣鸭，大sao吃爽了,2990,1602100,//i2.hdslb.com/bfs/archive/abeea7f4e01400c7db7555af11485bb6106f1bf8.jpg,625967702,BV1Yt4y1y7Ni,1591266642,2020/6/4,18:30:42,10:17,13583,3022,15977,1691,80245
大sao下馆子吃烤肉，炸酱面先开胃，168元四人餐铺一桌，吃过瘾,2797,1823730,//i0.hdslb.com/bfs/archive/ee170a2512633319ee5dddc85a6ccd457bdb71b7.jpg,200982057,BV1zz411i7Gg,1591180221,2020/6/3,18:30:21,07:38,20284,4060,21477,2950,97432
蹭饭土菜馆，200元四个菜，大sao被一碗面条折服，让朋友破费了,2055,1395627,//i0.hdslb.com/bfs/archive/5869a28bdd1edba573b9e053d7bf9b72371fe3ff.jpg,883364148,BV1cK4y1b732,1591007442,2020/6/1,18:30:42,06:56,9266,2262,11298,1109,69524
五袋泡面，五个蛋，硬核读评论来了，一个评论吃一口，失蒜了,3993,2092875,//i2.hdslb.com/bfs/archive/674ee504b5358dcc21137560b2bc6626d5398092.jpg,540827999,BV1pi4y1s7R4,1590921056,2020/5/31,18:30:56,08:30,21372,6560,40361,2159,142551
大sao下饭，凉拌红油“顺风”，三个猪耳做一大盆，一锅饭不够吃,2322,1281954,//i0.hdslb.com/bfs/archive/bca4bd0ae47d6cd57b82a91a21972bc804f4800c.jpg,753315260,BV1Ak4y1r7zU,1590834607,2020/5/30,18:30:7,07:46,10451,2748,14465,1561,72592
凉拌红油肺片吃过瘾，10元买三斤猪肺，大sao这次血赚，当饭吃了,4122,1661580,//i1.hdslb.com/bfs/archive/c15123b4aef3171d3ab43c4efbd0e82ae832c09c.jpg,328368342,BV1SA411q7eA,1590661808,2020/5/28,18:30:8,07:36,16809,3520,16800,1924,85815
魔鬼辣椒做火锅，大sao大热天挑战极限，一盆红油三斤牛肚吃过瘾,5782,2479021,//i0.hdslb.com/bfs/archive/b58c36114c939d3764dbf8fab56199af39b53556.jpg,413359701,BV1kV411C72Z,1590575124,2020/5/27,18:25:24,07:41,31804,6120,30646,5789,132607
和朋友吃鸭，米饭十元一份不嫌贵，大sao一盆直接端，还便宜吗,2235,1760292,//i0.hdslb.com/bfs/archive/b46cf2854f1eb7fe5e87dbb1d732d56621b00e91.jpg,925835686,BV1nT4y1g7gu,1590489040,2020/5/26,18:30:40,06:24,7997,2948,14393,1225,90077
一锅腊鸡配一斤凉面，大sao做铁锅腊鸡，半瓶原浆酒喝趴了，过瘾,3271,2150974,//i2.hdslb.com/bfs/archive/6bca77579f4c8026f6223cf7db733c82a4c0a7a5.jpg,883308916,BV1kK4y1t7h6,1590316259,2020/5/24,18:30:59,07:58,26689,3691,19970,2865,94900
一斤驴肉，一盆毛血旺，探店驴肉馆，把两个爹都引过来，阵势真足,2887,1633057,//i2.hdslb.com/bfs/archive/4da4803818353c5929a4b8299b344319a625fce1.jpg,968304654,BV1Lp4y1X7hR,1590229802,2020/5/23,18:30:2,06:09,10146,3032,16836,1243,86698
五斤鸡腿做叉烧，大sao做一鸡两吃，来一筐蒜配着，鸡腿太费蒜了,3948,2005995,//i1.hdslb.com/bfs/archive/3ee50959078a9521685544d39eb5c5c9832fa7fd.jpg,285798150,BV1Pf4y1272i,1590143411,2020/5/22,18:30:11,10:08,28242,6125,30855,4338,110451
修空调蹭饭两不误，大sao枯燥的一天，一顿饭下肚，朋友过瘾了,3010,1732654,//i2.hdslb.com/bfs/archive/44ca432a9624b7d1647e4f0e1ce8a00e01bd0ca5.jpg,883182896,BV1XK4y147yD,1589970626,2020/5/20,18:30:26,05:43,11013,2922,17990,1354,87302
大sao去蹭饭，自带一桌外卖，炒鸡，地锅茄子配大饼，岳父乐坏了,3054,1608279,//i0.hdslb.com/bfs/archive/388bce6fca5492bac2b54361d75869eaef41988a.jpg,883177204,BV1wK4y1t796,1589884243,2020/5/19,18:30:43,08:08,14282,3202,19077,1376,89792
一斤苕粉，一斤炸鸡，大sao做大锅炖菜，一人吃一锅，米饭煮少了,4248,1969157,//i0.hdslb.com/bfs/archive/f61e31f81101fc06c8883d76ea37130ec0f872bb.jpg,925666332,BV14T4y1u7Af,1589797824,2020/5/18,18:30:24,07:57,21973,8936,61324,2668,139761
一斤辣椒两斤猪肚，大sao做一锅尖椒猪肚饭，一盆下肚，超级耐撕,4076,2024136,//i2.hdslb.com/bfs/archive/003ee71862ebd637d9907c624d069fca6471c205.jpg,370675789,BV1HZ4y1p72Y,1589625028,2020/5/16,18:30:28,06:23,18786,5336,25399,4174,115239
排骨猪蹄一锅炖，六斤肉两斤饼，大sao做地锅排骨炖猪蹄，吃过瘾,2699,1827078,//i2.hdslb.com/bfs/archive/4dbd83636da96aca4631fe19f87864cfa2c8694e.jpg,968163720,BV1Yp4y1Q727,1589538610,2020/5/15,18:30:10,07:36,14052,4134,21547,3046,99485
大sao回公司，老总高规格招待，红烧牛尾五香牛肉，一桌菜太爽了,3392,2453578,//i2.hdslb.com/bfs/archive/14ae84fbc3e3c53db275baf4076706503d128293.jpg,838220234,BV1Yg4y1B7G7,1589452201,2020/5/14,18:30:1,05:13,9019,3873,17776,1304,115527
一箱外国蒜，五斤烤肉，大sao挑战吃蒜极限，头一次尝试，上头了,6994,3706915,//i1.hdslb.com/bfs/archive/4a385b564f53e3c54193d7a8817bce723c38fb00.jpg,285653705,BV13f4y1U7dw,1589279416,2020/5/12,18:30:16,10:10,43394,10443,58627,11154,190847
大sao一家下馆子，第一次吃“狼头烤鱼”，啤酒免费，老爸过瘾了,3462,2228687,//i2.hdslb.com/bfs/archive/0a2e1cf612a9592ddfbefa97507179b3dcc8821f.jpg,455526244,BV135411475W,1589193024,2020/5/11,18:30:24,10:08,28569,5248,30981,2792,127985
买10斤鸡肝，大sao做黔江鸡杂，一锅鸡杂一盆饭，楼顶扒饭吃过瘾,4018,1637072,//i2.hdslb.com/bfs/archive/4dd455b1552fbf3598ece937366dd45c5c21b2b7.jpg,668024728,BV1Ta4y1i7Qy,1589106626,2020/5/10,18:30:26,07:04,16668,3588,19443,1910,91567
四斤白条鱼糖醋一大盘，酱鸭香肠凑一桌，大sao加餐，儿子傻眼了,3282,1651504,//i1.hdslb.com/bfs/archive/a55506e188ce4d918287b3ac1d6b318dfbdea55b.jpg,795503106,BV1tC4y1W7gD,1588933811,2020/5/8,18:30:11,06:27,11142,3794,22977,1805,93997
大sao吃自助被围观，海鲜牛排配猪蹄，上来吃七盘，店长破费了,6849,2813862,//i2.hdslb.com/bfs/archive/74c4e919c8c81f3687dadf89d4c21246558a5eb9.jpg,883087908,BV1NK4y187fx,1588847451,2020/5/7,18:30:51,06:52,25138,5932,28544,4435,157919
大sao带侄女下馆子，进店直接点一桌“长龙宴”，一家人吃过瘾,3998,2014018,//i0.hdslb.com/bfs/archive/b63a4b5b4f6f1a729198ed03ee994f33e8376376.jpg,925623170,BV12T4y137Ke,1588761056,2020/5/6,18:30:56,05:46,16339,4204,23315,1489,114447
请老爸吃大排档，晚饭四斤小龙虾配啤酒，白加啤，差距就拉开了,3636,2092765,//i1.hdslb.com/bfs/archive/18e8e63a47b3e4bc932ccf9c80fc37367092eb41.jpg,925623614,BV11T4y137r8,1588588231,2020/5/4,18:30:31,06:46,20744,4830,29556,2498,115585
一袋辣椒粉，八斤的大公鸡，当白斩葱油口水鸡，浇上红油后，绝了,4113,1999656,//i2.hdslb.com/bfs/archive/80d9053c5e36b37b937dc4482ecfd8128c1106ef.jpg,968075373,BV12p4y1973P,1588501841,2020/5/3,18:30:41,07:19,20088,6301,30613,2949,122382
羊排配大虾，蒜泥加大蒜，放假陪老婆下馆子，一锅的量，太过瘾了,3355,2016766,//i1.hdslb.com/bfs/archive/c906bbb716ffdb021684b5900257fd709b6134fa.jpg,540473859,BV1di4y1t7g9,1588415431,2020/5/2,18:30:31,05:59,14325,5065,28213,2395,121151
农家菜地锅茄子，一锅六斤，大sao一人一锅，饼子夹肉也太香了,5894,1936430,//i2.hdslb.com/bfs/archive/584220beadb71c989f9aec3fc7fe06895ddf854e.jpg,925388006,BV1aT4y1g7JX,1588242625,2020/4/30,18:30:25,10:22,33948,5149,28200,2990,119037
猪蹄干筋，五斤肉一锅卤，大sao给新灶开锅，大块肉大盆面吃过瘾,5380,2210663,//i1.hdslb.com/bfs/archive/a4580cfb8f8a5ef5ac7effe5c4461b8a9a80f9b2.jpg,582972728,BV1p64y1M78k,1588156242,2020/4/29,18:30:42,10:45,30609,7448,45799,4590,145277
带六斤小龙虾去蹭饭，大sao想当第一女婿，蒜蓉小龙虾让岳父过瘾,5877,2583482,//i0.hdslb.com/bfs/archive/ce7ebbd5c4a8be63d6ed46dc3bd6114ed9f7b513.jpg,882956009,BV1xK4y1b7Lr,1588069837,2020/4/28,18:30:37,10:50,24897,8129,45007,4243,166227
32只墨鱼做一顿铁板烧，一盆饭配着果然更香，一口一只，过瘾,6200,2335333,//i2.hdslb.com/bfs/archive/6dc05358a82218f17ed71489c8b2b5e9315107c7.jpg,752992035,BV1Nk4y1k7hY,1587897029,2020/4/26,18:30:29,08:04,29226,9755,57253,3400,175781
带三斤羊肉去蹭饭，大早上回锅肉配烤串，自制土灶做烧烤，真过瘾,4661,2659033,//i2.hdslb.com/bfs/archive/65fccf383f5fed3eab370f7c4e90ad1bdc6f24de.jpg,925462908,BV1oT4y1g7bX,1587810619,2020/4/25,18:30:19,06:04,16783,11064,63122,3518,189388
一锅火爆鱿鱼圈，一锅米饭，豆瓣爆炒鱿鱼一大锅，父子俩比谁能吃,29978,4550316,//i2.hdslb.com/bfs/archive/fdc05f5a111151e71e5758272d694f5b43fcd81f.jpg,412939746,BV1cV411d7HJ,1587637836,2020/4/23,18:30:36,06:52,100767,71159,458637,9144,541124
传递12万善款，却遭受无比打击，对于这鸡腿事件，徐大sao有话说,73997,6930633,//i0.hdslb.com/bfs/archive/d23f4e5979076cb0d048ea8bb6775695772ba2be.jpg,837840364,BV1Kg4y1z7mA,1587112893,2020/4/17,16:41:33,03:44,67464,83195,542319,22708,725163
用sao式老方做一盆热干面，一斤面不够吃，酱香浓郁，一口就上瘾,19612,2721223,//i2.hdslb.com/bfs/archive/fa00278443a52b39770d647484bf0c2b81301603.jpg,625285250,BV1Wt4y1276U,1586946651,2020/4/15,18:30:51,06:34,20919,5669,27317,2750,111639
四斤排骨，三斤面条，大sao做红烧排骨面，白面红汤，手撕脆骨，口感太棒了,6936,1628923,//i2.hdslb.com/bfs/archive/67caa801656c383a9a3b4881a2ec4b3168579e00.jpg,667645137,BV1za4y1t71Q,1586860223,2020/4/14,18:30:23,07:48,17057,3765,19674,2188,79268
五斤大公鸡做一顿小鸡炖蘑菇，俩腰子大sao抢着吃，自己收底一锅，真过瘾,3049,1470694,//i2.hdslb.com/bfs/archive/aec302e98be3fc97b2e6972de19d65652b7c6151.jpg,925244012,BV1zT4y1G7Uu,1586773815,2020/4/13,18:30:15,08:32,19712,3319,18945,1873,77433
10元买四斤鲈鱼，大sao一次做一大盘，三条鱼四碗饭，真过瘾,2542,1477227,//i1.hdslb.com/bfs/archive/5446021a5f3463bb6623fa1f9e568413ba23c97b.jpg,412664084,BV17V411o7fx,1586687449,2020/4/12,18:30:49,06:27,12229,2557,13650,1446,71491
1斤火腿，3斤五花肉，做一顿烤肉吃，大sao式铁板烧一顿吃过瘾,4776,2433593,//i0.hdslb.com/bfs/archive/20bea1efd483f6b80b5e520d6020e230561dfe84.jpg,837690386,BV1tg4y187ky,1586601013,2020/4/11,18:30:13,10:07,23676,6205,28874,5985,130072
一天时间，一顿晚饭，小河鱼先炸后烧一大盘，老爸的小酒根本停不下来,3455,1728233,//i2.hdslb.com/bfs/archive/4a69341337ee3286892186460c64f31edb90c02d.jpg,710155211,BV1LQ4y1K7Jd,1586428206,2020/4/9,18:30:6,06:55,12681,2544,14422,1310,79215
铁锅云腿火鸡蒸面，大sao用火鸡面做蒸面，五包做一锅，火腿的味道都升华了,3287,1973171,//i0.hdslb.com/bfs/archive/43ed9d38d64fbbd2ec705e257698f45d733718d1.jpg,925179407,BV1JT4y1G7wP,1586341838,2020/4/8,18:30:38,10:08,32537,4173,20512,4010,98663
年后第一次到岳父家吃饭，十碟八碗弄上一桌，大sao要跟老丈人奉陪到底,3480,1614966,//i0.hdslb.com/bfs/archive/4e3b5687c5f435d9ed2ce297dfb94f0872847272.jpg,370215365,BV1HZ4y1x7Jn,1586255424,2020/4/7,18:30:24,10:29,17063,3366,20773,1479,86498
晚饭五斤龙虾，四个菜，大sao开春第一顿龙虾，自己吃过瘾，太丰盛了,3510,1803330,//i0.hdslb.com/bfs/archive/072ad3d2bf161ebdb319391857b6af4d3622b006.jpg,497654824,BV16K411L7A7,1586169004,2020/4/6,18:30:4,10:34,25419,3386,21045,2317,91104
两斤辣椒，一斤鸡肉一斤挂面，做一盆双椒鸡捞面，配最大头的蒜，以辣制辣吃过瘾,3007,1855846,//i1.hdslb.com/bfs/archive/842bb1cbd0a7c34a1638fa6e094138ff11786391.jpg,625115585,BV15t4y1U7j4,1586082641,2020/4/5,18:30:41,06:30,21065,4228,21946,3289,99769
三只烧鸡一大盘，烧鸡店倒闭，大sao自制一锅，当主食吃，过瘾,3018,2514742,//i1.hdslb.com/bfs/archive/bceb6590af636206ca66e2c7d4ce20a728b2bc92.jpg,582617657,BV1W64y1u7dQ,1585909846,2020/4/3,18:30:46,08:08,25150,7083,26004,5801,136437
五斤虎皮鸡爪，两盆麻酱拌面，大sao陪媳妇吃饭就是快，全程无视骨头,2798,1855719,//i1.hdslb.com/bfs/archive/4ffb14d71c64d17c1c7c87b14a6f11f2071f9245.jpg,497592122,BV1HK411L7qV,1585823418,2020/4/2,18:30:18,07:46,20480,3554,21495,2651,96232
100元做猪脚饭，三斤猪蹄焖一锅米饭，柴火地锅都用上，汤汁拌饭啃猪蹄，真过瘾,2967,1570458,//i1.hdslb.com/bfs/archive/c1cc0dceb20bd0012aad84a59f74ae0ce460698d.jpg,967541471,BV16p4y1179Y,1585737047,2020/4/1,18:30:47,10:32,28776,3712,19844,3240,84951
买光镇上所有品种的辣椒炒一只鸡，辣椒鸡蘸大饼子加餐，夫妻俩吃过瘾了,3373,1899863,//i1.hdslb.com/bfs/archive/2a0e7e387e716750656966ff114f10da8d1829e5.jpg,752596972,BV1Gk4y1o77B,1585650606,2020/3/31,18:30:6,07:40,21440,5304,40248,2187,102426
用云南火腿，做一锅云腿火锅，肉片透光，比涮羊肉吃的过瘾，老头都爆发了,2818,1964744,//i0.hdslb.com/bfs/archive/5a4bca4d4adf574762b4742be10b386231ae2e98.jpg,455037820,BV1U5411671t,1585564202,2020/3/30,18:30:2,07:36,16894,3669,17804,2138,95442
蒜苗诞生，吃一顿好的，一大盆红油鸡杂，拌一盆面吃过瘾，这蛋蛋也太多了,3523,1664593,//i0.hdslb.com/bfs/archive/fd0f860ce8b79d1cc7877f8a304fbf3ce4164617.jpg,497554479,BV1gK411L7xC,1585477813,2020/3/29,18:30:13,07:45,17023,3060,14511,1790,79838
一斤扇贝肉，六袋泡面，大sao在家创新美食，扇贝红油海鲜面，一大盆吃过瘾,4085,2082403,//i0.hdslb.com/bfs/archive/854a2465dd70e22b0fedf9240ff275409f22264f.jpg,327609677,BV1AA411h7kF,1585391440,2020/3/28,18:30:40,08:33,28482,4374,19865,3877,101444
23斤超大火腿，熏制了一整年，大sao加餐，一只腿几顿饭，蒸着吃过瘾,5732,3006509,//i2.hdslb.com/bfs/archive/884a36332357e5c81f084e030896cd649967c449.jpg,710077119,BV1pQ4y1M7Lz,1585305016,2020/3/27,18:30:16,06:51,23094,5421,22117,3040,138712
带一堆外卖陪媳妇野炊，四菜一汤麻辣鲜香，鸭肠一次撸十串，真过瘾,4415,2099803,//i2.hdslb.com/bfs/archive/fb37a0da478525102ae69f7aa72a3a2306f586f5.jpg,412580137,BV1aV411f76M,1585218622,2020/3/26,18:30:22,06:21,26435,5015,29169,2888,121280
四笼包子一顿饭，大sao饿了两餐，开启大蒜新吃法，辣椒油裹大蒜，吃的太香了,15033,2351932,//i0.hdslb.com/bfs/archive/b4bc190a09d1829d4fccd54099fce43082121724.jpg,98638283,BV1v7411m7RK,1585045814,2020/3/24,18:30:14,08:00,51099,4943,25180,4753,111472
一斤肉一盆面，自己在家做炒拉条子，竟然比饭店做的好吃，花三个小时太值了,3013,1666922,//i0.hdslb.com/bfs/archive/c0b7d324d1eb8c86d42782f5bd40b19e9c1fdc48.jpg,98387711,BV1vE411F7ad,1584959426,2020/3/23,18:30:26,06:25,18850,3814,17286,2914,85231
168元一份的外卖火锅，一锅两吃，所有的配菜都省掉，往后就这样吃了，巨划算,2386,2404503,//i2.hdslb.com/bfs/archive/a9c73ff99cb98e7a761073613368410dbd384517.jpg,98176611,BV1nE411w7LE,1584873017,2020/3/22,18:30:17,07:01,18087,3776,18689,2354,105914
五斤花甲，四斤炒鸡，做一大桌菜招待小姑，最后一人收底，太过瘾了,2570,1836539,//i0.hdslb.com/bfs/archive/9152d84e96121004bd5ebae768a3505220257aed.jpg,97882046,BV1hE411A78A,1584786656,2020/3/21,18:30:56,07:07,18035,2952,15283,2073,84587
五斤香辣田螺一次吃过瘾，大sao弄两盆河鲜，做一大锅，太过瘾了,3406,1719130,//i2.hdslb.com/bfs/archive/bacdb9f587a58e11ac40cc60535fd005ecf3a239.jpg,97635886,BV12E411P7hH,1584700203,2020/3/20,18:30:3,06:45,15309,3096,14321,2849,81675
一斤辣椒开胃，爆椒鸡胗拌一盆饭太香了，肉里挑辣椒吃，真过瘾,3502,2394848,//i2.hdslb.com/bfs/archive/80d09b68d1338b3f53d723e9b77f6bb47373e095.jpg,97313238,BV1N7411R71u,1584613857,2020/3/19,18:30:57,06:22,30105,6446,23916,7056,111344
100元买四斤五花肉做烧烤，两块肉一大串，生菜包蒜配着，过瘾,2995,2187159,//i1.hdslb.com/bfs/archive/5a7efa6402b2fd555436681b10e4d38b9ee4a64c.jpg,97060962,BV1B7411d7VJ,1584527425,2020/3/18,18:30:25,07:01,21018,5935,26108,8576,105652
腊鸭煲，卤大猪蹄，熬了一个多月终于吃上了，真正的一桌好菜，香,2877,1913474,//i2.hdslb.com/bfs/archive/c29155a523e2462d6aba2cf2d431e129c4b3e3bd.jpg,96809623,BV1A7411Z7ag,1584359233,2020/3/16,19:47:13,05:42,11877,2947,16057,2371,83464
100元能买一大盘轰炸鱿鱼，煮一锅泡面配着吃，大蒜开胃，这味太足了,3666,2673672,//i1.hdslb.com/bfs/archive/970ad6c6c91efa8dc91573d9844d28476a63fae9.jpg,96260943,BV13E41137Dp,1584268219,2020/3/15,18:30:19,07:07,22200,5336,24183,4830,122690
一盆酸辣粉自己吃完，大sao给媳妇加餐，杠上酸辣粉，下血本了,4075,2185920,//i1.hdslb.com/bfs/archive/94fe1ad184c4d3016d39620ec44729af339f9980.jpg,95413978,BV1DE411K7p7,1584180001,2020/3/14,18:0:1,07:49,30764,4691,20916,3324,101717
四斤毛肚三斤鸭血，大sao做一大锅毛血旺加餐，一盆红汤太香了,2679,1679136,//i0.hdslb.com/bfs/archive/a668bbe445604aebedc3878d2c62cd6bc6f4d2d4.jpg,95717133,BV1oE411V7Pg,1584095423,2020/3/13,18:30:23,06:57,18259,4350,16809,4321,77434
章鱼配鱿鱼，做满满一大盘铁板杂鱼须有多香，蒸一锅米饭不够吃，小肥羊太能吃了,3217,1724276,//i2.hdslb.com/bfs/archive/eb5aeb30b3952a070e5685b7b60c0904758b6bba.jpg,95458343,BV17E411L7fd,1584009039,2020/3/12,18:30:39,10:26,32238,4752,24776,3620,92101
大sao复工加餐，一大盆肉酱面，一盘卤味拼盘，放开了吃，真过瘾,4280,2451052,//i1.hdslb.com/bfs/archive/c5a5c81ea4ecb7a1fe5dad901d4082ce5d198937.jpg,95428672,BV1uE411L7ye,1583916749,2020/3/11,16:52:29,10:33,32876,5032,21802,4760,100929
四斤小鸡，两斤面条，大sao吃一顿好的，大盘鸡拌面一大锅，过瘾,3015,1713392,//i2.hdslb.com/bfs/archive/a89624d01c1c507077c4011e65c67ea7c227ff1c.jpg,95096771,BV1AE411M7tm,1583836203,2020/3/10,18:30:3,10:41,25222,4456,18210,3921,80463
三斤肥肉烀三小时，出锅太馋人，半肥半瘦的八大块，媳妇能吃上瘾,3205,2165757,//i2.hdslb.com/bfs/archive/86bffeb643c222e43d865257686cce6fea9638e9.jpg,94839472,BV14E411u7ry,1583749807,2020/3/9,18:30:7,10:18,25465,5576,26148,4773,101511
两斤腊肉一大锅回锅小炒，一斤蒜苗配着，煮一锅米饭不够吃，过瘾,3486,1604442,//i0.hdslb.com/bfs/archive/6658665bdf1884d6b66350d1bef43325e91c7948.jpg,94350625,BV1wE411W71w,1583577012,2020/3/7,18:30:12,07:41,27696,3136,18428,2846,78508
