title,comment,play,pic,aid,bvid,created,date,time,length,video_review,favorite,coin,share,like
读评论儿~,5695,1493174,//i1.hdslb.com/bfs/archive/74f57b40d7c01b392ff54258158e70595d346fa3.jpg,668550085,BV1Ea4y1Y7Wj,1592109041,2020/6/14,12:30:41,07:10,26116,16976,33041,1441,201036
在VR中大战灭霸！！,3951,2203228,//i1.hdslb.com/bfs/archive/a46ca93b858605887fc0a47da50f716e16575e89.jpg,883458903,BV1UK4y1x7tC,1591504844,2020/6/7,12:40:44,09:02,21383,19148,36719,3162,169510
得罪人挑战,4308,3203855,//i0.hdslb.com/bfs/archive/e3497363e035090640e8c24c54e35eb751f8668d.jpg,498495229,BV1bK411p7QE,1591435800,2020/6/6,17:30:0,10:13,40972,28002,44623,4461,298991
抓,8961,4347544,//i1.hdslb.com/bfs/archive/b21e6f2047a70cfc44907e508830a6b48760b821.jpg,583284379,BV1cz4y197r1,1590835149,2020/5/30,18:39:9,05:24,23282,42858,75768,7544,430596
我的世界好难啊！！！,6069,5249406,//i0.hdslb.com/bfs/archive/5afa348e32d41af1c3698da291938d7266d84977.jpg,285871709,BV1qf4y127JS,1590290569,2020/5/24,11:22:49,18:20,43240,45083,108939,3952,306559
大   义   灭   亲,6876,4092990,//i0.hdslb.com/bfs/archive/5bb707bb60613e8dc380dda3457664b44d891a03.jpg,370686001,BV1WZ4y1p7qd,1589700631,2020/5/17,15:30:31,14:20,69655,32972,62568,4699,237000
角 度 极 其 刁 钻！！,10450,3977746,//i2.hdslb.com/bfs/archive/1cd47d550486443999a2c5760b02299bce5ed55a.jpg,540567179,BV1Ci4y1x7iw,1588853442,2020/5/7,20:10:42,08:09,108534,23762,38612,3596,256599
鸽子精的一天都在干嘛？,7080,2780924,//i0.hdslb.com/bfs/archive/9063eec75cde16d5bab3d8c2f24c96da8b72c8a1.jpg,455534900,BV1V541147Vf,1588766418,2020/5/6,20:0:18,08:01,43477,37245,74890,2258,247374
周冬雨仿妆！,10165,3071987,//i1.hdslb.com/bfs/archive/cd554938c1380fa415ecd43963b7400799aebd67.jpg,882951610,BV1WK4y1b7ft,1588305642,2020/5/1,12:0:42,07:39,137083,26133,57522,4751,286049
在VR中打丧尸！,5796,2880003,//i2.hdslb.com/bfs/archive/16ac23937d42bcf30426b26734a57f5462ecaf2d.jpg,200472188,BV1Lz411z72u,1587630632,2020/4/23,16:30:32,10:05,31310,19207,35134,3298,215738
家  里  有  矿 ！,7632,5114137,//i2.hdslb.com/bfs/archive/db612da684dd9a645b1c035043f717474f8dc6c5.jpg,840363910,BV1S54y197uX,1587044735,2020/4/16,21:45:35,12:19,60077,38003,80549,4130,320437
up主愚人节给粉丝打电话当散财童子,17113,3158438,//i1.hdslb.com/bfs/archive/3b818ac6bcd63e0e1fcbe61d1cdbc8477b0a706b.jpg,455350059,BV145411x7Bh,1586944846,2020/4/15,18:0:46,05:35,50801,72941,236510,8597,444931
用VR切水果是什么体验？,4903,2924190,//i1.hdslb.com/bfs/archive/fc04237819c81e0a30041c0fcd8520f71d66630d.jpg,840228176,BV1T54y197DH,1586606541,2020/4/11,20:2:21,07:07,35620,16129,27046,2037,207218
德华的世界#2,7796,4441111,//i2.hdslb.com/bfs/archive/642fb143a8281cb81642c404bb2f5c9b8c1df24a.jpg,625141675,BV13t4y1U7kQ,1586258198,2020/4/7,19:16:38,12:08,57666,39809,88512,6104,324197
慎入！当直男给自己化妆...,11469,3487215,//i1.hdslb.com/bfs/archive/70ec51cb0c961bd0c28fbfd30b46182b28b53c8d.jpg,327559042,BV1fA41187ei,1585656038,2020/3/31,20:0:38,06:32,93815,28399,58182,15312,274865
累趴！当宅男在游戏里健身,6633,2615027,//i0.hdslb.com/bfs/archive/5c682aa4c4d24fc97e576ca7af93fb03a7463c1f.jpg,455088352,BV12541147fV,1585483206,2020/3/29,20:0:6,09:15,52002,17619,35681,5994,213222
在VR游戏里谈恋爱！！,7790,4175291,//i1.hdslb.com/bfs/archive/f9ac8761178bcf7f27fb861c1c4cba731649de01.jpg,98418702,BV11E411F7b2,1584871743,2020/3/22,18:9:3,09:42,80908,34960,66940,18881,343982
建 筑 大 师,9070,4812744,//i2.hdslb.com/bfs/archive/90b69c9a48a12740999661113bf74c5b5819ea9e.jpg,97846830,BV1HE411A7Jt,1584690331,2020/3/20,15:45:31,11:43,111646,45192,90099,7539,373246
吓人！用VR玩恐怖游戏！,8391,4829059,//i2.hdslb.com/bfs/archive/97adf33740ff4dae4bb0738c7090a6d64fc50396.jpg,96547596,BV1W7411f7ek,1584276840,2020/3/15,20:54:0,11:09,80186,41650,110102,14750,383220
灵 魂 画 师 徐 大 虾,6677,3155368,//i0.hdslb.com/bfs/archive/0cd24003d3fa3e18869e523b2c44cd5fb6bdc598.jpg,95759682,BV1ME41157t3,1584022028,2020/3/12,22:7:8,07:13,110108,25300,61678,5556,294532
徐大虾教你在VR中决斗,9501,4422051,//i0.hdslb.com/bfs/archive/f132228b9d62cfd4ab89ecbd832ae26b8ec0275a.jpg,95265396,BV1LE411K7Be,1583848431,2020/3/10,21:53:51,09:16,61067,47522,105530,17897,320034
丢人合集,5234,4171519,//i0.hdslb.com/bfs/archive/9dfd305a11d9706d38eb166be5283ad52665c392.jpg,92014380,BV1i7411P7ce,1582784106,2020/2/27,14:15:6,10:52,29114,12120,18883,2900,139244
《抽烟模拟器》玩过没？？,4677,4905023,//i1.hdslb.com/bfs/archive/e52018da05ad5a0682cdd0d07dc457598999854d.jpg,91772980,BV1Q7411N71W,1582693854,2020/2/26,13:10:54,10:52,43386,27820,49660,12630,277019
当厨房白痴尝试做菜...,6505,3129380,//i1.hdslb.com/bfs/archive/cf05499db9aee0dd7a13b6b77affdcc9a2c360e6.jpg,88931765,BV1K7411g74E,1581672727,2020/2/14,17:32:7,07:26,46447,17467,37924,3296,181314
我再也不玩这个游戏了！！,6067,4995760,//i0.hdslb.com/bfs/archive/58ba6ac239d3bda392d2f8ab00c2dcf9a8758045.jpg,87573677,BV1n7411t7qd,1581161739,2020/2/8,19:35:39,11:50,58221,21260,43555,8826,212186
大家好，我是新人UP小徐！,6952,3179134,//i0.hdslb.com/bfs/archive/08c8471c088e9c482dab0807084e2f41c9ff4084.jpg,87024983,BV1D7411H7kK,1580985309,2020/2/6,18:35:9,07:01,59895,20035,51856,3545,225165
玩恐怖游戏被吓破胆！！,4176,4589292,//i2.hdslb.com/bfs/archive/c0be808d074d3ffca67bfab1c30985aafbe5a7b8.jpg,83625776,BV1eJ41177dX,1579156246,2020/1/16,14:30:46,12:37,69800,18274,32542,17511,139942
