title,comment,play,pic,aid,bvid,created,date,time,length,video_review,favorite,coin,share,like
【怪异君】与女仆争风吃醋，泡芙喵对怪异君大打出手！,4693,672355,//i2.hdslb.com/bfs/archive/3b264415b4b3f103880052e3b419828102fc3f37.jpg,498624005,BV1bK411n7BG,1592148418,2020/6/14,23:26:58,23:56,12769,20730,61946,4807,74690
【怪异君】极 致 沙 雕 极 致 享 受,1333,384294,//i0.hdslb.com/bfs/archive/999a66be5038591f6e7775c55588ddb2bc786b0e.jpg,668129220,BV1ha4y1i7pi,1589867852,2020/5/19,13:57:32,2:25,2568,2303,3566,374,23917
58【怪异君致经典2】《少年包青天3》第三案 下篇,3791,1017015,//i2.hdslb.com/bfs/archive/30af6e380aa136be9d6145d8419f7315072834d1.jpg,285535569,BV1sf4y1m7aP,1588467639,2020/5/3,9:00:39,25:41:00,15821,25886,107972,2281,99453
57【怪异君致经典2】《少年包青天3》第三案 上篇,2673,1063172,//i2.hdslb.com/bfs/archive/d50afdadfa2fe0c3f104f0cb2b91bf04de6350e5.jpg,882966334,BV1tK4y1b7VT,1588338874,2020/5/1,21:14:34,22:34,11239,24559,103935,2501,100549
【互动游戏】梦境探案—你能顺利从梦境中醒过来吗？,685,188025,//i1.hdslb.com/bfs/archive/dba862e76bcd3cb4bad5d72427df0e611748a3a1.jpg,882868672,BV1vK4y1k7Rk,1587182420,2020/4/18,12:00:20,36:51:00,3442,4227,5818,746,16605
56【怪异君致经典2】《少年包青天3》第二案,3286,1045401,//i0.hdslb.com/bfs/archive/e7fcf1e545f0ba24dbd0699efb53af47d9dbc3cb.jpg,242638875,BV12e411x7Y9,1586602179,2020/4/11,18:49:39,39:51:00,18034,20710,80278,3009,80647
【互动视频】Re：从零开始的Weird Story-洋馆谋杀案,1477,306334,//i1.hdslb.com/bfs/archive/f3e6d3432566c5388bc83dff6dad8952ba7d53ec.jpg,93335264,BV19E411x7He,1583553639,2020/3/7,12:00:39,55:02:00,10662,5457,7023,2120,17697
55【怪异君致经典2】《少年包青天3》第一案,4889,1635011,//i1.hdslb.com/bfs/archive/a37b045d6156463e1bcaf318242611095304f3c4.jpg,91606855,BV1r7411T7vY,1582635625,2020/2/25,21:00:25,32:52:00,32067,27840,121944,9695,115338
《五湖四海》-Remix之妹儿之父.Feat.怪异君,455,149340,//i2.hdslb.com/bfs/archive/4936a93d53f891b8465f3207342ed844fe9b5064.jpg,86409738,BV157411s7RT,1580695218,2020/2/3,10:00:18,1:46,461,2209,3559,466,10758
【玩勿丧智16】怪异故事最拉胯的新年特辑,433,294332,//i0.hdslb.com/bfs/archive/c35b334a2f506d23fdb8f422777100da77af0fda.jpg,84896749,BV1x7411Y73q,1579878849,2020/1/24,23:14:09,21:46,1556,1977,5778,383,13781
【大宋饶舌提刑官】人命大如天·史文俊案（冤魂生灭）,3694,941653,//i1.hdslb.com/bfs/archive/4aa3e485bab7932df6b3cf24662a42ebcf1663cf.jpg,84559486,BV1W7411e7tJ,1579703556,2020/1/22,22:32:36,9:30,3762,30566,73721,5050,67687
【怪异君】泡芙喵怒扇怪异君耳光！二人恋情曝光！成都BW大闹酒店！,4955,2224027,//i0.hdslb.com/bfs/archive/1bc42992e3f5179cffacc906cbc160d927593c9d.jpg,80799860,BV1tJ411Y7XB,1577390741,2019/12/27,4:05:41,22:07,23753,90648,107892,12425,137870
【怪异君】百万粉福利！该来的都来了！,1380,414579,//i2.hdslb.com/bfs/archive/929429e7718cadd6e87684d379bd7aaee064dd58.jpg,80642311,BV1mJ411W78g,1577282260,2019/12/25,21:57:40,14:24,4532,3693,9207,705,20889
54【怪异君致经典2】《神探狄仁杰》最终案,2895,1173918,//i1.hdslb.com/bfs/archive/9215ce5e7655a163d89528133146d277ce16683e.jpg,79841497,BV1YJ411t7Rs,1576747743,2019/12/19,17:29:03,30:21:00,12692,23568,87314,3278,70903
五 湖 四 海【BML2019广州单品】,1026,569886,//i2.hdslb.com/bfs/archive/4c8d7b28d18f7454ef617b937ff7db73cbec328d.jpg,78450980,BV1AJ411v7R7,1575739218,2019/12/8,1:20:18,5:21,8027,8552,13599,2706,32738
【猛男舞团】新宝岛remix 宴 请 八 方【BML2019广州单品】,12151,10331085,//i2.hdslb.com/bfs/archive/49a271f2b1ed81decb340758454efc4235bbad53.jpg,78441309,BV1SJ411e7c9,1575734159,2019/12/7,23:55:59,4:10,61696,296010,471942,163757,560481
53【怪异君致经典2】《神探狄仁杰》第五案 下篇,2344,1221046,//i0.hdslb.com/bfs/archive/b38634c1bb5769589051832de9631d5450182a4f.jpg,75461235,BV1eE411e7CZ,1573558945,2019/11/12,19:42:25,21:41,9825,14322,51698,2217,48465
52【怪异君致经典2】《神探狄仁杰》第五案 上篇,1930,1238779,//i1.hdslb.com/bfs/archive/539b665a98ad935d1944ca6915bbef0b69279856.jpg,73834959,BV12E411h764,1572342100,2019/10/29,17:41:40,18:44,8596,18264,65573,2318,56808
【金陵神捕】拿到剧本看不懂？编剧全程跟着跑？,693,252582,//i0.hdslb.com/bfs/archive/3b0048337f4c39b29181ae27e8ce7623457a114d.jpg,68491084,BV1XJ411u7AB,1569053787,2019/9/21,16:16:27,6:27,398,633,2462,340,6194
【金陵神捕】伏竹村之谜,9008,1845851,//i0.hdslb.com/bfs/archive/514f1c0403d4aa5de693ec9f882119c2e3a377ac.jpg,68359757,BV1XJ41137Qm,1568981746,2019/9/20,20:15:46,102:09:00,55679,42358,112729,11059,79493
