title,comment,play,pic,aid,bvid,created,date,time,length,video_review,favorite,coin,share,like
纽约最贵米其林餐厅因疫情卖盒饭！800美元一盒值不值？,8373,1554531,//i1.hdslb.com/bfs/archive/e26809b470a79ea74df683c051e8849eefa02f03.jpg,626074915,BV1Mt4y197oQ,1592192893,2020/6/15,11:48:13,05:54,31271,10432,48530,4970,166759
【相对论】对话郭杰瑞 ，聊聊“美国眼睛”里的中国与世界什么样？,6124,2370243,//i2.hdslb.com/bfs/archive/ece2daff45916429d16189b92e7f921ccfc82e41.jpg,370935957,BV1FZ4y1H7Fz,1591767608,2020/6/10,13:40:8,37:59,36359,17978,35587,4381,163872
为何美国疫情死十万人，社会震动不如一个非裔之死？,12186,3899746,//i0.hdslb.com/bfs/archive/e6d5fa348574ab0391894a83c049488be993f4fe.jpg,200935865,BV1xz411i7FK,1591590894,2020/6/8,12:34:54,05:04,11323,25506,82570,10501,314512
实拍美国抗议现场，街访纽约示威者！,21439,5030908,//i2.hdslb.com/bfs/archive/bd3d19e264b327a22168229c4c18564d5c841ced.jpg,795928946,BV1cC4y1a7xA,1591074701,2020/6/2,13:11:41,06:00,44083,34995,114332,27632,389896
为什么美国黑人被警察打死事件经常发生？种族歧视在美国是怎样的？,29185,4661175,//i2.hdslb.com/bfs/archive/4b26213b75db35028118750d5d6595cfae079d73.jpg,668315791,BV1Za4y1e7pF,1590812405,2020/5/30,12:20:5,05:58,41339,26010,73236,20404,334678
我做了新冠病毒抗体测试，第二天就拿到了结果！,5197,2120411,//i0.hdslb.com/bfs/archive/05261a77757efaa9b5b7d0289b16570845404d60.jpg,883292258,BV14K4y1t7Sf,1590635787,2020/5/28,11:16:27,04:01,10211,6995,23061,2327,150297
美国人为何没什么存款，很多人真拿不出400美元？,16040,3494833,//i1.hdslb.com/bfs/archive/a97a626ca31d048b11b75bf08cf6dbe0e70ce3aa.jpg,925798182,BV1TT4y1g7jc,1590376412,2020/5/25,11:13:32,05:42,22536,25074,79891,13594,283073
街访美国纽约路人，特朗普抗疫做的怎么样？,7660,3010895,//i1.hdslb.com/bfs/archive/de7b2326b1cf94bd6e2da1cc48707be2d95feed3.jpg,753141008,BV13k4y167u2,1589773092,2020/5/18,11:38:12,05:38,23366,16332,65566,8055,240295
复工后美国疫情会到什么程度？真会群体免疫吗？,12571,3033509,//i2.hdslb.com/bfs/archive/f92cdf0e90a612beae51e1e3093292f4296dfcf1.jpg,968227138,BV1rp4y1Q7ka,1589255909,2020/5/12,11:58:29,05:27,28413,14847,60046,12580,235058
为何有些美国人特别“反智”！大部分还是特朗普支持者？,33363,4460652,//i0.hdslb.com/bfs/archive/dde24b739a11ea4831a5cdb0b3e5282b2c124b7b.jpg,968030032,BV1pp4y197ex,1588650873,2020/5/5,11:54:33,06:01,97950,44442,135911,75727,377155
疫情下美国农场，为何安乐死猪，倒掉牛奶也不送穷人？,20710,3587769,//i0.hdslb.com/bfs/archive/5095695a45ed4e996587b4ff49a85b73ec930c31.jpg,925430943,BV12T4y1g7nM,1587804676,2020/4/25,16:51:16,05:06,25132,30912,115735,17917,326451
美国疫情还在爆发，为何民众开始持枪闹复工？,31934,5875946,//i2.hdslb.com/bfs/archive/1a3e521666ce40e8ccf1d8f1a52b1a0cc6d29878.jpg,667769441,BV1ia4y1x7n5,1587446421,2020/4/21,13:20:21,05:15,111693,33446,125160,40765,414458
纽约20万确诊，实拍政府免费食物，探访医院当前情况！,14740,3502256,//i0.hdslb.com/bfs/archive/f2717afef9998bef31bc1eacab9b21aa5bd56313.jpg,412775819,BV1QV411o7hn,1586922128,2020/4/15,11:42:8,06:12,38302,20643,102255,10393,281845
为何美国沦为世界疫情最严重国？我们各州关系像邻居！,20870,4935309,//i2.hdslb.com/bfs/archive/ea3bdce996f01943ee20fc7f1b420bde27e69122.jpg,285145704,BV1ac411h7BR,1586075010,2020/4/5,16:23:30,05:40,52026,46090,181279,44875,416987
纽约疫情：实拍医疗船和野战医院，停车场竟改停尸间！,23611,4536174,//i1.hdslb.com/bfs/archive/53d72c4125bf7f3cf14193c70ac61c82426252b4.jpg,667573353,BV1ja4y1t77j,1585715241,2020/4/1,12:27:21,05:46,54172,23790,97867,30111,289180
