title,comment,play,pic,aid,bvid,created,date,time,length,video_review,favorite,coin,share,like
做了一个生日蛋糕涂抹器,6505,2383314,//i2.hdslb.com/bfs/archive/fc74c0edf88db3979fe8b5de00b1e70327560333.jpg,925952313,BV1UT4y1E78n,1591521948,2020/6/7,17:25:48,03:02,15134,16216,75344,21605,222359
做了把铲子,5609,2489849,//i1.hdslb.com/bfs/archive/77de2d3be3c05baa4b60715b891dc0fdae539eb0.jpg,200825157,BV1rz411v7Ws,1590842308,2020/5/30,20:38:28,01:00,6277,5067,14844,3791,141548
自制双手蛋刀大钳,13203,3896824,//i1.hdslb.com/bfs/archive/17a8998b497a6c5971a6ebbd40667d888d3f6dc1.jpg,968356704,BV1pp4y1X74T,1590400848,2020/5/25,18:0:48,05:25,28827,49529,220330,45942,391375
自制不养金鱼杯,5534,3448712,//i2.hdslb.com/bfs/archive/37a23ce991ad56d5d7656ca9d5a4569b508627c3.jpg,710589725,BV1mQ4y1N7Md,1589088617,2020/5/10,13:30:17,03:02,16097,13391,53194,22231,224874
自制节食健身减肥冰箱锁,11971,3477712,//i0.hdslb.com/bfs/archive/86f511c2ece50f1fab290a14d873892773ef715e.jpg,710603783,BV1kQ4y1N7UC,1588759846,2020/5/6,18:10:46,06:01,27460,18769,94763,29453,278736
自制冰激凌舔食器,10671,3916874,//i1.hdslb.com/bfs/archive/82ccf6b15c26a1d77f1357433b4d7a932e468f73.jpg,967917889,BV1Up4y1X7D1,1588065965,2020/4/28,17:26:5,02:00,21734,13396,51635,26277,245804
用头发自制夏日实用遮阳帽,10395,2989968,//i2.hdslb.com/bfs/archive/c69bbbd480cbf043eb80fc93e5c360e4f534658b.jpg,582751790,BV1s64y1T7eX,1587194229,2020/4/18,15:17:9,02:15,23352,26630,112546,58110,283225
自制不锈钢AK47键盘,17755,7428430,//i2.hdslb.com/bfs/archive/14611b5b536631bf33953881ffbc30c9b47a2805.jpg,667668103,BV11a4y1t7s9,1586517373,2020/4/10,19:16:13,01:48,21026,98959,330459,97695,648387
自制卫生间多用机器人,13988,4289579,//i2.hdslb.com/bfs/archive/e0cc20d9dc4b2306605a1e80363610baaca1109c.jpg,412621867,BV1VV411o7n1,1585393047,2020/3/28,18:57:27,06:12,65137,53205,215786,59755,411431
自制炒菜神器两件套,9616,3130887,//i0.hdslb.com/bfs/archive/a330e3453cbf16d5c926e609cb5425f6c12f8ab4.jpg,99098046,BV1e7411y77a,1585108812,2020/3/25,12:0:12,04:39,33291,12921,55689,21112,228647
座椅拐杖的的其他功能,4873,2244507,//i2.hdslb.com/bfs/archive/d7aee7e47d0c40eb204269a3012b6e001b0c44a0.jpg,98091070,BV11E411c7dD,1584767079,2020/3/21,13:4:39,01:35,12159,9066,33838,14917,159203
做一个据说皇上用过的带坐椅功能的拐杖,11558,2289889,//i0.hdslb.com/bfs/archive/a139d02a115b02db94af3ba98904a50f1f5ba6de.jpg,97114542,BV1y7411d7H6,1584454084,2020/3/17,22:8:4,03:08,18150,10285,51710,8788,178561
自制卫生间实用工具，让你洗头无忧 擦手不愁,6327,2397237,//i1.hdslb.com/bfs/archive/7cc5131acedd7c362b200ff1ba599d5453fbb145.jpg,94858169,BV1HE411u77G,1583748007,2020/3/9,18:0:7,04:18,13397,11042,55468,7767,184377
自制配件将手机组装成一辆兰博基尼跑车,5615,2274813,//i2.hdslb.com/bfs/archive/25a6f387d002ed89abba9264b60775fee175e538.jpg,93951322,BV1kE411W7P8,1583492437,2020/3/6,19:0:37,02:47,12220,9535,47125,8253,174323
自制不锈钢口罩,10810,3782440,//i1.hdslb.com/bfs/archive/6ef00fda81b34277c4f33aa0a1b1c71f7186329b.jpg,91406746,BV1p7411u7C2,1582546178,2020/2/24,20:9:38,02:11,22063,14843,57071,26154,217190
自制洗衣机器人,15176,6883926,//i2.hdslb.com/bfs/archive/bf346ee6e6f87d5f4f82a3bf41ed686b0c258b34.jpg,89128482,BV1T741137FR,1581760810,2020/2/15,18:0:10,06:13,65427,68846,284076,100859,524956
洗衣机在家很闷，改装一下出去溜溜,6046,3617797,//i1.hdslb.com/bfs/archive/d4fde8db917a86a4175bff0eb374d61e6def50bf.jpg,87935208,BV18741147i7,1581312799,2020/2/10,13:33:19,01:18,7740,18997,78716,37978,236606
自制家用流水自动煮面机,8731,5519058,//i2.hdslb.com/bfs/archive/854db9882273ce28ec517a00819ce356bcc3bb01.jpg,82851778,BV16J411H7E7,1578656495,2020/1/10,19:41:35,04:57,33136,32618,166063,28679,354249
家里不用的柴油机改了个音箱，放入水还可以当空气加湿器用????,4593,2899158,//i2.hdslb.com/bfs/archive/81c4f350af0afefefdb9ae0fbc8c0e565463ac85.jpg,81450490,BV14J411h7TA,1577788878,2019/12/31,18:41:18,01:08,6719,14833,69393,10836,171581
用螺母做了个小圣诞树,2347,2221195,//i1.hdslb.com/bfs/archive/33a838eddee18fb9ef24577083adcf3c790a84a7.jpg,80640387,BV1vJ411W79F,1577276670,2019/12/25,20:24:30,02:06,2695,4656,22273,1917,106430
自改弹簧条车轱辘,6464,3196093,//i2.hdslb.com/bfs/archive/55421706fc6322bb0064d6c160b0e1fd8d45cc6f.jpg,79624925,BV1XJ41167mz,1576577663,2019/12/17,18:14:23,01:52,8394,7347,34137,11207,125976
自制闻味儿解馋器,5919,3249934,//i2.hdslb.com/bfs/archive/5ce40faea7780394a4d860aed485502aa41a2ce2.jpg,78762959,BV1YJ411y7nq,1575976453,2019/12/10,19:14:13,01:58,14397,11599,46034,34201,152281
自制拳击背包,8758,4147118,//i2.hdslb.com/bfs/archive/eb7990398b7a276c8f63e90a286905cb5ed3d69a.jpg,77598617,BV1CJ411B7gh,1575123596,2019/11/30,22:19:56,03:11,16063,18195,81906,23167,229825
自制不用铲子的颠勺锅，炒个狗粮。,5590,2807901,//i1.hdslb.com/bfs/archive/94233e756d1d32532792eb8de4ec15e018ec27cd.jpg,76492921,BV1hJ41127qg,1574331919,2019/11/21,18:25:19,02:41,10672,7460,31264,11675,110767
