title,comment,play,pic,aid,bvid,created,date,time,length,video_review,favorite,coin,share,like
【朱一旦的破产生活】02 找了份新工作，没想到我也有今天,3445,2406880,//i0.hdslb.com/bfs/archive/60eb9383074625577cd5c69822a97cd4cb2b3ac3.jpg,413484189,BV1rV411r7TF,1591959094,2020/6/12,18:51:34,03:15,10941,5303,13216,2935,140360
【朱一旦】197 帮助一名员工实现了网红梦,3856,2442132,//i0.hdslb.com/bfs/archive/0f0f1f7f409e713da89c74d0c58e0a6600cd0866.jpg,455897147,BV1C5411p7sZ,1591699185,2020/6/9,18:39:45,01:21,2690,6044,14808,3930,149934
【朱一旦】196 写信告诉我，今夜海是什么颜色,3935,2011537,//i0.hdslb.com/bfs/archive/3ca550b696a34bc7fc0055299ee41ad2bd361337.jpg,498487886,BV1bK411p7ve,1591611101,2020/6/8,18:11:41,01:45,4168,6732,15713,2649,123556
【朱一旦】195 为了给堂弟找女朋友，特地举办了一场比赛,3313,2441693,//i1.hdslb.com/bfs/archive/6eeacd63c74af2c8e699044bbafcfb81c5a08788.jpg,795918674,BV1fC4y1h7ve,1591443090,2020/6/6,19:31:30,03:07,7761,9209,34700,2990,186834
【朱一旦】194 请最抠门的员工吃饭，搭进去一块劳力士,2324,2528662,//i1.hdslb.com/bfs/archive/e5b53de0483a0edba78bc13ee6257ee0fee66931.jpg,540978668,BV17i4y1x7Yt,1591368329,2020/6/5,22:45:29,01:18,1917,4392,9350,1914,135035
【朱一旦】193 找了个大师学习绝世武功，顺便治下内八,3128,2261901,//i1.hdslb.com/bfs/archive/4a58c02c305c6bb8f599da61f1e43d30f02f0564.jpg,243421666,BV1Zv411z7ty,1591264385,2020/6/4,17:53:5,01:36,3086,5172,13143,3434,137961
【朱一旦】 我和屏幕里的自己聊了次人生,2311,1676412,//i2.hdslb.com/bfs/archive/69022f02aed79e6adaaa364feea174b89e339621.jpg,498460141,BV1JK411p7zh,1591187444,2020/6/3,20:30:44,02:40,2474,5111,11111,1562,114363
【朱一旦】192 为了祝大家儿童节快乐 辞掉了几个员工,3360,2634366,//i0.hdslb.com/bfs/archive/709f7890f929f7ee8caa24245628fcf2d878bca8.jpg,498383279,BV1NK411p7fK,1591017309,2020/6/1,21:15:9,00:40,3066,5225,11887,5029,148326
【牛一旦】01 不小心撞到了一个二流子，他反手踢了我一脚,3191,1926247,//i1.hdslb.com/bfs/archive/03ba673c07e62ba8bc1d765aa110c6d44583ea26.jpg,968408725,BV1Np4y1D7RS,1591007285,2020/6/1,18:28:5,01:47,2784,4037,6923,1579,117518
【朱一旦】191 朋友指责我是黑心老板！挖走了我的员工！,5935,2766624,//i0.hdslb.com/bfs/archive/672148d0efedc30397f08b175ce49b98fe7435d6.jpg,795789730,BV15C4y1p742,1590841532,2020/5/30,20:25:32,02:09,6802,9617,33352,5572,172765
【朱一旦】190 碰到了一位不经意露出劳力士的保安,4044,2857621,//i1.hdslb.com/bfs/archive/17c909f3d4ac43efa6b11dff1c72af1399b10d7b.jpg,200870482,BV1Nz411i7iL,1590490272,2020/5/26,18:51:12,01:42,3469,6296,10869,4519,139844
