title,comment,play,pic,aid,bvid,created,date,time,length,video_review,favorite,coin,share,like
花7万元买下60台手机，看看移动芯片谁强谁弱？！,7662,684978,//i0.hdslb.com/bfs/archive/fa86852f46b2aa54e812d5067fde47e01fef74a5.jpg,413322686,BV1hV411C7yL,1590966771,2020/6/1,7:12:51,39:55,18507,44678,112834,9879,97587
七彩虹iGame Z490 Vulcan X V20主板上手+i5 10600K简单超频,351,125782,//i1.hdslb.com/bfs/archive/51669a7966d5b34d90e2665871668208123e2d76.jpg,668308790,BV1Ra4y1e71u,1590841852,2020/5/30,20:30:52,06:30,483,534,1097,203,5713
奇妙队队碰：你从未见过的科学实验竞技秀【中二所的奇妙冒险 | 公众科学日直播回放】,780,566480,//i2.hdslb.com/bfs/archive/5eccd5c738a5b1ed876fac69f0193c91696e24c6.jpg,925750014,BV1CT4y1u7RA,1590316506,2020/5/24,18:35:6,140:04,6239,4293,2795,743,46062
【4K】150秒回顾中科院物理所×bilibili公众科学日高能瞬间,235,81068,//i0.hdslb.com/bfs/archive/037f5a6c4687b807fe2d081e6a118c29b5eb5b7f.jpg,925868504,BV18T4y1g7Xc,1590247000,2020/5/23,23:16:40,02:32,206,488,520,281,7706
桌面版10代酷睿处理器评测：高频+全系超线程,1714,218988,//i0.hdslb.com/bfs/archive/d6b50978226092292602f64f664e21f955e711cf.jpg,840747813,BV1x54y1D7L1,1589979148,2020/5/20,20:52:28,14:41,3544,1529,3177,1132,9799
Ryzen3 3100&3300X首发评测：低价好折腾的平民CPU,2699,424899,//i2.hdslb.com/bfs/archive/45e675a3d00f6827ad98a0c98f4e13c76805ae4f.jpg,968062301,BV1Yp4y197ub,1588863506,2020/5/7,22:58:26,11:09,6125,3522,8275,5047,20732
把i9+2080S Max-Q塞进2cm机身，微星绝影2 GS66上手测,1734,357652,//i0.hdslb.com/bfs/archive/c68235ab9183a826d413bf7ab9812b5a8dc06c64.jpg,837977271,BV1Fg4y167td,1588251636,2020/4/30,21:0:36,11:22,3739,2872,3205,3582,13453
用索尼手机拍电影是什么感觉？「永远的14nm」花絮...,454,142235,//i2.hdslb.com/bfs/archive/be3e2174c965806703b0c43831d4e22d1cc8516c.jpg,412988491,BV1xV411d7zS,1587894527,2020/4/26,17:48:47,04:52,280,1552,3868,735,7950
【4K测试】这是我们心目中的十大经典智能手机...,1607,379837,//i1.hdslb.com/bfs/archive/d209b72d49a59cb7b88a5c7593592c9af6d1e05e.jpg,242936413,BV1ve411s79z,1587621619,2020/4/23,14:0:19,01:42,1311,4272,6434,1198,16766
“实时视频插帧”是如何做到的？聊聊MEMC芯片插帧...,936,174734,//i2.hdslb.com/bfs/archive/789a24abaea6aead3c591beb906d6e17c60a280c.jpg,200234737,BV1fz411b7Yz,1586786065,2020/4/13,21:54:25,10:44,2520,1709,2777,886,9344
