title,comment,play,pic,aid,bvid,created,date,time,length,video_review,favorite,coin,share,like
贝多芬听了都会摇,1800,647926,//i2.hdslb.com/bfs/archive/db35004b9a90a4de38361fa4ba0f637bc6a13b72.jpg,838403206,BV1Ug4y1i7WJ,1591779602,2020/6/10,17:0:2,01:48,2143,11958,14353,1702,75904
艺 术 童 年,932,263743,//i0.hdslb.com/bfs/archive/8edca182f86e8eee8b40e02d31f478ac35b01648.jpg,455912394,BV1o5411p7pu,1591020377,2020/6/1,22:6:17,05:56,6535,3114,3432,389,34167
当 当当 当当 当当当当,2133,1783854,//i1.hdslb.com/bfs/archive/b8ca54dedd688ee0380866a9c50e78f83b59f010.jpg,370767514,BV1zZ4y1p7Bo,1590315744,2020/5/24,18:22:24,01:31,4647,29260,23574,3190,171919
【特朗普】没有人比我更懂模仿！,5504,7380313,//i1.hdslb.com/bfs/archive/49f714eb27937bbca5b14d8033eeb4f7838fb1b5.jpg,710727237,BV1zQ4y1A7qz,1589536814,2020/5/15,18:0:14,01:22,13311,221841,224906,65914,677855
卢本伟献给新一代的演讲《赌浪》,2040,318071,//i0.hdslb.com/bfs/archive/c257d2b34df8fee754efba9d5ca9486d7048c798.jpg,243049857,BV16e411p7Kw,1588640435,2020/5/5,9:0:35,01:33,2942,8787,11349,5787,47098
教你在妹子面前秀魔术，扑克牌运动带师！,1085,347623,//i1.hdslb.com/bfs/archive/df16fc2a06cc05b52c75930aac15bd33702db88e.jpg,497971752,BV1tK411578N,1588305642,2020/5/1,12:0:42,10:31,6133,4022,4348,373,36228
伏拉夫最新单曲《财富密码》,8280,3271176,//i0.hdslb.com/bfs/archive/0b05381743cfe791da4ef851b8b12d80eb57965a.jpg,540253935,BV1Bi4y1876E,1587380466,2020/4/20,19:1:6,02:03,19816,50324,39272,28609,186999
老八挑战RAP语速极限《美食家》,3806,2096414,//i1.hdslb.com/bfs/archive/b1cf46c61545b8b34aedd0ad84c33ea950a20b1c.jpg,840221223,BV1T54y197zP,1586836550,2020/4/14,11:55:50,02:24,18115,55901,71634,18958,198780
黑人抬棺最骚版本（Beatbox）,2148,1186169,//i1.hdslb.com/bfs/archive/611badd16235edf3136952a5d157efd6c52210d4.jpg,837714915,BV1ig4y1878Q,1586594294,2020/4/11,16:38:14,01:34,6406,14285,19359,2961,114953
不要再网络暴力了！,1751,587721,//i1.hdslb.com/bfs/archive/ee5b50d0d236e0eb19481125bda7c95c7e11d32d.jpg,582655838,BV1v64y1u7Bi,1586490476,2020/4/10,11:47:56,01:16,2780,5545,3797,954,57438
建议改成：魔 术 带 师,2108,616343,//i0.hdslb.com/bfs/archive/858f7e08ded529c0fb5022822711eea1d9435e4d.jpg,540097546,BV1Di4y1b77i,1585889461,2020/4/3,12:51:1,05:50,27770,6367,4948,1491,81168
我 输 了,9456,2703468,//i2.hdslb.com/bfs/archive/aa4b1df01d713417e554c60a48013fde0546f4bb.jpg,99534969,BV1Z7411C7VS,1585215317,2020/3/26,17:35:17,03:36,15182,27092,23033,39250,106231
人家是小姐姐啊~,2181,779363,//i0.hdslb.com/bfs/archive/f50489ecdf9fc777995e95d27d4c23b6767e0020.jpg,96345972,BV12E41137wL,1584201600,2020/3/15,0:0:0,01:14,6807,11029,9002,12638,63129
一切都是因为在家太无聊,2488,777842,//i0.hdslb.com/bfs/archive/b5e71ab7d5bc8c94f810e3c16848e665bf82fad4.jpg,92190775,BV1b7411N7Dg,1582813387,2020/2/27,22:23:7,01:56,10998,9464,13276,2413,75985
声援疫线，Sing4U！B站各区知名Up主邀请运动员/艺人/CV等一起为武汉加油（原创音乐/人物录屏/应援念白/手写字条等）,3331,1073930,//i2.hdslb.com/bfs/archive/635105ec7aa212f0cea1ee3ee3715e32e03220ef.jpg,89013546,BV1r7411g7eo,1581739248,2020/2/15,12:0:48,07:01,23339,39549,89303,7747,158347
老公你快说句话呀,22113,11365530,//i2.hdslb.com/bfs/archive/bf93074b04128bb84ff8617abf21aad70ed9ee5c.jpg,87646992,BV1y7411t7Kt,1581213658,2020/2/9,10:0:58,01:08,29464,199809,149711,364949,502449
爷有第二次勾这个木桶吗？！,1367,499846,//i0.hdslb.com/bfs/archive/8c225012c4b64b7b0c52eaf2ae766c771d9558dc.jpg,86951721,BV1t7411H7Zh,1580910629,2020/2/5,21:50:29,28:01,17783,3534,4179,791,33262
七年了，我变成这样了,3908,840609,//i0.hdslb.com/bfs/archive/0cf3bc492e851a9c25c301bba0d2f0a479e2633a.jpg,85625945,BV1c741167Fd,1580356814,2020/1/30,12:0:14,05:39,12465,11830,33493,910,93099
硬 核 广 播,1367,1257764,//i0.hdslb.com/bfs/archive/689334504d5c6d2af19cbbf511bca55a4cd5345b.jpg,85430388,BV1C7411r7Yo,1580208318,2020/1/28,18:45:18,00:54,2071,22352,19241,13378,86894
失传已久的纯人声串烧版《恭 喜 发 财》,593,290277,//i0.hdslb.com/bfs/archive/efa58318e609fc220da607485b676af0e57f1fd4.jpg,85150819,BV127411k7ym,1580097627,2020/1/27,12:0:27,02:07,492,2859,4686,385,22882
食 神,2183,3855545,//i2.hdslb.com/bfs/archive/2e1b99776554cfa9f952b08a829d7bd8f5769730.jpg,83466664,BV1xJ411J7Ue,1579060855,2020/1/15,12:0:55,03:31,18727,93554,98878,73927,213924
他点的赞，凭什么我来承担！,791,577728,//i0.hdslb.com/bfs/archive/d7015167befc8fd26a91c9ef6b1a145b182c4a65.jpg,82899838,BV11J411H7hD,1578711651,2020/1/11,11:0:51,03:55,2950,4362,6759,666,50531
真一口气打完2019年度热门曲！,1614,801323,//i1.hdslb.com/bfs/archive/2c63ffd5613231a2c9d20391eb48c63533b8bd34.jpg,81890004,BV1CJ411j7m3,1578132034,2020/1/4,18:0:34,03:45,5565,34268,87837,3986,110594
电音穷哈,592,579376,//i2.hdslb.com/bfs/archive/246c4dcd856a7270269bdf133564cb7fdfcfbd5b.jpg,80785351,BV1YJ411Y7Bg,1577415638,2019/12/27,11:0:38,00:52,691,6152,5741,1186,34465
B站UP主现状（极度真实）,2057,645384,//i2.hdslb.com/bfs/archive/66a193c0b87e9b8d276f7349e4967e411272ab53.jpg,79980754,BV1vJ411x7t3,1576844396,2019/12/20,20:19:56,02:33,2799,7103,10516,663,72928
最牛逼的倒放挑战！,983,891879,//i2.hdslb.com/bfs/archive/97763dc3e0133d0ba5c5bc05e863380b91e241fb.jpg,79079341,BV1BJ411C7kZ,1576220882,2019/12/13,15:8:2,06:48,13589,11322,20070,2075,67566
奥利给妙妙屋,5424,17217577,//i0.hdslb.com/bfs/archive/50601f9a07cd1b7bd341d39564adb4d1d297b2cd.jpg,78698782,BV1GJ411y7ui,1575950419,2019/12/10,12:0:19,01:36,41284,442118,393644,331968,755830
【郭杰瑞】外国人开蓝翔挖掘机这么强？,521,278213,//i0.hdslb.com/bfs/archive/cba73f13bc061cf60bb6c36a5290730c2e8ff505.jpg,78429604,BV1RJ411e7zW,1575795616,2019/12/8,17:0:16,01:54,606,4809,5369,751,23680
给我爬！,1982,2475889,//i0.hdslb.com/bfs/archive/743569a224a4936d2977e7aa5c6fe218f740a8c2.jpg,77720885,BV1gJ411z7QE,1575202350,2019/12/1,20:12:30,01:15,4897,49561,40751,13676,131558
霓 虹 迪 斯 科 之 主,1478,2032658,//i2.hdslb.com/bfs/archive/09bc414a946322fae1566ef624d8d2df9af9e12d.jpg,76662181,BV1jJ411d7TM,1574472613,2019/11/23,9:30:13,01:18,3494,36377,34049,15771,84872
银 河 之 主,1522,2330094,//i1.hdslb.com/bfs/archive/090a5c74445c675be6f7ab79d0fa1ecdecf92266.jpg,76017474,BV1LJ411S7xi,1574071210,2019/11/18,18:0:10,00:45,5290,46579,38644,20556,92559
当你看了300遍的影流之主,3228,5589570,//i0.hdslb.com/bfs/archive/39a0c6987e70925b8e8dabf07384fd68206ace8a.jpg,75957805,BV1MJ411S7rp,1573954200,2019/11/17,9:30:0,02:59,18734,91626,125449,49853,314639
奥利给大战豫章书院【除恶扬善】,6549,3507785,//i0.hdslb.com/bfs/archive/cc464170e1e8ba12ec25ac3a3bf7519ca1433107.jpg,74758033,BV18E411i78G,1573099222,2019/11/7,12:0:22,03:25,35717,178465,314961,81469,367383
如果你朋友正在生气，让他看看这个视频！,594,875996,//i0.hdslb.com/bfs/archive/8d4fc780367b2bfb6c81f1beadf80671b9e3fd05.jpg,73934400,BV1vE411b7Df,1572494442,2019/10/31,12:0:42,01:33,723,19314,12616,5889,45192
