title,comment,play,pic,aid,bvid,created,date,time,length,video_review,favorite,coin,share,like
情同手足,9538,4466723,//i1.hdslb.com/bfs/archive/2a6c06ffb0fd37433ce1ada6e837ee804c164de9.jpg,838499147,BV1Tg4y1q7iK,1591416015,2020/6/6,12:0:15,12:54,52739,81815,161974,25001,411544
东 北 福 尔 摩 斯,4853,2020233,//i2.hdslb.com/bfs/archive/d72f0b84ec63f47c17f0eb8216de1cba96bdd9ec.jpg,540779465,BV1Fi4y1t7cj,1590894011,2020/5/31,11:0:11,08:38,16330,33084,55836,2386,188981
乱 摸,7318,4994424,//i2.hdslb.com/bfs/archive/8f5cd74214ef41c131b3fd480dbe3234f0601fd4.jpg,968287625,BV1cp4y1X7Lj,1590724835,2020/5/29,12:0:35,05:56,32122,101530,153853,11041,402298
奇妙队队碰：你从未见过的科学实验竞技秀【中二所的奇妙冒险 | 公众科学日直播回放】,780,564886,//i2.hdslb.com/bfs/archive/5eccd5c738a5b1ed876fac69f0193c91696e24c6.jpg,925750014,BV1CT4y1u7RA,1590316506,2020/5/24,18:35:6,140:04,6214,4292,2787,743,46016
大侦探叶问,5834,1504494,//i2.hdslb.com/bfs/archive/4c77b8241e18118609f78aa7ab1874319637b40a.jpg,795871214,BV19C4y1h7aU,1590292851,2020/5/24,12:0:51,11:41,21497,29099,57430,2802,192555
【某幻/中国BOY】电子羊,17783,6167981,//i0.hdslb.com/bfs/archive/14133161e306b17ad1d84c60bb0a3da4eb9b0dd7.jpg,200650394,BV1Bz411q7p7,1589515250,2020/5/15,12:0:50,11:14,67319,234865,419878,47474,475828
死了368次，我还是没有跳下这座桥,4538,2705906,//i1.hdslb.com/bfs/archive/1240c57b1590b12fc348a08b60ca1ca887eed342.jpg,883026092,BV12K4y1b7ho,1588910707,2020/5/8,12:5:7,10:36,28051,36452,70440,5499,210796
最强尴尬王！！！！！！,30794,9334552,//i2.hdslb.com/bfs/archive/2dc50a17cd035ca359405c23dbaedc398b167460.jpg,752947982,BV19k4y1r75k,1588305642,2020/5/1,12:0:42,03:06,67822,363141,605965,62392,864292
最强答题王！,10348,2572319,//i0.hdslb.com/bfs/archive/e260c6bafb4e3837500b5476c226a936f6a68a92.jpg,967963130,BV1Ap4y197G8,1588245053,2020/4/30,19:10:53,11:08,57254,92284,188257,18150,374604
凑斗富俘虏小汉堡它到底好吃吗？,6708,3022210,//i1.hdslb.com/bfs/archive/23f67baf7a84c384d923c1f4225bdc63e1678e3a.jpg,840442578,BV1y54y1Q7GR,1587902534,2020/4/26,20:2:14,12:27,52310,55537,90864,4692,255060
被迫跳舞,7132,1905716,//i0.hdslb.com/bfs/archive/41a7693da1a51a21f02b69c94d4b5d3c00488444.jpg,540258602,BV1ki4y187FH,1587545432,2020/4/22,16:50:32,04:06,18336,24231,38774,3501,166516
无 人 生 还,20972,7587555,//i1.hdslb.com/bfs/archive/6784ae5552c9f97cb8dbf0ebaf85ed3e0224d32a.jpg,710260165,BV1UQ4y1K7uM,1587204170,2020/4/18,18:2:50,23:33,111020,189008,383262,44678,566076
【中文七级】大哥带我芜湖起飞！,6454,1790268,//i0.hdslb.com/bfs/archive/bf2404300f2a809d8c693f95821a2d3145807b42.jpg,412823869,BV17V411Z7VF,1586938468,2020/4/15,16:14:28,05:02,18972,28820,54137,12193,172283
毁 忆 童 年,8249,2079779,//i1.hdslb.com/bfs/archive/5f35b25f8da4086ec204b3a037bd555b2106149d.jpg,752663984,BV1Dk4y197gX,1586498485,2020/4/10,14:1:25,06:29,33285,31030,60846,3101,190147
山 东 打 鬼 王,7133,2405627,//i1.hdslb.com/bfs/archive/8b2642027699ce7875d8d61d80ea5a5e92bb9eec.jpg,882605766,BV1yK4y1C7AJ,1585450475,2020/3/29,10:54:35,08:12,40438,56900,138282,4489,253587
玩了可以让你孤独一人的游戏,4225,1380170,//i2.hdslb.com/bfs/archive/7ae4861c9519141880d8c1182c5b5c83a4f96ba3.jpg,967613868,BV1Jp4y1C7mL,1585224154,2020/3/26,20:2:34,08:49,9531,12204,21974,2553,97997
老娘要生个大胖小子,7683,3186716,//i1.hdslb.com/bfs/archive/fac422a138880dbe7a50cc49c887ba345c9969f5.jpg,98008709,BV1FE411P7sm,1584763222,2020/3/21,12:0:22,12:52,81697,51325,93579,22552,246308
实名在老番茄和中国拜脸上暴扣,4296,2278929,//i1.hdslb.com/bfs/archive/abdfa3b594ad6f025986110172249c99e7599081.jpg,96126445,BV13E411V7w5,1584158439,2020/3/14,12:0:39,13:05,26550,26805,42587,3369,152375
最 强 黑 道 王,17762,2716572,//i0.hdslb.com/bfs/archive/6ba475c7fff3ecfe7debd6c816e1fba1f29b36df.jpg,94430228,BV1QE411u7qW,1583576132,2020/3/7,18:15:32,15:43,112620,97105,258225,12906,319721
老娘教你什么是餐桌礼仪,15135,2809437,//i1.hdslb.com/bfs/archive/fd49264ae3f0159dc29c88399af990988121d3b2.jpg,89191800,BV1h7411J7Yi,1581758783,2020/2/15,17:26:23,12:21,30670,21978,41953,4887,137710
声援疫线，Sing4U！B站各区知名Up主邀请运动员/艺人/CV等一起为武汉加油（原创音乐/人物录屏/应援念白/手写字条等）,3331,1073862,//i2.hdslb.com/bfs/archive/635105ec7aa212f0cea1ee3ee3715e32e03220ef.jpg,89013546,BV1r7411g7eo,1581739248,2020/2/15,12:0:48,07:01,23339,39550,89301,7747,158344
【某幻】娜塔莎是个工具人,3518,2264802,//i2.hdslb.com/bfs/archive/4880068370e04e1043310bdbafe40e3c788c7a45.jpg,87459476,BV1q741187jT,1581135019,2020/2/8,12:10:19,09:01,22627,26095,64744,2730,178872
最强花絮王！！！！！,6245,4350279,//i2.hdslb.com/bfs/archive/b76c4d2c804367bce17c2c70391b19d6cef77770.jpg,86286074,BV1v7411W73X,1580630198,2020/2/2,15:56:38,16:44,114156,108427,157157,19219,309115
最强自夸王！！！！！,33280,17781588,//i1.hdslb.com/bfs/archive/202bc40ecf4991d21df91f52a2d112eddb977de1.jpg,84887919,BV1p7411Y7BC,1579924812,2020/1/25,12:0:12,03:51,324865,700304,1244818,172702,1247023
吃什么吃，老子不吃！,3236,2016784,//i1.hdslb.com/bfs/archive/6484f94e9b11e4fd698ea679108c7ce95cdfce21.jpg,84807887,BV1u7411Y7yw,1579852423,2020/1/24,15:53:43,17:24,57950,21871,44423,3965,131716
击败鬼的最好方法就是喊妈妈,3769,2601142,//i1.hdslb.com/bfs/archive/0b6160deb951bb9b009a8516d15033e61a601ecf.jpg,82999528,BV15J411p7XV,1578744899,2020/1/11,20:14:59,36:45,91352,31477,64202,15092,125458
