title,comment,play,pic,aid,bvid,created,date,time,length,video_review,favorite,coin,share,like
这个世界究竟对懒人有多好？,466,160115,//i0.hdslb.com/bfs/archive/06244a9abf0024af20705a01c7c89f03b0d7a8ea.jpg,796019152,BV1bC4y1a7uf,1592051436,2020/6/13,20:30:36,04:53,751,860,1345,136,17767
为什么你们人类每天都这么焦虑？｜004,690,112727,//i1.hdslb.com/bfs/archive/56d333ece163c12a453a809603045f5e11290931.jpg,710896855,BV18Q4y1P7y4,1591873249,2020/6/11,19:0:49,05:40,943,734,1144,143,13584
现场探访唐人街，美国华裔当下的真实处境如何？,3025,368400,//i2.hdslb.com/bfs/archive/b8dd9a4649569b11844f5d7149bad5de41738663.jpg,583489736,BV19z4y197He,1591786828,2020/6/10,19:0:28,07:23,2595,2352,4403,503,30261
美国的和平抗议者如何看待暴力示威打砸抢？,1337,196052,//i2.hdslb.com/bfs/archive/27f91a839bfc04b3e5a3c484c807e687fc66b2d7.jpg,455885805,BV1z5411p7os,1591700446,2020/6/9,19:0:46,07:03,2194,1153,1756,193,18580
外国人是怎么教外国人用筷子的？看完我都不会用筷子了,1479,348971,//i1.hdslb.com/bfs/archive/05d215fd3fcd13a7edc5f1b780dff886362423fe.jpg,625881434,BV1Kt4y1y7xo,1591527617,2020/6/7,19:0:17,06:00,5000,1839,6018,218,35666
连线美国抗议的黑人朋友，为什么亚裔和白人也在现场？,5495,1007522,//i1.hdslb.com/bfs/archive/ae5e3f09c0aa28a9de362b6e5b627594d9b52a80.jpg,540989070,BV1Gi4y1x7ui,1591185951,2020/6/3,20:5:51,08:13,10127,7968,20616,2432,73040
为什么美国黑人遭受的警察暴力越来越可怕？,5776,951013,//i2.hdslb.com/bfs/archive/17e5abf368e6668bed7ce787c07594b74e9f4560.jpg,540881372,BV1Si4y1s74J,1591011223,2020/6/1,19:33:43,06:10,6560,5153,10168,1530,65253
海外点评上的中餐厅差评有多奇怪？我笑傻了！｜读评论,1656,608363,//i0.hdslb.com/bfs/archive/ba0ea0b54b39212b19d30a13f7b0652d421185ed.jpg,968274216,BV1Tp4y1X7rU,1590663625,2020/5/28,19:0:25,07:34,4352,3204,10525,377,54434
感谢！！中国朋友们在疫情期间是如何帮助全世界的？,1193,262073,//i1.hdslb.com/bfs/archive/11fb447500813bc281ba6dec8204672d50c22155.jpg,968364998,BV19p4y1S7Cu,1590147131,2020/5/22,19:32:11,06:21,1577,3151,12999,331,41218
青春有你2在海外有多火？外国人最pick哪个小姐姐｜读评论,3154,481492,//i0.hdslb.com/bfs/archive/27377a6a86e4379fcd7032abbf46cc4ee267e0ea.jpg,370716378,BV1aZ4y1p7dx,1589688003,2020/5/17,12:0:3,10:26,11436,1823,4103,679,30209
一年没见到85岁的奶奶，决定做疫情志愿者给她惊喜,952,198697,//i2.hdslb.com/bfs/archive/bd46a769521c825ee88f34333071d23a4eccc7f0.jpg,668232285,BV1na4y1e7qp,1589454024,2020/5/14,19:0:24,07:04,1433,1949,9657,178,31150
用川普的讲话串成一个故事，会是什么样？｜003,1500,577978,//i0.hdslb.com/bfs/archive/b4f0c3353927952d1250557d74faea2a40aed857.jpg,795706056,BV1FC4y1p787,1589194845,2020/5/11,19:0:45,04:36,2235,5318,17466,1398,59980
外国人在中国最沙雕的时候是什么？｜002,874,409722,//i2.hdslb.com/bfs/archive/d5c5374677491a403ffdb1efdc13670b3324a85c.jpg,413021568,BV1iV411d7t7,1588676415,2020/5/5,19:0:15,04:16,3067,1856,5153,355,41725
被星悦远程操控的一天，做女生到底有多难？,1595,464971,//i1.hdslb.com/bfs/archive/5a3df710eda8e8c8b49a5a61267ba853653cfe69.jpg,540504500,BV1Ki4y1b7so,1588590054,2020/5/4,19:0:54,09:53,11910,3159,10237,1606,51620
