title,comment,play,pic,aid,bvid,created,date,time,length,video_review,favorite,coin,share,like
【泠鸢生日投稿】喜欢你,7804,549575,//i2.hdslb.com/bfs/archive/e523109320dde93e7919cbfed4a780bc1a4a81e6.jpg,710650037,BV1KQ4y1K7iZ,1589860852,2020/5/19,12:0:52,04:16,10952,25567,49387,3817,73656
【爆裂魔女】白夜协奏曲,1200,194014,//i0.hdslb.com/bfs/archive/596f6ff1a355350fae683a495ccb65ab330f4405.jpg,795487085,BV1YC4y1W7TM,1588240818,2020/4/30,18:0:18,02:35,716,9248,14297,1394,30166
【泠鸢翻唱】巡恋风（那…再见了）,2180,368667,//i2.hdslb.com/bfs/archive/6a03980bdf7fc60a668b73d6feaaa29b93dcee43.jpg,837793609,BV1Fg4y1h7HY,1587533755,2020/4/22,13:35:55,04:33,1897,18473,29754,2040,46443
【高能时刻】关于我为了大爱而成为恶鸟，你以为的不是你以为的，坐在云端看着混乱纷争偷偷笑出声这件事！,2069,606152,//i2.hdslb.com/bfs/archive/67326ccb588e12ca4e84f6ed8bfcca6239405706.jpg,98576632,BV1j7411m7ek,1584919743,2020/3/23,7:29:3,11:45,4403,6397,12943,1778,44717
【bilibiliX腾讯音乐】国风年度巨献《夭夭》,3609,1035732,//i2.hdslb.com/bfs/archive/4c418a6208eb4d23eea9fca7a6c3fb67132c7f41.jpg,95697239,BV1SE411V78E,1584026360,2020/3/12,23:19:20,03:23,4242,69663,67522,7142,108244
【泠鸢·翻唱】流年如歌 [拜年祭金曲翻唱~],3261,533975,//i0.hdslb.com/bfs/archive/ada57ec90a4b957ff41c04e53bd262b5c4dc0b36.jpg,94304902,BV1BE411p7oi,1583525852,2020/3/7,4:17:32,04:49,3271,29048,53250,3990,62046
【官方回播】Bilibili Macro Link-Visual Release 2019,8463,921029,//i2.hdslb.com/bfs/archive/d439545794b99d3ca88facc56fb2e1564a2e570f.jpg,92188887,BV187411N7pq,1582905656,2020/2/29,0:0:56,189:22,97449,37786,46342,8948,62537
【泠鸢·第二张个人专辑】《折纸信笺》原创动画&专辑试听宣传PV,3087,414291,//i2.hdslb.com/bfs/archive/d58aa3cc136a73e9df0159448826fd0a17090b08.jpg,90595226,BV187411w7U6,1582284650,2020/2/21,19:30:50,06:49,3345,18660,35402,3905,48725
【泠鸢翻唱】横竖撇点折（2020拜年祭-首翻）,4135,1574529,//i0.hdslb.com/bfs/archive/bffaac410d0d5efdf77102d719be172de4fc327a.jpg,84648811,BV1w7411v7pG,1579946456,2020/1/25,18:0:56,03:50,7080,77902,110292,10218,127421
星之回响【2020拜年祭单品】,5317,1669015,//i2.hdslb.com/bfs/archive/c39ad6fbe8ce79d4e0ff9b1dc76b02c37aa14907.jpg,78978587,BV1KJ411C7qF,1579877678,2020/1/24,22:54:38,05:01,14700,79302,97459,16312,108925
VRFM第三期 I Never 大决战,191,93631,//i0.hdslb.com/bfs/archive/5bb728838deaa351874055b5e1c8a2dc29975c72.jpg,84279456,BV1S7411v7WB,1579515073,2020/1/20,18:11:13,86:06,1137,1111,4175,665,10514
【泠鸢翻唱】桃花笑（已经等不及要过春天了！）,3159,849973,//i0.hdslb.com/bfs/archive/47315dea308b1960f81488c9625eea15377e6102.jpg,84156638,BV137411v7Sf,1579437809,2020/1/19,20:43:29,03:16,3043,34190,57271,4045,71418
【Days乐团 X 泠鸢yousa X Hanser】2019BilibiliWorld成都站 12.22 主舞台 15：00-16：00场,751,376379,//i0.hdslb.com/bfs/archive/d5755909b5235e810cc1309507f2a43139b9c649.jpg,80533851,BV1AJ411W75Y,1577221109,2019/12/25,4:58:29,22:44,3509,6967,12764,1894,27221
