title,comment,play,pic,aid,bvid,created,date,time,length,video_review,favorite,coin,share,like
我花5000元买了一台长高机器 一个月后居然...,680,189053,//i1.hdslb.com/bfs/archive/12b0596b183c5b804d63f99e4aad98b1be5abaa8.jpg,243457592,BV1Tv41167xN,1591960203,2020/6/12,19:10:3,05:06,1594,1449,7277,161,27188
看完血赚！学生党怎么用最少的钱去国外穷游？,595,155473,//i2.hdslb.com/bfs/archive/91fa959cd33499be156ec6a59c3da89929978761.jpg,413413694,BV18V411r7vV,1591754450,2020/6/10,10:0:50,05:16,994,4256,6008,510,26104
当up主一年后 我的眼睛出了点问题....,870,178666,//i1.hdslb.com/bfs/archive/ff7a80e1d989b9b99229c89dea062decc3caf582.jpg,200839121,BV1Rz411v7vQ,1590914434,2020/5/31,16:40:34,04:59,1443,712,1247,67,20497
绝食一天再去吃海底捞！我们竟创下最高纪录....,1443,845375,//i0.hdslb.com/bfs/archive/cc81a8923e1247279e1b17243e04debb5fcf0226.jpg,328330209,BV14A411q7jv,1590197407,2020/5/23,9:30:7,04:48,4636,3955,21290,1054,96548
搬家后意外和明星做了邻居！住在这里是什么体验？【波桑】,2761,2525288,//i2.hdslb.com/bfs/archive/60d146fa8bba06fbdb52dbea8add324ad5bf7018.jpg,540727366,BV1ai4y147zN,1589508004,2020/5/15,10:0:4,05:42,9894,7892,13297,831,148576
和三个女生合租在一起，是什么体验？！我当场搬家,3996,1176015,//i2.hdslb.com/bfs/archive/61ecdaf8b01c53541d6b9e891d2a474dc3ec1bf3.jpg,370715513,BV1YZ4y1p7Hj,1589248855,2020/5/12,10:0:55,05:03,6963,4121,8840,1953,99691
7天！56小时! 我体验在家环游世界一圈,767,247311,//i2.hdslb.com/bfs/archive/b74aad4ea13610b9d91146205ebb8837601453de.jpg,455430257,BV1k5411x7Eg,1587614423,2020/4/23,12:0:23,10:18,2215,1197,2879,151,27168
最近一直在掉粉 我的回应!,4238,1405979,//i2.hdslb.com/bfs/archive/696f491aa2e952a047ce1143d12b1705e70cd777.jpg,412622854,BV1LV411o7bc,1585880585,2020/4/3,10:23:5,04:49,9779,8683,45922,540,153295
耗资15元 我做出了史上最硬核的自动烧烤机器人！,967,279293,//i0.hdslb.com/bfs/archive/ae13e3ccb2ded205033018a7d64870b51aad4421.jpg,99706134,BV1R7411X7JA,1585277500,2020/3/27,10:51:40,05:05,2439,1280,2948,140,32812
每天吃自热食品  一周后我的身体居然.....,1265,359146,//i1.hdslb.com/bfs/archive/366a1d2b2686e8af875b485c388f0b51e7b6eb12.jpg,98570373,BV1L7411m7fs,1584911727,2020/3/23,5:15:27,06:18,5549,2110,7256,367,43354
一起来看黑历史......,1234,822273,//i1.hdslb.com/bfs/archive/f0cca0e0d55618e0b129a687073205efd2ae40fb.jpg,96390992,BV1SE4113768,1584226350,2020/3/15,6:52:30,05:42,10819,4011,6947,646,91381
体验200元一小时的虚拟恋爱，这谁顶得住？！！！,3076,1250745,//i0.hdslb.com/bfs/archive/f3e99efc12538bfbc65b197069be226b74144c06.jpg,92510465,BV16E411H79m,1583053209,2020/3/1,17:0:9,06:06,29552,9330,16338,7885,101089
三个月没喝过奶茶了，自制10斤芋圆奶解解馋！,721,237057,//i0.hdslb.com/bfs/archive/39267d4d267e11f6779b45995811c85bdd3dcbf2.jpg,92511597,BV16E411H7vh,1582966831,2020/2/29,17:0:31,05:41,3954,1327,3196,419,26747
一个人在家吃1000元火锅,1349,482243,//i2.hdslb.com/bfs/archive/dcea671fd3d7bb3b3184ea8e770f01ea88d158c4.jpg,91501705,BV1n7411T75m,1582588849,2020/2/25,8:0:49,05:01,4109,2556,8437,498,48323
疫情期间，我在废弃医院睡了一周...,1818,1012211,//i2.hdslb.com/bfs/archive/56718a597ad6e31cc29dafe652169b577dfbdb88.jpg,87890252,BV14741147Ae,1581292845,2020/2/10,8:0:45,05:45,6078,8409,44473,744,95687
买到一批假口罩，我直接把团伙送到警察局！,19771,7648414,//i1.hdslb.com/bfs/archive/6d52cabe98f4c99c44e187aa937de3eaba15379d.jpg,86024768,BV1Z7411s777,1580515259,2020/2/1,8:0:59,04:36,39191,163614,822962,62969,1025241
当着百万观众现场直播，我突然忘词......,671,473769,//i2.hdslb.com/bfs/archive/73604fd987fa71aef12918ab98ae7c13b8e55068.jpg,84496030,BV1A7411e7nx,1579651201,2020/1/22,8:0:1,05:26,3263,2301,7742,422,36106
在酒店遇到1000万粉UP主，竟和我睡同一间房！,816,1193512,//i1.hdslb.com/bfs/archive/acd052f50d3294d7cee0b3b3cf940a5d5a3ed0ec.jpg,82891880,BV1kJ411H7Yo,1578704459,2020/1/11,9:0:59,05:01,6448,3888,6303,488,73282
当一个普通人有100万粉丝后 生活会发生什么变化？！,1185,425943,//i0.hdslb.com/bfs/archive/3836915ddf75612f30b89d1968ec1847b815b04f.jpg,82062009,BV1dJ41157K5,1578141897,2020/1/4,20:44:57,05:36,3393,2805,14245,466,42750
在价值3000万别墅里请小姐姐吃饭 网友：渣男,740,614874,//i1.hdslb.com/bfs/archive/d1fbf1f1552c7b8d956ca83094135ad31ef2593b.jpg,80787704,BV1eJ411Y7dJ,1577437225,2019/12/27,17:0:25,04:57,3193,1976,8399,471,39710
住10000元两晚的别墅，竟送我两个小姐姐当管家！,840,736224,//i1.hdslb.com/bfs/archive/cdda56b8eb6b11fea8b352dada7bd2cf15317443.jpg,80541027,BV1KJ411W7Fs,1577235637,2019/12/25,9:0:37,05:28,2493,3049,9058,1053,40212
小伙一天一夜还原动漫：中华小当家，吃一口感动到流泪！,480,213079,//i0.hdslb.com/bfs/archive/90ab5aa5f7cf34c27dfafbf2c809f25bc73d3ad5.jpg,80066492,BV1GJ41147Jk,1576922751,2019/12/21,18:5:51,06:55,1947,723,2338,401,16075
半年涨粉100万！up主喝下柠檬加陈醋诉说心酸...,901,272560,//i1.hdslb.com/bfs/archive/f88e3e6294feef0c5524c5e39f519996671f58fc.jpg,78248822,BV1hJ411i7zD,1575622571,2019/12/6,16:56:11,04:42,2360,1211,5769,388,23989
交不起房租 体验深夜睡在野外！,606,288278,//i0.hdslb.com/bfs/archive/701fe782a55652d60baf58148d0b7fdec82c03c8.jpg,77986221,BV1QJ411q7sm,1575417619,2019/12/4,8:0:19,05:54,1878,1158,4848,418,22344
惊了！百万up主今年最后1个flag竟然是...,1222,1810203,//i2.hdslb.com/bfs/archive/9ac272a85fbf65ab82b7517c84036cf21190da77.jpg,77839188,BV1ZJ411z7nT,1575345621,2019/12/3,12:0:21,06:55,9320,9106,9015,2872,71017
外婆生日，小伙买3000元帝王蟹 全村围观！,1064,586579,//i1.hdslb.com/bfs/archive/91e0f372fd44c95cb9619bb9b51451adb0c52a46.jpg,77127411,BV1LJ411X74F,1574812834,2019/11/27,8:0:34,06:25,5477,3249,20460,551,51838
坚持每晚10点睡觉，20天后直接换一张脸？！,4240,3347863,//i2.hdslb.com/bfs/archive/1f5bc6b6b158cf900afbab5cefc8f157c41ace51.jpg,75870758,BV1kJ411U7xT,1573891451,2019/11/16,16:4:11,04:18,7164,18260,20492,8671,139391
深夜让小姐姐上门给我化妆 钢铁直男被化到自闭！,641,332587,//i0.hdslb.com/bfs/archive/f07187aee6cc1754a0562a5c9fd4167571ea2e7e.jpg,74641881,BV1xE411B7B9,1572948700,2019/11/5,18:11:40,07:13,3737,997,3023,494,17958
目睹印度人在骚扰中国女生 我忍无可忍....,9838,4111506,//i1.hdslb.com/bfs/archive/80501f79745d93bf8a1a0c860a699593e84c717a.jpg,73542820,BV1dE411a796,1572138054,2019/10/27,9:0:54,04:57,9375,64165,335809,4312,413172
小伙因沉迷动漫，独自探寻《千与千寻》原场景 结果....,1037,454475,//i2.hdslb.com/bfs/archive/4949a9bb563c8c5b80d5be31cfb5f7f20ecbad39.jpg,72023173,BV1KE411r7aY,1571706055,2019/10/22,9:0:55,08:14,4576,3798,20158,782,34819
在斯里兰卡住1000元一晚海景房,464,403837,//i0.hdslb.com/bfs/archive/f433663af4a0675561989cb3b4323a291a59ab9d.jpg,71523801,BV1RE411C7yY,1571309083,2019/10/17,18:44:43,06:10,2871,1590,7372,502,27567
和认识三年的外国女网友见面，她一回头我懵了！,2494,2388660,//i2.hdslb.com/bfs/archive/418adceea995f0ea86705d9979cceb215b1dcd35.jpg,71017805,BV1BE411Z7bC,1570928407,2019/10/13,9:0:7,08:16,11934,10002,32116,2330,119050
98年男生为了躲避相亲，深夜逃往印度！,1009,371119,//i1.hdslb.com/bfs/archive/93052cbbb9b1e6d895562a770bfb91ac20bfdd37.jpg,70885849,BV1ZE411o72Z,1570795519,2019/10/11,20:5:19,06:20,2874,1454,5350,561,24556
美团上最贵的外卖长啥样？下单后老板送我一口锅！,830,979343,//i2.hdslb.com/bfs/archive/bfd0d15034b38533a358fb468047184b7949245b.jpg,69211548,BV11E41197Ga,1569639613,2019/9/28,11:0:13,05:02,2792,2667,10118,1062,43939
游戏玩太菜被女朋友抛弃 分手当晚我收到神秘礼物！,471,297699,//i1.hdslb.com/bfs/archive/671155a6831fa0907be565a4c17472fb1398dc50.jpg,68743673,BV1JJ411M7Ph,1569233141,2019/9/23,18:5:41,04:48,2458,654,1841,375,14219
被质疑不会做菜 小伙花半个月工资买超大波士顿龙虾！,583,314935,//i0.hdslb.com/bfs/archive/4a450704ac32b1e3c310742e0b6df2b166bee7a5.jpg,67458943,BV1sJ411P7bb,1568278373,2019/9/12,16:52:53,04:57,1871,1532,7730,532,24943
我把麻辣烫全种类都点一遍  吃到自闭！,837,421431,//i2.hdslb.com/bfs/archive/2b442a8605090df39cca9695b6b6bcb0ab3f4d43.jpg,66623551,BV1w4411y7r9,1567602054,2019/9/4,21:0:54,05:39,4274,2342,12805,717,31603
模仿黄晓明霸气总裁语录挑衅室友，惨遭暴打！,660,341376,//i1.hdslb.com/bfs/archive/75e5faa4af2533422198a59c3ee026e7a976d59f.jpg,65804220,BV1u4411q7SA,1567033223,2019/8/29,7:0:23,04:11,3309,1563,5089,694,23314
一周只吃炸鸡可乐，会胖多少斤？结局让我崩溃,3518,1885700,//i0.hdslb.com/bfs/archive/fbbee4892aa2166bdd48dca272c87d73cf3a8735.jpg,64913060,BV19441197mA,1566550801,2019/8/23,17:0:1,07:19,12700,7714,20286,4833,77200
我被人强行篡改国籍！你看好了 我是中国人,16397,10116080,//i2.hdslb.com/bfs/archive/f34c2689f7085175f17104fc461bf3ca80e01e0c.jpg,63757320,BV1f4411m77B,1565823606,2019/8/15,7:0:6,05:54,94162,137003,325351,39872,815024
这个vlog我拍了一个月，致最热血的青春【完结篇】,1120,355461,//i0.hdslb.com/bfs/archive/9f61f98e9482173b187ee100055dbc5cb5bfb32e.jpg,63160084,BV1u441197A8,1565514047,2019/8/11,17:0:47,10:01,5047,3657,16875,880,25976
凌晨两点 两个韩国人在街头用中文对骂 我一脸懵逼!【十一集】,2014,4357133,//i2.hdslb.com/bfs/archive/6b7e9a06225b363b45d521b11a54eae617a141d0.jpg,62856008,BV1wt411K78x,1565305242,2019/8/9,7:0:42,06:50,12799,13668,9616,2433,85739
一个人旅行第25天 被小姐姐追问：有男朋友吗？【第十集】,913,501026,//i2.hdslb.com/bfs/archive/81a335c850f7c0265d56cf7fc1bf943025c0a4ce.jpg,62411955,BV17t411K7gY,1565053235,2019/8/6,9:0:35,09:11,6175,2087,5707,770,19378
小伙弥补童年遗憾 怒买1000元零食吃到爽！,519,242376,//i2.hdslb.com/bfs/archive/d43dbd768ae765ed922b1864422f3be2b5556b18.jpg,62349980,BV16t411M7Gi,1565006787,2019/8/5,20:6:27,05:00,1973,782,2029,346,12936
揭秘100元能在东南亚国家做什么！为所欲为？【第九集】,909,472212,//i1.hdslb.com/bfs/archive/6388f8d1d1c17163e7ca29dc241acd0e31ec83fc.jpg,61686635,BV194411f7Hp,1564638499,2019/8/1,13:48:19,11:02,7272,2081,7031,735,22632
21岁生日  一个人在海上吃了两桶泡面【第八集】,642,294367,//i0.hdslb.com/bfs/archive/093b33d104a2fb9c987b236ae624633157f3a250.jpg,61301953,BV17t411A7w4,1564403236,2019/7/29,20:27:16,10:24,5686,1297,5126,446,15337
贪便宜住廉价民宿 竟被老板反锁在房内！【第七集】,1327,429552,//i2.hdslb.com/bfs/archive/d230391a35e8728ebd4957822cc78f656b456c36.jpg,60052987,BV1pt411E7e5,1563670835,2019/7/21,9:0:35,08:26,2992,1631,4765,993,16463
中国男子贪便宜住泰国最诡异的旅社 刚进去就......【第六集】,1183,457770,//i0.hdslb.com/bfs/archive/c785a66f5c9cca9acd19631c110720a0bab1766b.jpg,59644131,BV1Pt41137tv,1563400194,2019/7/18,5:49:54,08:40,4426,3024,7929,1503,20544
和日本小姐姐第一次见面 我就被拉黑了!【第五集】,628,416368,//i0.hdslb.com/bfs/archive/2e10d0be712eaff655b3152f8e1393694f4364a8.jpg,59313290,BV1At411G7Wa,1563198632,2019/7/15,21:50:32,10:45,4272,1715,6066,533,16736
赌场、外卖、诈骗，被中国人玩坏了的国家【第四集】,1257,711580,//i0.hdslb.com/bfs/archive/36beeab1172e958464b3a715db2cd4fef7770b70.jpg,58556321,BV1Sx411Z7Jb,1562720440,2019/7/10,9:0:40,09:44,4066,3267,12742,1062,27982
学生党误闯灯红酒绿的地方，当场吓到腿软！【第三集】,2472,1476456,//i1.hdslb.com/bfs/archive/5edd7f143ae2d4175d8dece4993ff4b30b5138f7.jpg,57944423,BV154411c7hS,1562320149,2019/7/5,17:49:9,08:19,12469,6278,9386,1195,52786
一个人旅行被小姐姐载着飙车 吓懵了【第二集】,429,278372,//i2.hdslb.com/bfs/archive/1ec87b2c92b51df480f92c00ac8cd08688fcd8eb.jpg,57649931,BV1Hx41197Es,1562202038,2019/7/4,9:0:38,16:38,2280,1336,5289,620,12743
被越南小姐姐撩到脸红了！学生党的毕业旅行【第一集】,1596,644949,//i1.hdslb.com/bfs/archive/56ba270fd724b0db9c14eeb37e5dff07f77397d6.jpg,57649844,BV1Hx41197GJ,1562098419,2019/7/3,4:13:39,10:02,8697,4859,11096,4081,25894
大三学生再次穿高中校服，被十几个小姐姐嘲笑!一个不自闭的vlog,738,449137,//i1.hdslb.com/bfs/archive/9b1b38874759016346afb6e9b8b3abe4bb2e92bd.jpg,54683498,BV1Y4411M7kT,1559789848,2019/6/6,10:57:28,04:55,2466,1289,3848,417,15661
小伙梦想当美食博主，用冰淇淋自制冰与火之锅！,554,146857,//i1.hdslb.com/bfs/archive/e74f9c633b62fcaed6f79cb3b18706863bb72504.jpg,54192694,BV1u4411p7n7,1559350854,2019/6/1,9:0:54,03:53,448,407,1624,324,7583
耿直小伙用一天一夜还原红烧牛肉封面，网友：真闲！,772,564675,//i2.hdslb.com/bfs/archive/6a0a689465114e53c670384a43634823edd8a659.jpg,53913773,BV1e4411W7oq,1559077448,2019/5/29,5:4:8,05:10,2039,2854,12796,620,32159
给王师傅看吴亦凡的发型，屌丝小伙能否逆袭？！,466,224364,//i2.hdslb.com/bfs/archive/4b710e988f5a659d1e6e63d109df5e7ee4174a05.jpg,53848165,BV154411W7bd,1559021344,2019/5/28,13:29:4,03:46,1149,613,2133,360,8702
羡慕你们 读过高三！我的青春 只剩下高考,2002,188341,//i1.hdslb.com/bfs/archive/107748a6528332a4d7f171f7a103b9c68d7c46f7.jpg,52974438,BV1d4411L7pD,1558262185,2019/5/19,18:36:25,05:31,1957,4617,16070,873,19688
史上评分最低的外卖，小伙吃到自闭！,1610,1475884,//i0.hdslb.com/bfs/archive/025886fbc5c357dafe2e20ac5fa78d3d24dcabb6.jpg,52739242,BV1Y4411773y,1558100993,2019/5/17,21:49:53,04:30,3388,4111,19366,685,56945
每月生活费仅800元 观众却喷我是富二代！大学期间怎么兼职去旅行？,2403,748808,//i2.hdslb.com/bfs/archive/256aee1328b3c27bf337a08c52133c0f66accf3b.jpg,52201551,BV1d4411h7Tp,1557611923,2019/5/12,5:58:43,04:51,2497,7281,16694,1189,39266
被店老板嘲讽，小伙怒买500元生蚝吃到爽,13291,483708,//i1.hdslb.com/bfs/archive/08fe8ace11bbc7b8991778ec865dacbe830065a4.jpg,51782942,BV1g4411v7cX,1557276633,2019/5/8,8:50:33,05:55,5750,2491,11458,660,24021
朋友和表姐看到我B站十万粉丝奖牌会发生什么？,15272,310942,//i1.hdslb.com/bfs/archive/d2fe94464a9b340da9c3128370f558ce848e8a05.png,51607411,BV124411i7dF,1557115095,2019/5/6,11:58:15,04:12,4928,2263,7048,6706,15287
