title,comment,play,pic,aid,bvid,created,date,time,length,video_review,favorite,coin,share,like
我们把豫章书院送上了法庭，却遇上新困境……,2794,164802,//i0.hdslb.com/bfs/archive/303837552bc82487e70c4cee74c3d1f1fe592160.jpg,455979160,BV1E5411W7tB,1591957807,2020/6/12,18:30:7,08:36,3967,18090,63570,3662,60760
【温柔】抢你孩子，抢你版权？十年前就开始了！,11388,994063,//i0.hdslb.com/bfs/archive/8f1cbeed38e783225b0fbbd80f9f3bd81c330a3b.jpg,838048631,BV1Hg4y167Tg,1588509586,2020/5/3,20:39:46,07:52,12311,31892,79445,8376,169279
豫章书院、心寒、人肉、恰烂钱——一些温柔的心里话。,11947,1026261,//i0.hdslb.com/bfs/archive/9491c11009be470dabd9815641abcc02ad90e2bf.jpg,795250343,BV1FC4y1x7oh,1587121222,2020/4/17,19:0:22,12:34,30336,47723,163546,5252,242109
【温柔】一封全是恋爱酸臭味的公开情书……,5123,391727,//i0.hdslb.com/bfs/archive/fdf5cb87fa6027bb1fc3c1e55c2d60050a3742f6.jpg,837704912,BV1ng4y187ZA,1586780713,2020/4/13,20:25:13,03:14,11060,19356,43586,3816,78778
新冠肺炎疫情中最致命的“双重标准”！我们能学到哪些教训？,3421,788463,//i1.hdslb.com/bfs/archive/e54f4f7369643695e8b2b0d474911cbc542d0ec3.jpg,90616562,BV1U7411w7r8,1582277503,2020/2/21,17:31:43,07:01,5360,13190,38366,5984,75122
日本疫情可能即将爆发，恳请所有留日的UP主和其他朋友，立即做好防护工作！,7730,1340068,//i2.hdslb.com/bfs/archive/38544a5cd05f0db525a712d874cd195fcf066ccb.jpg,90442259,BV197411c725,1582209559,2020/2/20,22:39:19,04:56,9751,11859,25557,17307,102968
【温柔】当有人无下限的抹黑，买水军网曝你，你该怎么办？,3581,284198,//i2.hdslb.com/bfs/archive/cddf7cd9b1e58cd3dcd09cf0d6e30ec7d83f9ce2.jpg,88806502,BV1n7411G7PH,1581618341,2020/2/14,2:25:41,12:47,4467,8428,29776,1034,52504
搜查十几天，我居然找到了疫情蔓延的原因！？,27609,9682317,//i1.hdslb.com/bfs/archive/6d2dce6a4825227a8f3ae86c2e3eb82c81b8815c.jpg,87676920,BV1X7411t7jL,1581222336,2020/2/9,12:25:36,10:08,46544,241705,632526,157694,872862
我为什么删除“浙武抗毒联盟”的视频？,4729,424044,//i2.hdslb.com/bfs/archive/e3b7aa2d02af349610d8fe6d891474fd7b433e4e.jpg,86294311,BV1q7411W72E,1580641804,2020/2/2,19:10:4,15:27,4850,8308,27587,1177,63265
进来告诉你，我们为什么会喜欢B站？,5889,617028,//i1.hdslb.com/bfs/archive/a1567001a298ee468f78074aaed99629302f371c.jpg,78818349,BV1ZJ411y7Dn,1576235416,2019/12/13,19:10:16,06:50,13676,28789,65130,4179,106729
来自世界的温柔！豫章书院创作激励的捐款实录。,10081,3551739,//i2.hdslb.com/bfs/archive/0cdbf1bb90d6c1c24b5a5a9b769fe9c964339ccb.jpg,77365043,BV1mJ411D7nj,1575025258,2019/11/29,19:0:58,07:55,27449,205236,1040257,14336,746785
有人冒充我的名字来骗钱，居然还骗到了！？豫章书院事件意想不到的风波……,13038,2738047,//i2.hdslb.com/bfs/archive/86842e24b454e96631f705f3bef17b11834a12f4.jpg,74638397,BV1sE411B7TM,1572945181,2019/11/5,17:13:1,04:59,31956,81984,355535,13244,402418
曝光豫章书院，我也收到了死亡威胁,37422,6901213,//i2.hdslb.com/bfs/archive/fd244b58cf7472802602d093e39b698f00c71360.jpg,74163306,BV11E4118797,1572609908,2019/11/1,20:5:8,13:25,99753,279257,1150236,148115,1024522
当事人告诉你豫章书院事件的完整始末！,64614,18580087,//i0.hdslb.com/bfs/archive/974d6874f4bcac76c7cf0e8b4dee7f2558af30ea.jpg,73836578,BV12E411h7A6,1572344909,2019/10/29,18:28:29,11:14,279605,806254,2910693,321094,2550395
因为曝光豫章书院，我朋友被逼到自杀。,70373,11871879,//i2.hdslb.com/bfs/archive/0c62940b1582a3a056d4fbea3ee3d2f0ddd3ab01.jpg,73372900,BV1hE41117S6,1572003174,2019/10/25,19:32:54,11:51,151897,710136,2628559,376562,2068090
高考考砸了，这不值得你去死。,1500,609625,//i0.hdslb.com/bfs/archive/90908a0fd5ebb9c261dae11b029ffd73cdc7cb82.jpg,56615375,BV1W4411g7oQ,1561301328,2019/6/23,22:48:48,04:45,1133,11013,26447,930,38288
