title,comment,play,pic,aid,bvid,created,date,time,length,video_review,favorite,coin,share,like
细读经典 96: 他杀了15个少女，只为一瓶绝世香水,1927,625480,//i1.hdslb.com/bfs/archive/272ed6ca8ca41e53ce0d51045b2ac6a2088c937e.jpg,200885593,BV1Fz411i7o9,1591793147,2020/6/10,20:45:47,30:30,8838,5247,14292,2533,28918
电影最TOP 150: 女人帅起来真就没男人什么事儿了，盘点影史十大女扮男装,1104,620345,//i1.hdslb.com/bfs/archive/cf51b6a3ef5013ba26b0009d7a6c90004ccd9d02.jpg,710953011,BV1HD4y1D79n,1591188351,2020/6/3,20:45:51,27:05,7109,3982,11780,971,25417
细读经典 95: 豆瓣9.1，一部让人全程窒息、脊梁发冷的《狩猎》,4062,1063871,//i2.hdslb.com/bfs/archive/6c246b661a3a6ed3c7a0560040345593b9d85508.jpg,925765900,BV1fT4y1u78u,1590583216,2020/5/27,20:40:16,30:18,10322,10219,23099,5782,40999
电影最TOP 149：一口气看完《加勒比海盗》系列1～5部,5351,2319951,//i0.hdslb.com/bfs/archive/b83bac4ddc21b45efd5e1f5700d50f2a7abde5ce.jpg,668166801,BV1ra4y1i7ZQ,1590064805,2020/5/21,20:40:5,94:33,39280,79369,232758,9554,204843
细读经典 94: 是爱情，更是时代，华语影史最动人的爱情片之一《甜蜜蜜》,1786,711534,//i2.hdslb.com/bfs/archive/e366defbfbb1d4eaceecfc8938fde43a98d852b4.jpg,370659531,BV1mZ4y1s7f5,1589374113,2020/5/13,20:48:33,32:13,11434,7487,24403,4572,33557
广告最TOP：跨圈“不务正业”的【银联影业】又来了！致敬每个稳住生活的中国人！,512,289460,//i0.hdslb.com/bfs/archive/0fd574d057d28cbc006826217acb2256b08598fe.jpg,200549922,BV1Mz411q7UX,1588939252,2020/5/8,20:0:52,03:17,451,1655,1844,1516,12895
电影最TOP 148: 盘点港片中的十大金牌配角,1884,1079808,//i0.hdslb.com/bfs/archive/fe4a911c1fb635d2f6adfbce886451df9a475794.jpg,455597531,BV1a541147Th,1588769107,2020/5/6,20:45:7,34:18,23946,11478,46604,2686,65635
细读经典 93：一个关于性、金钱与背叛的故事《社交网络》,1247,895203,//i2.hdslb.com/bfs/archive/8d17afe113009ede15a3f7af1baf927d136b327d.jpg,582931172,BV1g64y1M7zy,1588164316,2020/4/29,20:45:16,32:24,7679,6283,17952,1497,33433
好莱坞大厂众生相,494,331950,//i2.hdslb.com/bfs/archive/0fe15f64ca8d0639c83f6e2d7ac26a5f92820aa5.jpg,710381741,BV1xQ4y1T7dh,1587983309,2020/4/27,18:28:29,02:10,1171,683,1350,726,11179
电影最TOP 番外：盘一盘特朗普,2352,1026231,//i2.hdslb.com/bfs/archive/c9c9925b882a7778b05e153213df06abc12bdc30.jpg,497867913,BV19K411V7Cp,1587559226,2020/4/22,20:40:26,21:35,10659,10535,27789,11606,51772
细读经典 92: 不忍直视的残酷人性物语《楢山节考》,2482,714458,//i1.hdslb.com/bfs/archive/03aa989a31550f5dbcc3960cb4afaf8a4271b1ad.jpg,497766763,BV1KK411j7Hd,1586954737,2020/4/15,20:45:37,27:45,10353,11033,42407,6466,44476
电影最TOP 147：造梦的大师——费里尼（生涯独家全盘点）,1017,617417,//i0.hdslb.com/bfs/archive/32b1bea7019fecac5ddb5a2c670707cbabf87b74.jpg,795229277,BV19C4y1s7k1,1586349604,2020/4/8,20:40:4,42:40,6884,6724,24245,858,32094
细读经典 91: 近20年最好的中国电影《我不是药神》,5360,1174653,//i2.hdslb.com/bfs/archive/6e06591820cbb0c72ab646c64efd8a17e48959e5.jpg,752522982,BV1Sk4y1d7Eu,1585744824,2020/4/1,20:40:24,35:21,15413,14126,45727,4338,62895
电影最TOP 146: 前方高能！盘点最经典的韩国恐怖片,4038,1153322,//i2.hdslb.com/bfs/archive/bb2899a598a16dc4e9387892411cc0068cc85389.jpg,98907725,BV17741127DF,1585140019,2020/3/25,20:40:19,30:57,31868,6748,19033,10599,33836
细读经典 90: 伟大的人性史诗《钢琴家》,1419,689133,//i0.hdslb.com/bfs/archive/2c5c4c990e774ffeacef5ffa1a61792101ad2688.jpg,97310615,BV1P7411R7Wm,1584536455,2020/3/18,21:0:55,30:48,6465,6024,20238,2316,29911
电影最TOP 145: 盘点“最好”与“最雷”的游戏改编电影,2229,1129056,//i0.hdslb.com/bfs/archive/d2eb7983491496ae8c3895a640eeefe085aefb56.jpg,95429003,BV1uE411L7mr,1583932647,2020/3/11,21:17:27,32:49,20309,5562,17632,1446,35874
细读经典 89: 男主死去活来N次的硬核烧脑片《源代码》,1648,886756,//i0.hdslb.com/bfs/archive/90781a549a617fd54634fd79ee7be41ed2a96c11.jpg,93612769,BV1tE411s7XF,1583325905,2020/3/4,20:45:5,22:35,6229,5032,16465,1947,31098
细读经典 88：荷尔蒙爆棚的热血励志佳作《勇士》,1303,659625,//i1.hdslb.com/bfs/archive/f0abfdc27439ced1d1aeed5b231fb0c211952048.jpg,91835246,BV137411K7Vo,1582720814,2020/2/26,20:40:14,28:12,6491,4916,15648,2043,24523
细读经典 87: 豆瓣9.0，他就是奥斯卡的最强大脑,1030,1134699,//i0.hdslb.com/bfs/archive/9dfc2f4c3152bf1d9e9c5d5c0c8ce9bd2a1c1071.jpg,90085621,BV137411j714,1582116008,2020/2/19,20:40:8,25:23,6915,6776,17452,2866,31895
细读经典 86: 最好的中国电影之一，姜文惊世骇俗的导演处女作《阳光灿烂的日子》,1828,1000447,//i1.hdslb.com/bfs/archive/ed067042b956a39fe868dbad0cbb70f614fa5b64.jpg,88420353,BV1A7411V72q,1581511225,2020/2/12,20:40:25,31:36,8701,8302,21188,4473,34778
电影最TOP：千百年来人类与流行病的血泪斗争史,1442,839460,//i2.hdslb.com/bfs/archive/17986a9e189fb48a30bcfdfd1573a77d75b6687b.jpg,86903557,BV1p7411H7mw,1580905848,2020/2/5,20:30:48,06:52,3727,4979,17063,4976,33047
电影最TOP 144: 2019年度十大“未引进”佳片盘点,1789,1125249,//i0.hdslb.com/bfs/archive/7eab7071b38cac752c75fcbcee78725f6c4fee5d.jpg,84551927,BV1h7411e7jb,1579696846,2020/1/22,20:40:46,52:39,14869,8156,22909,3340,32387
电影最TOP 143: 2019年度十大院线引进佳片盘点,1424,1124573,//i1.hdslb.com/bfs/archive/049c8986930e3aa28b0c40c7e1038fd7905319f7.jpg,83506596,BV1zJ411J77B,1579091731,2020/1/15,20:35:31,50:04,13745,6975,21417,2717,29810
电影最TOP：这部奥斯卡6项提名的大热之作到底什么来头？,841,553086,//i0.hdslb.com/bfs/archive/4244fb61faecc48a92fbe9d2b1acedf2e8aa5ff8.jpg,83375366,BV1fJ411E7HW,1579004132,2020/1/14,20:15:32,05:25,1538,1938,3407,1642,13522
电影最TOP 142: 2019年度十大国产烂片盘点,3763,2235704,//i0.hdslb.com/bfs/archive/0dd736cf25046d7bf0c463d15a2bcf452be9c2a6.jpg,82547740,BV1yJ41157JV,1578485422,2020/1/8,20:10:22,47:32,77527,33803,148381,8939,129785
电影最TOP 141: 2019年度十大国产佳片盘点,4832,1852801,//i2.hdslb.com/bfs/archive/59333717c44bb47376621b35a809a5c6bc98f6c1.jpg,81490129,BV1zJ411h7hK,1577882414,2020/1/1,20:40:14,42:35,29086,15416,38597,5485,53581
"电影最TOP 140: 在BGM里天下无敌的男人,《黄飞鸿》系列独家盘点",1817,1113653,//i2.hdslb.com/bfs/archive/33c90cd5fdc37b39e1479a8c9ce64198533a4b11.jpg,80608410,BV1sJ411W71e,1577277925,2019/12/25,20:45:25,43:47,20505,8877,29921,1995,37909
细读经典 85: 中国最好的黑色犯罪公路片《无人区》,1296,973798,//i0.hdslb.com/bfs/archive/9794ab1314472ec5e6178151d89498629206ceb5.jpg,79704295,BV1AJ411t7KG,1576672828,2019/12/18,20:40:28,24:51,5879,6546,21652,1941,32330
电影最TOP 139: 改变世界的“禁酒令”,1349,977139,//i0.hdslb.com/bfs/archive/c0594f03396830f6028d79d37498f184e7245e03.jpg,78850440,BV1MJ41117Re,1576068332,2019/12/11,20:45:32,26:01,7082,6294,18045,1741,27082
细读经典 84: 一个极品渣男的自我剖析，伍迪•艾伦最具喜感的电影《解构爱情狂》,640,753078,//i0.hdslb.com/bfs/archive/6cd0cc7747c98efa5cd308bc62818ce5a487cc63.jpg,77944847,BV1zJ411q73m,1575463531,2019/12/4,20:45:31,24:13,3620,4002,8427,1062,16600
电影最TOP：城市里的青春热血，由你做主！,378,395001,//i2.hdslb.com/bfs/archive/0e1aeff278e27dc09e083338e1c4846369c0fbea.jpg,77247402,BV1PJ41197CV,1574938848,2019/11/28,19:0:48,03:06,512,644,1881,182,7392
电影最TOP 138: 独家盘点好莱坞的天才笑匠金•凯瑞,1254,1224122,//i0.hdslb.com/bfs/archive/0c85ba258d38bcf6545da766ba65d67df3a903a5.jpg,77209143,BV1DJ411X7v1,1574858713,2019/11/27,20:45:13,56:03,13270,13002,34254,2573,41757
细读经典 83: 最后一刻反转的悬疑烧脑神作《致命ID》,1360,1122640,//i1.hdslb.com/bfs/archive/90a73b1aea931775ed802a983701119eb643a1c5.jpg,76364442,BV1DJ41117gu,1574253624,2019/11/20,20:40:24,28:51,6680,6513,16872,3713,27719
电影最TOP 137:盘点十大激情飙车戏，带你疯狂带你飞,1144,708852,//i0.hdslb.com/bfs/archive/432d3ec2c281494e930a6ef0616799651a267247.jpg,75549246,BV1YJ411S7CD,1573656304,2019/11/13,22:45:4,35:34,8216,3109,9385,827,15948
细读经典 82: 女人狠起来真没男人什么事儿，最惊悚”爱情片“《消失的爱人》,1696,925017,//i1.hdslb.com/bfs/archive/cd20c8d6a9a932895ab10425fb800d64f6dbfa39.jpg,74730759,BV1gE411i7hj,1573044026,2019/11/6,20:40:26,33:54,7480,5259,14765,5262,23196
电影最TOP 136：当今影坛独一无二的鬼才导演昆汀•塔伦蒂诺,2452,1080997,//i1.hdslb.com/bfs/archive/277a505fddab70901bbe628da5f9907ecf076f63.jpg,73930779,BV1eE411b73h,1572439504,2019/10/30,20:45:4,52:32,11739,11421,32129,3575,34190
电影最TOP：群战燃向混剪，“为了自由和荣耀，我们将奋战到底！”,330,304052,//i2.hdslb.com/bfs/archive/54aa2f070b323ea839a3d00c17c15df775b540f5.jpg,73500451,BV1yE411a7iK,1572094858,2019/10/26,21:0:58,02:54,541,632,1249,207,5986
小怪兽：平遥电影节可没有我想象得那么简单呢！,392,242297,//i0.hdslb.com/bfs/archive/556ec8262d318c0ce93633502d23b19a17419712.jpg,73339522,BV1HE41117YB,1571985022,2019/10/25,14:30:22,09:57,817,481,1195,186,5519
细读经典 81: 有钱人的生活是彩色的耶！最好玩的华语电影《大佛普拉斯》,1137,919801,//i2.hdslb.com/bfs/archive/2e209d52b9bef02b2eca01786355e488e7b75b6f.jpg,73134740,BV1SE411272R,1571834433,2019/10/23,20:40:33,27:15,6138,6479,18879,3940,24378
从天之骄子到英年早逝，周瑜的一生都经历了什么？,841,295758,//i2.hdslb.com/bfs/archive/bcb1135b22980049fb38ae8e98de623a698c694f.jpg,73023770,BV1LE41127Qk,1571726083,2019/10/22,14:34:43,02:43,489,613,1044,230,5449
这位福布斯榜上的女装设计师只想拍电影【专访】《蕃薯浇米》导演叶谦,217,163351,//i2.hdslb.com/bfs/archive/4af1cf3791f5c471ca4a18da31921dedc865348d.jpg,71767313,BV16E411k7HP,1571641502,2019/10/21,15:5:2,17:24,178,1135,564,334,4179
电影最TOP 135: 纪录片也可以很精彩，十部让你一次看个够！！,1552,980746,//i0.hdslb.com/bfs/archive/ea213b2aaa765086fc419c623a72832a621998da.jpg,71417523,BV1aE411C7dY,1571229941,2019/10/16,20:45:41,44:37,12611,16763,20261,2774,26620
