title,comment,play,pic,aid,bvid,created,date,time,length,video_review,favorite,coin,share,like
幼儿园转行卖烧烤，服务员都是老师，顾客秒变乖？,1421,713983,//i0.hdslb.com/bfs/archive/d1dbde649c1179fd73ca25f420031d23017b406f.jpg,583461088,BV1yz4y197DR,1591965022,2020/6/12,20:30:22,08:34,3872,4284,17881,2926,58882
丧尽天良！弟弟吃10斤羊蝎子，哥哥只能吃豆腐？【深夜饿人】,1459,951121,//i1.hdslb.com/bfs/archive/b5f27e6893e12157e65f9690ef8d1ead0db8c34f.jpg,838395327,BV1ig4y1i77z,1591790410,2020/6/10,20:0:10,10:14,8757,6520,18343,2831,65779
发誓最后一次女装了,1957,766514,//i1.hdslb.com/bfs/archive/c547adf7f6331c75564bbb93af0d668986ef98a1.jpg,710876655,BV1eQ4y1P7bs,1591532655,2020/6/7,20:24:15,09:32,8338,3853,18801,1811,64050
【天津街头】你大爷还是你大爷,3591,1073486,//i1.hdslb.com/bfs/archive/5b69065c73e41db072348ba09d02332bb641ed08.jpg,710995777,BV1eD4y1D7Zm,1591102793,2020/6/2,20:59:53,32:20,25536,23385,109153,8656,114267
在天津街头吃面，被环卫大爷的歌声碾压了！,3355,1496007,//i2.hdslb.com/bfs/archive/d618a83f49ae1738389464e5fbbdde6f190816a6.jpg,753293150,BV1mk4y167iW,1590753955,2020/5/29,20:5:55,08:43,10576,21688,93858,8688,150312
天津人均说相声？早餐3块5，进店还得爬窗户？,4930,1986385,//i1.hdslb.com/bfs/archive/b90a4c1b28276233d5cdf3306c2dad2ac52b43eb.jpg,455865436,BV155411x7GL,1590491021,2020/5/26,19:3:41,10:21,18073,14264,52842,13023,141755
天津大爷: 钱算嘛? 有钱就得吃腰子！,3065,1879097,//i2.hdslb.com/bfs/archive/dcdba570f4cd719fde7e66c903a45a3eb8ed66a4.jpg,795794633,BV1LC4y1p7LY,1590148853,2020/5/22,20:0:53,09:22,11803,12021,56809,9984,151181
我们是被一手包装策划出来的？都是“演员”？【我的澄清】,5128,719437,//i2.hdslb.com/bfs/archive/3abf6064827737912bee58747c0774f646f94a31.jpg,540827955,BV1pi4y1s7og,1590142563,2020/5/22,18:16:3,03:53,6657,4050,25221,706,70017
男子用2坛女儿红炖东坡肉：姑娘们，我自雷了！【深夜饿人】,3624,1647107,//i0.hdslb.com/bfs/archive/5ab734ae5eeb86cc25f88655fa481430546c3940.jpg,200507131,BV1sz411z7Qb,1588937436,2020/5/8,19:30:36,14:00,22747,22745,109365,6068,142703
【羞耻级】我被网友挑战了？输了就在小区跳性感女团舞！,1866,967897,//i1.hdslb.com/bfs/archive/ed00fdb73e47d0b23958133c3784e4c2f0c6e3e0.jpg,883025993,BV12K4y1b7as,1588672803,2020/5/5,18:0:3,09:17,14204,5463,25497,3107,115248
