title,comment,play,pic,aid,bvid,created,date,time,length,video_review,favorite,coin,share,like
光影炸裂！7分钟告诉你光追和DLSS2.0同时启动有多香,2190,666747,//i0.hdslb.com/bfs/archive/590530860c1db56a3bfba5288af5ae7471b4942e.jpg,710451695,BV1KQ4y1N7S9,1588223117,2020/4/30,13:5:17,06:48,2241,5995,5680,1725,43232
游戏史上压迫感最强的那些BOSS 传说中的盗版限定怪！,1691,975376,//i2.hdslb.com/bfs/archive/dd9b21a3e72a27f982b865b4ba4c7669c33f26e0.jpg,752959805,BV1mk4y1r7cP,1587584988,2020/4/23,3:49:48,07:13,3383,10856,21868,975,84533
LOL暗星反派盘点 把星球当甜食的家伙们,1167,328827,//i0.hdslb.com/bfs/archive/d24e4767e64aacf7b1c221d21e2caca7d8989a19.jpg,795150100,BV1hC4y1s7x2,1586340045,2020/4/8,18:0:45,06:24,1223,2056,2730,334,25144
猛男森友会！9分钟告诉你动森为何如此迷人？,5477,1741147,//i0.hdslb.com/bfs/archive/e89151f8520da21f934046d85275559d4d4cfa28.jpg,925076735,BV1bT4y1575M,1585349982,2020/3/28,6:59:42,09:21,8459,49065,86924,45997,144814
打造一台能玩世界80%游戏的万能游戏手机！,3117,1101920,//i1.hdslb.com/bfs/archive/a850aa8a699d69e1fb7ddb5d79d724a309f5bb96.jpg,95637580,BV1PE411j7K3,1584021616,2020/3/12,22:0:16,10:36,4636,14941,13001,2673,63460
《如龙7》真香！极道勇者的人生RPG,1705,951555,//i0.hdslb.com/bfs/archive/8aad8f797f75fb24cceb4386b1f621a8edbb5a42.jpg,88931401,BV1K7411g7ph,1581681649,2020/2/14,20:0:49,12:36,2794,9346,14172,3613,49806
5分钟回顾 童年GBA神作《龙珠大冒险》,1344,551525,//i0.hdslb.com/bfs/archive/61a95d512abe5586fa0d55d598bedcd765d5b846.jpg,85995418,BV127411s7rV,1580482487,2020/1/31,22:54:47,04:42,1516,3962,8451,667,35455
游戏史上最洗脑的4个广告 精神污染1000万玩家,3737,3262332,//i2.hdslb.com/bfs/archive/579065cfad576c8623aeb58cb50bf880b8ff9ceb.jpg,85859818,BV1h7411B7iX,1580434133,2020/1/31,9:28:53,10:18,25849,40450,54942,7264,209498
《晚安，科比》——谨以此片缅怀我永远热爱的,1902,936237,//i1.hdslb.com/bfs/archive/e67d228ca9d958d3ecb0a684eb1c83db267ed67d.jpg,85364799,BV1W7411r7Nd,1580178218,2020/1/28,10:23:38,06:10,4380,29289,49350,4046,78071
童年最变态游戏关 10年前劝退无数玩家的噩梦！,1579,933372,//i0.hdslb.com/bfs/archive/023cb256c0c120ce440d29ba78728ddc80310435.jpg,84870161,BV1t7411Y7yS,1579868832,2020/1/24,20:27:12,06:39,4456,6137,11208,396,50574
