title,comment,play,pic,aid,bvid,created,date,time,length,video_review,favorite,coin,share,like
花3500块点龙吟外卖，计程车钱还要自己掏？吃完女子反应太真实了。。,518,14581,//i2.hdslb.com/bfs/archive/dcded48b216bc3be39a7d90b3d63e2ab57678383.jpg,201029345,BV1yz411i7qm,1592216049,2020/6/15,18:14:9,13:33,732,210,325,31,2933
我的心像石头。,6354,956094,//i1.hdslb.com/bfs/archive/373978bfacc7cb1828dbf30b57924c0ed0a24f44.jpg,926085063,BV1bT4y1J75Z,1592039761,2020/6/13,17:16:1,09:37,29880,10236,25245,3650,141095
日本妹子说不要的真相是什么？ 困扰很久的问题终于。。。,4679,1476384,//i1.hdslb.com/bfs/archive/a42903f39a80af2d349a3c1b3968ec78f8f2fa55.jpg,285950153,BV1Xf4y1276s,1591354388,2020/6/5,18:53:8,06:54,19382,19466,71298,3030,186862
网友和日本小姐姐约好去家里面基，一开门却呆住了。。。,3611,1663039,//i2.hdslb.com/bfs/archive/b03072c2ffbbc95c8f6a56c1a1c670e0394dafce.jpg,455824314,BV1w5411x7Y7,1590661263,2020/5/28,18:21:3,07:20,17086,9987,19691,5379,141851
花1000元买日本天价外卖值不值？一开门四大箱女子惊呆了。。。,4706,1901164,//i0.hdslb.com/bfs/archive/b028214e048c8d104062a2613a1a510bb9fa62d0.jpg,540804257,BV1si4y1s7Z4,1590404450,2020/5/25,19:0:50,10:22,35357,13914,42486,3266,186438
为什么日本妹子日常不安？可能你也。。。,4654,1156176,//i2.hdslb.com/bfs/archive/dc27f79f4873f79d51036cab2056297a45ead353.jpg,540767702,BV11i4y147uX,1590055230,2020/5/21,18:0:30,07:54,26794,8442,20712,2136,125926
你...你馋什么？？？一女子收到私信后作出这样的反应.....,5384,1717680,//i2.hdslb.com/bfs/archive/ab6c56bc86410650668f12d2f6cd3bfe07ad7d95.jpg,968193344,BV1ap4y1Q7jL,1589796036,2020/5/18,18:0:36,10:10,34836,12150,26947,1720,170245
为什么日本妹子不管做什么都喜欢很多人一起？,5305,1368324,//i1.hdslb.com/bfs/archive/8d6b36c78cd7a125a5444ce351c08fc30a49d084.jpg,710500019,BV1uQ4y1N76K,1589185840,2020/5/11,16:30:40,06:03,24629,16767,58588,2375,192591
纳豆奶奶教你做正宗日式广告,4354,1489457,//i2.hdslb.com/bfs/archive/72c0807b7b839e6dc2be27870cdbfd510b9fe95b.jpg,583059471,BV1pz4y1R7xg,1588511677,2020/5/3,21:14:37,08:15,24313,13831,35491,4102,178291
为什么日本这么多女装大佬？是因为变态吗…,6155,1461276,//i1.hdslb.com/bfs/archive/325be7682961e5eb02cdec7c9122dc3d4cc63d47.jpg,242920401,BV16e411s7Us,1588241209,2020/4/30,18:6:49,07:49,40051,22312,76810,2179,218570
实锤纳豆奶奶？我就不该在b站搜自己.......,8460,4711120,//i2.hdslb.com/bfs/archive/54bbe35c5a3eee716a2595c622afe48ae3891550.jpg,667947553,BV11a4y1v7Dj,1587805224,2020/4/25,17:0:24,06:32,56696,79395,249303,4575,700115
为什么日本妹子喜欢胖子？做人不要太势利了 ...,7288,2550617,//i2.hdslb.com/bfs/archive/8384fd2f7dc4a9e6f08f8175555c2895eb87f428.jpg,497772661,BV1KK411j79m,1587464501,2020/4/21,18:21:41,06:52,42022,26299,119555,6663,301985
我在某约会软件上发现了纳豆奶奶？？,9365,3819435,//i1.hdslb.com/bfs/archive/8168da801d63e53c8ab275e8da284d394c52e555.jpg,285372563,BV17f4y1S7kC,1586946651,2020/4/15,18:30:51,10:07,107130,30874,56694,6116,389792
为什么日本辣妹灭绝了？原来她们都去从事那个行业了....,7288,2974097,//i2.hdslb.com/bfs/archive/12210d8f07d671aa4a8110f6f8b66127d1d743ba.jpg,625169009,BV1nt4y1U7b4,1586417358,2020/4/9,15:29:18,07:39,39016,32961,108229,3311,342458
