title,comment,play,pic,aid,bvid,created,date,time,length,video_review,favorite,coin,share,like
4斤重的烤羊腿！没见过世面的姐姐直接抱着啃...,4966,3530941,//i1.hdslb.com/bfs/archive/160a0780c3d73cd74c9cb5f3eb5daf33f32a5e7d.jpg,243411201,BV1Pv41167FE,1591515137,2020/6/7,15:32:17,4:54,8462,41963,192620,10608,502844
为了还原$88一份的肠粉件，炸油条失败了无数遍，做粉皮全靠买课件...,4421,2988092,//i2.hdslb.com/bfs/archive/a294d33520dba34abebbb36ad6838c481ea2f890.jpg,753342906,BV1Gk4y1r7bk,1590844061,2020/5/30,21:07:41,6:18,13344,32093,146340,7735,273625
买2只鸡炖一锅汤，金黄浓郁直发光,4541,3863389,//i2.hdslb.com/bfs/archive/f3efdd0391bca03d9e6f87f67dfd4f703b56d39d.jpg,838366407,BV14g4y1i76z,1590206435,2020/5/23,12:00:35,5:10,15279,42478,230942,11862,356699
买一整只乳猪回家烤，烤到手腕酸得动不了,7004,5006578,//i1.hdslb.com/bfs/archive/532d6b89cb1103ea88bc33d57223f87c9bb9475d.jpg,753140459,BV13k4y1678g,1589286570,2020/5/12,20:29:30,6:27,19242,53186,300507,18880,448638
花2天炖8块肉，进来感受下什么叫放纵！,5639,3855708,//i2.hdslb.com/bfs/archive/a592676f4fff6272cf0b9e1a0c1b036354f9afd7.jpg,710591467,BV1zQ4y1N7Bm,1588944897,2020/5/8,21:34:57,4:47,15909,48535,280516,13367,399552
据说买6块钱黄豆能做30包辣片，我做了3天，结果...,5536,4734749,//i2.hdslb.com/bfs/archive/b8b856458c803093b9ba8688f2df19b9fbd6bfcc.jpg,667920966,BV1Ya4y147T6,1588238249,2020/4/30,17:17:29,5:56,19750,52139,321652,11713,457817
被BBC称作“完美”的炸鱼薯条，这做法想都不敢想。。。,4911,4739019,//i0.hdslb.com/bfs/archive/815d809810295e1645270ecec60fbdde34061e6c.jpg,327911480,BV1NA41187oc,1587809359,2020/4/25,18:09:19,5:16,20855,49685,217242,12143,356590
一斤牛肉一碗面，嗦完差点泪流满面。。。,6549,4887406,//i0.hdslb.com/bfs/archive/1f06c852123eb9edf25575db4160322db9df4a42.jpg,200292774,BV18z411B7Yc,1587126232,2020/4/17,20:23:52,5:30,21420,60281,333721,13924,435313
买20块钱玫瑰，居然能做这么多宫廷糕点，就是累skr人。。。,6209,4264791,//i1.hdslb.com/bfs/archive/de1f3a989080c5b46ad6e782e8dbc0fd2a1f1611.jpg,752648729,BV1mk4y197a9,1586518251,2020/4/10,19:30:51,5:29,15487,75066,398565,13298,496391
卖398一份的米其林招牌菜，自己在家做得花多少钱,7901,4232735,//i1.hdslb.com/bfs/archive/3f38cc9e88a8d85ecf5661b24886a246c317f772.jpg,967567282,BV1Bp4y117LU,1585659407,2020/3/31,20:56:47,6:47,21816,78731,481415,16241,490852
一女子宅家研习竹升压面，拉伤大腿韧带导致行动不便,9137,5324409,//i2.hdslb.com/bfs/archive/0d91459dd4dcc409d2f0d74d170d0e82043043bd.jpg,97914410,BV1rE411A7Gc,1584702334,2020/3/20,19:05:34,6:45,26583,57514,310665,22435,441256
宅家1个多月无事可干，煮一大盆咖喱鱼蛋，2口一串…爽,4821,3790427,//i2.hdslb.com/bfs/archive/b3ccb03c95cf4e2cd1a70d8fba978d562e306200.jpg,94883449,BV1bE411u7VZ,1583751634,2020/3/9,19:00:34,4:52,18511,42154,198684,14664,331062
这就是史上最棒的炸鸡！如果不是，我倒想试试你的,8443,10527304,//i1.hdslb.com/bfs/archive/57eb1ce42959938347ac1aec0e5b09e610e94336.jpg,94180858,BV13E411p7pu,1583491779,2020/3/6,18:49:39,4:48,26258,217839,414448,97509,743386
龙吟草莓的妹妹：羊 啸 草 莓,32277,5788300,//i2.hdslb.com/bfs/archive/948d5e77e59c4600f678665c737ee12ac9cd088a.jpg,92674262,BV1SE411J7qV,1582978252,2020/2/29,20:10:52,5:48,117546,75508,277242,31560,428319
为了拍视频，美食up在日本狂吃一整天，工伤长胖不敢上称,2440,3094382,//i1.hdslb.com/bfs/archive/d51b1beb9f41e3a10adc5c7297b0697487f90abc.jpg,90629382,BV1k7411w7jx,1582283958,2020/2/21,19:19:18,5:23,8222,20884,144916,8230,211769
长沙妹子在家自制茶颜悦色，网上公布的奶茶配方是真的吗？,3771,3652248,//i0.hdslb.com/bfs/archive/38050960b057e9e41662118849990b73d6ea7bcc.jpg,88912747,BV1G7411g7WC,1581672850,2020/2/14,17:34:10,4:11,8746,61102,145105,46481,221697
宅家7天，试做失传100多年的宫廷菜，把肉塞进豆芽里！,4888,5375279,//i0.hdslb.com/bfs/archive/78f5ed6cf28e47928f9d576cb7bbd59e9b872e1b.jpg,86915106,BV147411H7VT,1580898653,2020/2/5,18:30:53,4:34,15142,64496,508866,23159,512510
一只上过国宴的鸡，酸辣重口，不愧为湘菜之首！拿起鸡腿大口啃，好好过个家香年,2999,4215664,//i1.hdslb.com/bfs/archive/f91e176fe5b732fdfd3599bec6a9798507dfdd98.jpg,84624712,BV1C7411e7Qa,1579777249,2020/1/23,19:00:49,5:08,15854,56085,214932,16827,284941
1个大油饼，包8个烧麦，一口气吃完鼻尖冒汗，浑身舒坦,2774,3264971,//i0.hdslb.com/bfs/archive/b1374d75686baa4994d9aa3fd2f5de20306e36e2.jpg,83359612,BV1sJ411H7y7,1578999639,2020/1/14,19:00:39,5:37,10153,36931,172145,11776,232561
湖南妹子在家自制手工米粉，一碗粉半斤肉，一口气嗦完，爽！,7501,2913280,//i0.hdslb.com/bfs/archive/b0c486d2ecc5b1b2ee0ef54ea9633cab4c020097.jpg,82313557,BV1YJ411V7jd,1578311112,2020/1/6,19:45:12,5:47,15103,61023,272518,15595,260362
湖南妹子在日本挑战最辣拉面，被当地学生偷拍,3530,5098088,//i1.hdslb.com/bfs/archive/7c2e7e55fed148d5311cce25f730752733c96cbb.jpg,80873007,BV1wJ411e7c4,1577447637,2019/12/27,19:53:57,4:54,16444,43185,233183,9929,334853
