title,comment,play,pic,aid,bvid,created,date,time,length,video_review,favorite,coin,share,like
对于此次事件，我有一些话想说,40778,3813848,//i0.hdslb.com/bfs/archive/9662115972648eb4db4e7fbb52404c17718abbaf.jpg,838322433,BV19g4y1B7ZE,1590418082,2020/5/25,22:48:2,10:38,37781,47758,211846,8995,355942
翔翔大作战这个账号可能要和大家说再见了,69268,5322033,//i2.hdslb.com/bfs/archive/107dba8b8952ba9acdbd50d8d1e421a22f0da708.jpg,540657877,BV1gi4y147RP,1589988427,2020/5/20,23:27:7,01:29,24421,28540,106594,15402,343522
尝试制作一个超大薯片,4443,3090629,//i2.hdslb.com/bfs/archive/4615458f62b4d4c9b8d2c971599116bda1a8bb3d.jpg,668192708,BV1Sa4y1i7wi,1589970025,2020/5/20,18:20:25,04:01,12273,7617,19056,1984,139563
抖音上那些商家揭秘的烤肉蘸料靠谱吗，小伙烤了一大盘牛肉测试,4302,3502601,//i2.hdslb.com/bfs/archive/bb4dab2cd0c5626edc8ad613fa8a8e8567f77989.jpg,795708609,BV1fC4y1H7xq,1589710355,2020/5/17,18:12:35,07:19,18389,13575,29075,2769,195534
尝试十斤番茄能做出多少番茄酱,5113,2268606,//i0.hdslb.com/bfs/archive/80e642e01d92e420f0694affb919988f39962bcf.jpg,540652535,BV1ni4y147jb,1589537782,2020/5/15,18:16:22,07:03,20600,5343,16337,1482,127624
98买了一整颗可食用芦荟，尝试制作印度街头饮料，真的能解暑吗,6243,3382904,//i1.hdslb.com/bfs/archive/6d6a9a0f7358185c5f4ad21f69d5548b4846c6f1.jpg,370503705,BV1FZ4y1s71C,1588845906,2020/5/7,18:5:6,08:38,34722,6229,17267,2191,151966
高压锅压生蚝这么火，还需要去店里吃？简单3分钟在家就可以搞定,8305,3358420,//i0.hdslb.com/bfs/archive/a1fe7ff4425f1e739d8b66303ef9b2a23f7a7a5c.jpg,753079785,BV1Yk4y1k7kj,1588498230,2020/5/3,17:30:30,08:05,34190,10252,37140,5008,195468
做了一个很奇怪的梦，尝试用视频把它拍出来,5134,1793429,//i1.hdslb.com/bfs/archive/b7d6132c50a4396ca973f7836e41c60aa817a2f6.jpg,285387724,BV1hf4y1S7kB,1588325428,2020/5/1,17:30:28,06:23,19653,6288,13451,1139,104863
尝试复刻肯德基原味鸡,5431,2998182,//i2.hdslb.com/bfs/archive/36bfd9ba8d3c97b74e12aab3411bb5a5c1bf41ef.jpg,882935756,BV1bK4y1b7f8,1587987919,2020/4/27,19:45:19,04:37,10495,6748,16192,2261,139433
尝试制作一个超大的虾片,6515,2747798,//i0.hdslb.com/bfs/archive/6f2e6d5c6563513d7ee08c930b5c2cb5c4ce1895.jpg,497969219,BV1xK41157b1,1587811368,2020/4/25,18:42:48,09:33,35621,10628,43704,3033,178028
