title,comment,play,pic,aid,bvid,created,date,time,length,video_review,favorite,coin,share,like
【何同学】我用一万行备忘录做了个动画...,15320,5062973,//i2.hdslb.com/bfs/archive/d8713881cbcafb0d7efc965bafe750fb644bb020.jpg,540601597,BV1Xi4y1x7eM,1588766418,2020/5/6,20:0:18,05:04,32006,182586,612010,48779,781781
【何同学4K】3299真香？iPhone SE使用体验,16319,3798066,//i2.hdslb.com/bfs/archive/a5f5b0e96513726d75c743953b08d03b1ea9bac0.jpg,412909688,BV1wV411d7Dc,1587561038,2020/4/22,21:10:38,05:25,23990,65000,256114,30638,478959
【何同学】一只鸽子的自白,23537,5300285,//i2.hdslb.com/bfs/archive/67b9aed25aa4cee68240ac7fcee5e493ef870c96.jpg,882566744,BV1YK4y1C7CU,1585658950,2020/3/31,20:49:10,07:51,94287,219007,888710,37288,961718
【何同学】二十万元的电脑是什么样子的？苹果Mac Pro深度体验,17739,7119005,//i1.hdslb.com/bfs/archive/5e18e772a4383abe3f0762f2f07083d1d8789ca4.jpg,92699533,BV1mE411J7xb,1582976753,2020/2/29,19:45:53,08:12,56052,184285,688376,85930,832986
【何同学】给三年前自己的一封信,13747,4185646,//i1.hdslb.com/bfs/archive/2df73ea4aeac4cf65dd0e53dad44ea0ede0bd6e9.jpg,81516881,BV12J411h7JM,1577807428,2019/12/31,23:50:28,34:42,66216,157461,562128,47983,532479
【何同学】脆弱的美好 折叠屏手机深度体验,10016,5512915,//i1.hdslb.com/bfs/archive/ccee7a5441a1a3fefca9011c558034847f60f04c.jpg,79091085,BV1aJ411C7tb,1576236622,2019/12/13,19:30:22,07:47,26883,147135,589757,38224,674124
【何同学】我就扫个码 更好的手机相机有什么意义？ 苹果iPhone 11系列深度体验,13128,6007879,//i1.hdslb.com/bfs/archive/56fff3e080722834116cd49a1a2ed656e7d453dd.jpg,74166406,BV1mE41187WT,1572610607,2019/11/1,20:16:47,08:36,38786,189350,698617,51210,671058
【何同学】挺稳的 华为Mate 30 Pro深度体验,33029,5559864,//i1.hdslb.com/bfs/archive/b5bb00f47372bc4c10dad878dba8a060daefcbb3.jpg,69358135,BV1nE411R7CS,1569731064,2019/9/29,12:24:24,09:11,59108,109098,411624,84309,463202
【何同学】一看就懂！用水讲明白为什么5G更快,13269,5345657,//i2.hdslb.com/bfs/archive/0859d3d0db80f7000195efdc620ec93ff3972fdf.jpg,66210564,BV1T4411m7R7,1567268018,2019/9/1,0:13:38,07:24,39290,227250,777538,50981,743972
【何同学】涨粉百万后，我的生活有什么变化？,14193,7711391,//i1.hdslb.com/bfs/archive/047b91756df56f23e0fe5caf225a37c6451d48f6.jpg,60043361,BV1ht411E7MQ,1563635779,2019/7/20,23:16:19,09:12,51103,126492,454333,27619,583381
【何同学】有多快？5G在日常使用中的真实体验,56472,20809549,//i2.hdslb.com/bfs/archive/14945c3f6893e7489e15d731aa3032716e00ebea.jpg,54737593,BV1f4411M7QC,1559822398,2019/6/6,19:59:58,07:34,194046,869126,2178296,460620,1952225
【何同学】哪款适合你？iPad mini 5和iPad Air 3深度体验,5141,3458606,//i1.hdslb.com/bfs/archive/c11423e91e5eec12ec0b7b5cfb0a4f1b05a96dad.jpg,52466874,BV1Q4411E77L,1557834133,2019/5/14,19:42:13,06:42,9452,49978,153858,32291,177548
【何同学】听～妙不可言 不被看好的AirPods为什么成功了？,4407,2757149,//i2.hdslb.com/bfs/archive/0647135758d18fe1bd120e03228119d1f690ea0d.jpg,49432234,BV1Tb411j7pf,1555329827,2019/4/15,20:3:47,05:45,7729,43985,161394,29925,176165
【何同学】每天只看半小时手机，坚持一周后我有哪些变化？,10797,4729232,//i1.hdslb.com/bfs/archive/ed7f0f74837212de1fdca9202a047401ed8cbb02.jpg,47180907,BV1Fb411E7Vm,1553398491,2019/3/24,11:34:51,06:57,38205,171149,316529,50931,376747
【何同学】我心中的2018最佳国产手机，你绝对猜不到是哪部,2600,1412595,//i0.hdslb.com/bfs/archive/81a8c75cf426413e19519446ec351355c78d99e0.jpg,44080002,BV1Db411a7MV,1550570778,2019/2/19,18:6:18,06:34,5799,12082,55388,2989,69336
【何同学】收入？装备？未来规划？在校十万粉UP的真实情况,2541,1814524,//i0.hdslb.com/bfs/archive/60056da18783d3afd3f4f626690526f1b10dcfb6.jpg,43248892,BV19b411S78N,1549891364,2019/2/11,21:22:44,10:27,9307,26142,92083,2636,131763
【何同学】低音灭蜡烛，Siri真的傻 苹果HomePod深度体验,2164,1322494,//i1.hdslb.com/bfs/archive/18b4de49392096a808812a68b2e92e78d9f6bf3a.jpg,42349835,BV1mb411k7tE,1549017147,2019/2/1,18:32:27,06:31,5154,18908,71967,8784,79115
【何同学】将iPad Pro用作主力电脑后... 11英寸iPad Pro深度体验,2804,2120345,//i0.hdslb.com/bfs/archive/058392eb2a9603b9b9a4105e243a481e04818619.jpg,37220850,BV1Dt411X7Cx,1543713501,2018/12/2,9:18:21,06:15,5003,22358,72542,12098,85686
【何同学】实用党的选择？iPhone XR深度体验,2084,1792071,//i1.hdslb.com/bfs/archive/81469804dba1677ab5e7d7ac35aa27ddf87de4cc.jpg,35049732,BV1Vb411P7j3,1541069104,2018/11/1,18:45:4,06:27,4973,13816,53834,7281,66382
【何同学】四代出神机？Apple Watch Series 4深度体验,798,1041984,//i2.hdslb.com/bfs/archive/8ad67df00dfa293854e26826fabc444abb3a5f3d.jpg,33489311,BV1YW41117Jz,1539083377,2018/10/9,19:9:37,04:26,2017,7068,25004,3054,33877
看得心都化了！当一个摄影UP去拍猫片......,1282,972180,//i2.hdslb.com/bfs/archive/0f16bab7f3aeea2ed37dfc05e2c0eb916bdbfae0.jpg,33249554,BV1SW41127w8,1538809077,2018/10/6,14:57:57,03:09,3165,28015,51143,12951,71105
【何同学】这是全B站最黑的卧室！ | room tour,635,668178,//i0.hdslb.com/bfs/archive/c832ab3bee41e3375b742b39c964f6afaf8900cd.jpg,32146794,BV1nW411r7ay,1537530615,2018/9/21,19:50:15,03:58,2222,4474,12830,1608,26051
【何同学】90块买的智能手表，没想到会这么好用,2168,718304,//i0.hdslb.com/bfs/archive/4cea0612a468bcea780071f9332fe632d05a6889.jpg,30630027,BV17s411c7cg,1535539273,2018/8/29,18:41:13,04:58,1458,6940,17809,1716,31246
【何同学】如何在B站学习做视频？  (P2附Pr零基础剪辑教程）,570,947542,//i2.hdslb.com/bfs/archive/9f44d7798f65580e116402b1a69d4f7617052276.jpg,29437173,BV1EW411R77n,1534333667,2018/8/15,19:47:47,07:43,1959,81713,39358,4908,47028
【何同学】十年中最经典的5款苹果产品,617,562223,//i1.hdslb.com/bfs/archive/46dea755317ef237934566540aef40d058d73dc8.jpg,28684677,BV17s411g74K,1533557841,2018/8/6,20:17:21,05:58,2460,3672,12619,1111,19352
【何同学】能再战十年？！为什么2018年了我还买iPod Classic？,1296,730642,//i0.hdslb.com/bfs/archive/f9d130cd1fcde12b580059f33756a6a709f386c8.jpg,27469164,BV1ys411K7WN,1532260188,2018/7/22,19:49:48,04:25,2623,4870,14142,1347,23239
【何同学】天生骄傲的锤子T1 为什么必然失败？,1932,572510,//i0.hdslb.com/bfs/archive/a794b3189c4e42a3973e94503120173892361668.jpg,23278605,BV1jW411F7NP,1526034000,2018/5/11,18:20:0,05:43,1304,3779,9394,1123,19377
【何同学】为什么iPhone 5C是我最喜欢的手机？,944,793418,//i2.hdslb.com/bfs/archive/96e2f9c023a282110df5fa332589b4ec654e7d7c.jpg,22042515,BV1LW411L7Bw,1523628266,2018/4/13,22:4:26,04:15,1606,5754,19053,1323,32935
如何将iPad变为错题本？（初高中）,1018,831768,//i1.hdslb.com/bfs/archive/df2d94bd15ccce377a9d62e9fb08b183f834c5eb.jpg,20209991,BV1rW411s7hF,1519900248,2018/3/1,18:30:48,02:57,1209,19430,11994,4151,26073
【体验】真●口叼相机？！,244,301098,//i1.hdslb.com/bfs/archive/bd7a4c3c47131a6776740dfb1197511222b6feb0.jpg,19780443,BV1TW41177Kj,1519035534,2018/2/19,18:18:54,02:24,766,1373,4205,672,11776
使用苹果全家桶是种怎样的体验？,1199,982604,//i2.hdslb.com/bfs/archive/416aa7c8dc9fc549e4f6670aa07801dff5ac9592.jpg,19205223,BV16W411J7y4,1517913044,2018/2/6,18:30:44,05:25,3092,10116,21502,5975,44534
【实拍】探密知乎总部！,502,571843,//i2.hdslb.com/bfs/archive/38fac7282e2cca06946c2283f17994acaf7460e9.jpg,17703816,BV1MW411b7JH,1514462453,2017/12/28,20:0:53,02:55,741,2142,5630,855,17096
iPhone X吐槽 Face ID的三个缺点,559,587217,//i1.hdslb.com/bfs/archive/4b1e2466f4a98fcc3462d878aac1b30a727a44e7.jpg,16581287,BV1Qx411V7yh,1511407536,2017/11/23,11:25:36,01:58,1469,1527,5269,685,18455
【Pr教程】超简单的任意门转场 打开门就可以进入任何地方！,472,440467,//i0.hdslb.com/bfs/archive/b311a28f27d41d7ed13ccbc0c0520d8c6e516c99.jpg,15196234,BV1fx41137c3,1507420841,2017/10/8,8:0:41,03:49,685,26170,12136,1884,22402
【中字】给新人VLOGER3点建议,395,354528,//i0.hdslb.com/bfs/archive/6bc8398e9ba4cf27996dea5258c548f0a26dc69b.jpg,15147368,BV19x41137Vk,1507303159,2017/10/6,23:19:19,09:05,853,9772,2743,1868,11422
