title,comment,play,pic,aid,bvid,created,date,time,length,video_review,favorite,coin,share,like
【鬼谷说】鲸：一曲鲸歌寄沧海,2170,545303,//i2.hdslb.com/bfs/archive/731dab19704aec0ac583143e9c5490e4e41890d2.jpg,243484343,BV1jv41167hr,1591962588,2020/6/12,19:49:48,12:25,4163,13115,34182,1719,61354
我们为什么还不能星际航行：从一款游戏说起,1598,294234,//i1.hdslb.com/bfs/archive/c1b1bfa917031eab656db6e8ede6f69be7b0538c.jpg,498433711,BV1gK411p7qn,1591358415,2020/6/5,20:0:15,07:15,2680,3115,3690,447,24612
【鬼谷说】龙兽争霸（其五）：让恐龙再次伟大,3033,870427,//i1.hdslb.com/bfs/archive/7f2380b28e8a5655fc18370627daae36c29bb839.jpg,328276805,BV1nA411q7VG,1590831826,2020/5/30,17:43:46,10:01,6743,63153,108070,2222,133239
【科学八卦史】他曾与诺贝尔奖擦肩而过，却沦落到开班车为生,912,305985,//i1.hdslb.com/bfs/archive/b142495325c4d46c9b7b3607fe79da3639beb1c0.jpg,328232099,BV1dA411i7aQ,1589704724,2020/5/17,16:38:44,06:58,1753,3560,6807,720,26743
【鬼谷闲谈】朊病毒：脑中的不灭幽灵,5755,1024574,//i0.hdslb.com/bfs/archive/83a530aebb284878f083ecf153fcb9a88664a1fa.jpg,968060291,BV1hp4y197E1,1589031845,2020/5/9,21:44:5,09:43,8213,24012,55141,6138,103362
【鬼谷说】辐鳍鱼类：亿年老苟 坟头舞王,2366,1037889,//i0.hdslb.com/bfs/archive/1de179d2435e4d8659578203ed80fb207b510938.jpg,582945393,BV1W64y1M7bK,1588343154,2020/5/1,22:25:54,12:26,6301,16772,52708,2008,92515
鬼谷菌带你参观上海国家安全教育馆【4·15全民国家安全教育日5周年】,1223,299111,//i0.hdslb.com/bfs/archive/c06e912808416a120e8178a37e711fdef4c24172.jpg,625269740,BV1ut4y1277c,1586912419,2020/4/15,9:0:19,06:36,2857,3717,8102,1093,29828
【鬼谷闲谈】BNA动物新世代OP里的那些古生物是啥,1726,668462,//i0.hdslb.com/bfs/archive/47ce0517769d907f4c339522df0400e64363336f.jpg,837737383,BV1ag4y187LQ,1586515919,2020/4/10,18:51:59,10:10,11063,18783,58571,2934,85092
【科学八卦史】生活虐我千百遍，我待生活如初恋,1700,427595,//i0.hdslb.com/bfs/archive/3a951a7a243822da870ae2aabfd24e7b4c5d01dc.jpg,242620934,BV1Se411x712,1585491585,2020/3/29,22:19:45,10:15,3982,7177,14248,2523,37111
【鬼谷闲谈】雌雄博弈：套路深深深几许,5302,948695,//i2.hdslb.com/bfs/archive/8ffae0ab5c8545013e8553aa74a89236429d7caf.jpg,98678649,BV1U7411m7vE,1584952439,2020/3/23,16:33:59,08:15,8008,11988,23578,8495,60500
鬼谷菌今天减肥了吗？,1597,310673,//i2.hdslb.com/bfs/archive/089e58ccec0e4092536a732f90919395887cd865.jpg,98189250,BV1WE411w7dD,1584792051,2020/3/21,20:0:51,03:59,2332,1589,3244,214,26619
【鬼谷说】龙兽争霸（其四）：卧薪尝胆，兽虽三户可屠龙,8627,1602029,//i2.hdslb.com/bfs/archive/40d03b1b2c698445139d13ae5ba2f7487a491aa6.jpg,95718264,BV1dE411V7yB,1584010091,2020/3/12,18:48:11,13:41,13073,67525,129701,3972,159401
【科学八卦史】他以一人之力碾压全球科学家，让资本沦为自己的提款机，却被千夫所指,1691,891875,//i0.hdslb.com/bfs/archive/9cc31213b1522237f31069dca76066a70c21479d.jpg,92415111,BV1GE411H7Nv,1582898630,2020/2/28,22:3:50,18:04,5971,11790,20661,3256,55565
【鬼谷说】鳞龙：命途长多舛 热血总难平,3807,1106076,//i1.hdslb.com/bfs/archive/fe947e2b0579f9effcb9d58b936c75ebbb318952.jpg,90362991,BV1c7411P79s,1582188706,2020/2/20,16:51:46,10:05,8116,20638,79392,2790,103599
【粉丝突破十万暨百万庆典】读评论：鬼谷是站在凳子上录音的吗,2011,422042,//i2.hdslb.com/bfs/archive/3e53cb10fcb60e160cf3883c0e24c27eaceee921.jpg,88942503,BV1n7411g7ih,1581679018,2020/2/14,19:16:58,07:44,6298,6772,23534,507,43817
