title,comment,play,pic,aid,bvid,created,date,time,length,video_review,favorite,coin,share,like
心理学家：爱臭美的人收入更高！真·靠脸能吃饭啊？！,385,84160,//i2.hdslb.com/bfs/archive/f24f5ff32b473700ae834cbf5e190e55c618f2c8.jpg,328611791,BV1pA411i7td,1592215258,2020/6/15,18:0:58,06:44,2274,1271,778,294,9968
谈恋爱会影响高考吗？要不要分手？心理学家告诉你答案（正在谈的不用慌，稳住）,2056,249356,//i2.hdslb.com/bfs/archive/cd7174050e0e72fb7910b0eaf51aa75e632a9b45.jpg,200932314,BV15z411i7u6,1591960398,2020/6/12,19:13:18,08:05,14458,6396,8421,2323,30515
爷爷拉皮条，爸爸搞投机，特朗普最骚发家史【盲人说书03】,597,230079,//i2.hdslb.com/bfs/archive/59f08c097b79f624b9663af7b6cc0d83f8db2ab4.jpg,840882310,BV1T54y1Q7gV,1591441591,2020/6/6,19:6:31,08:42,2855,3887,6432,2067,28920
毕业才知道的20个真相 | 职场事实，生活雷区，你经历过吗？,1707,190102,//i1.hdslb.com/bfs/archive/45ad8923e2bba0596f71adc5422e1efa5586acf4.jpg,498385941,BV1oK411H7kY,1591362179,2020/6/5,21:2:59,08:25,2847,8334,4259,609,19974
你相信男女有纯洁友谊么？这本书可以给你参考答案【盲人说书02】,3252,559739,//i2.hdslb.com/bfs/archive/9b6097df4f2393a29edc7e570c49dce23bdd154e.jpg,455828053,BV1A5411x7kj,1590758471,2020/5/29,21:21:11,07:37,12725,10863,12718,3976,48849
搜索效率提升200%！8个小技巧助你快速查资料，妈妈再也不担心我的学习了~【蜡笔小干货01】,1660,844717,//i1.hdslb.com/bfs/archive/b71f8eb1cff1104be53a6fd7c2d0f44c8aad9693.jpg,883274241,BV1YK4y1t7bg,1590233454,2020/5/23,19:30:54,08:05,5374,151731,79946,8404,106196
枯黄？毛糙？断裂？如何拥有波光粼粼的秀发？,594,155178,//i0.hdslb.com/bfs/archive/1fdcf5444d13479bbfbc4befaef3f846aaf9149e.jpg,413368463,BV1oV411C7Rd,1590207582,2020/5/23,12:19:42,07:06,1583,2086,992,573,13201
为何知名情侣up反目成仇？揭秘情侣互撕的10000个理由（狗头）,704,223314,//i2.hdslb.com/bfs/archive/a31363a2dc5ea20ba453e570e2f87544033f947d.jpg,840735552,BV1a54y1D7Ju,1589967396,2020/5/20,17:36:36,09:20,9405,1806,2644,1138,21598
压力大导致肥胖？爆肝导致猝死？我们该如何缓解压力？【盲人说书01】,839,198490,//i0.hdslb.com/bfs/archive/84dd14d9ab9c4b9820812d5941909653e9284685.jpg,413246924,BV1JV411C7uc,1589533495,2020/5/15,17:4:55,07:31,6325,6477,12677,1270,28641
情侣一起上自习靠谱吗？多人自习能提高效率吗？,1222,269437,//i0.hdslb.com/bfs/archive/521310a9e76ea646854a9ac143119b0c75dead85.jpg,667960908,BV1za4y1v7sU,1588237531,2020/4/30,17:5:31,07:35,7483,3856,5671,1604,27222
400w粉情侣up主给你推荐奇怪的书籍【4·23世界读书日特辑】,875,399652,//i2.hdslb.com/bfs/archive/0bb3874a3e73268e84209c1de08f2d8e55af977b.jpg,625333645,BV1bt4y127dE,1587471623,2020/4/21,20:20:23,09:55,2999,5669,5236,727,31628
【减重20斤】减肥误区大公开，我掉过的减肥大坑 | 小基数减脂容易出现的问题,1861,846148,//i0.hdslb.com/bfs/archive/ca297b6b85d4f9ac94dbe37f55bf0a91ca97da44.jpg,200328487,BV1az411B7Kb,1587122935,2020/4/17,19:28:55,07:29,10903,15959,11152,5724,51314
核辐射有多恐怖？皮肤脱落，DNA断裂，核安全究竟对我们有多重要？【4·15全民国家安全教育日专题】,1786,771551,//i1.hdslb.com/bfs/archive/73f0c4f9e54b65d2081dc584814c9b13de78c790.jpg,667830983,BV1Ra4y1x7YS,1586912419,2020/4/15,9:0:19,08:24,6161,14278,10737,1775,68853
