title,comment,play,pic,aid,bvid,created,date,time,length,video_review,favorite,coin,share,like
帅小伙招待客人，一次性做10斤麻辣小龙虾，吃的太过瘾了,2740,808916,//i1.hdslb.com/bfs/archive/f22362ea46a2aa4679dea2745b23e7e82b476f97.jpg,753535535,BV18k4y1z7fp,1592213444,2020/6/15,17:30:44,05:18,7452,4198,12474,1246,80730
伊比利亚猪排和普通猪排有什么区别？帅小伙两份都烤着吃，太香啦,3116,1425555,//i1.hdslb.com/bfs/archive/7503cabc4cc38afe8b8e22c810b4c9f07a7c7357.jpg,201106612,BV1qz411e7h3,1592030226,2020/6/13,14:37:6,06:58,12289,8428,20745,3014,118857
网上爆火的烤豆皮做法是真的吗？帅小伙整整做了五次，终于...,3348,1459145,//i1.hdslb.com/bfs/archive/f09d49d67e8471cb469a1c79222c70148d13cb89.jpg,243422061,BV1Zv411z7zC,1591867842,2020/6/11,17:30:42,05:46,19570,5425,16499,1825,108987
“深夜派食”五大包羊肉串，一个人在阳台烧烤，太过瘾,3851,1588402,//i1.hdslb.com/bfs/archive/65e53e0fce1631da1dc1ac8f60a611d85b5d9e1b.jpg,838433250,BV12g4y1i7dD,1591624819,2020/6/8,22:0:19,05:07,13596,7445,25751,2321,128264
挑战把100颗大白兔奶糖做成超大大白兔奶糖，帅小伙能成功吗？,3572,1400847,//i0.hdslb.com/bfs/archive/307f77582af5ba525fb4fc3083fa33adf8449ba8.jpg,883425598,BV1BK4y1x7it,1591435800,2020/6/6,17:30:0,03:53,19610,6320,20707,1217,124591
帅小伙试吃某宝销量排名前五的蛋黄酥，到底哪一款最好吃？,5048,1951566,//i2.hdslb.com/bfs/archive/ae7f03d21ac4314aa9930ed122a24d66bc9b369f.jpg,285884430,BV1Yf4y1275D,1591171507,2020/6/3,16:5:7,05:52,11438,7256,24126,1990,165956
网上那些爆火的美食攻略真的靠谱吗？三帅哥按照攻略每家都去尝试,2782,1409779,//i0.hdslb.com/bfs/archive/736c78adc64b7ec72f2e252d70dc4d87bd7f9624.jpg,840898516,BV1p54y1Q77V,1591003745,2020/6/1,17:29:5,08:24,10812,6486,19552,2434,126070
100元在长沙可以点多少臭豆腐，三帅哥点了满满一大桌,3839,2037414,//i0.hdslb.com/bfs/archive/6e9b5b0762cda632dff308949734be8021796f29.jpg,968251920,BV1Sp4y1Q7Ka,1590831001,2020/5/30,17:30:1,06:01,11748,6765,19925,1900,159001
“深夜派食”跟黄磊老师学的糖醋小排真的好吃吗？,5924,2397382,//i0.hdslb.com/bfs/archive/4ad676785dc101a6a91d083009d58f2e996bb083.jpg,370751269,BV1yZ4y1p7zK,1590658213,2020/5/28,17:30:13,05:03,36939,11561,35487,2142,182673
抖音上学的窝蛋牛肉饭真的好吃吗？小伙拿电饭煲做了一锅尝试,4452,2317050,//i0.hdslb.com/bfs/archive/0a8fce4a726964301f2f5c92f0c65cda991f263c.jpg,328312675,BV1aA411q7b9,1590226255,2020/5/23,17:30:55,04:32,18912,9123,22348,2337,156611
“读评论”终于发现UP主晚上拍视频的秘密，原来是这....,3753,1569596,//i2.hdslb.com/bfs/archive/f2b3ffd33fbb3b0ec3f1cb4e9707f2c126f28dcc.jpg,925660296,BV1LT4y1u76k,1589958725,2020/5/20,15:12:5,07:24,41051,9141,30732,1461,178947
“深夜派食”帅小伙花24小时制作半熟芝士蛋糕，结果出乎意料！,4802,1865024,//i0.hdslb.com/bfs/archive/e9de4869ad2a5e1320429064314deea437881cc2.jpg,710728910,BV1BQ4y1A7Su,1589880411,2020/5/19,17:26:51,06:21,20267,8770,32297,2184,179226
自制一锅家庭版火锅面，牛肉蔬菜全部下，煮了一大锅,4331,2548633,//i2.hdslb.com/bfs/archive/55d554f4d568fb156b84edc84e8acc1e23debaf6.jpg,200737660,BV1Tz411B73N,1589617840,2020/5/16,16:30:40,03:30,15797,9197,24517,2877,178789
小伙试吃某宝销量排名前五的螺蛳粉，到底哪一款最好吃？,9291,3775657,//i0.hdslb.com/bfs/archive/d7074d934b1ee499c3e610962cdec528d2f36ad0.jpg,968217549,BV16p4y1Q7Fg,1589444551,2020/5/14,16:22:31,07:57,33088,16810,71978,11248,316561
“揭秘”网红烤牛骨髓用这方法就可以无限循环，以后你还吃吗？,4641,2343914,//i1.hdslb.com/bfs/archive/f1c33ddccb8d3f06f99e89a254c86d79905dc22d.jpg,710731118,BV16Q4y1A72L,1589268985,2020/5/12,15:36:25,06:33,17609,8171,26568,1719,167498
据说只要加上这些....你的海鲜就会变得非常好吃，是真的吗？,7180,2587865,//i2.hdslb.com/bfs/archive/8ff801fa6785f9d6841fc4ed8d355b86692907b2.jpg,883026040,BV12K4y1b7ak,1589017375,2020/5/9,17:42:55,05:44,37178,11155,41425,2950,255608
100元牛肉可以做出多少牛肉干？小伙做完后感慨怪不得卖那么贵,5513,2491579,//i1.hdslb.com/bfs/archive/a0d4a042fe0b92140baec689c176781b6ee7ffdd.jpg,498047941,BV1FK411L7Yz,1588579863,2020/5/4,16:11:3,06:09,24238,12343,27860,3343,164855
“探秘”在饿了么美团点相同的外卖，送来的外卖会是一样的吗？,7695,4016663,//i2.hdslb.com/bfs/archive/c33c0e86f12ce7cff2e6db52e3c98b23925cd6d7.jpg,498014700,BV1SK4115767,1588404569,2020/5/2,15:29:29,05:51,43143,11540,35796,3499,250468
自制一大盘街边摊炸茄盒，小伙完成童年梦想实现茄盒自由,5787,2639400,//i2.hdslb.com/bfs/archive/c1f91adec97881f31b105ad49f45ee09064e9ec0.jpg,840434180,BV1r54y1Q7DH,1588232544,2020/4/30,15:42:24,06:14,37506,18626,63061,4396,244340
五斤鸡全腿做炸鸡腿，小伙复刻德克士手枪腿，能成功吗？,5639,2319934,//i1.hdslb.com/bfs/archive/f60250ba78b821ea36f55635fd555218aecd0289.jpg,967909573,BV1op4y1X7wd,1587976975,2020/4/27,16:42:55,05:57,34992,10638,32689,3567,172112
小伙自制超简单叉烧饭，电饭煲就能做，味道比饭店卖的还好吃！,8053,2070835,//i0.hdslb.com/bfs/archive/b9320e1a3ef96b5ff24f4a0054adf7b9750c4358.jpg,840446739,BV1154y1Q7e5,1587721366,2020/4/24,17:42:46,04:55,24075,15527,27058,3898,157264
