title,comment,play,pic,aid,bvid,created,date,time,length,video_review,favorite,coin,share,like
杀穿整个LPL还不够？盘点吓疯主播的恐怖游戏【是大腿TOP10#112】,1260,477940,//i0.hdslb.com/bfs/archive/5dd50217e599821924e5be957f493da41341dc48.jpg,668523814,BV1Ma4y1Y7Qf,1592139635,2020/6/14,21:00:35,14:19,6267,5112,14739,1654,37861
【主播真会玩】188：Doinb连招一气呵成，职业选手们的“坚固”友情,681,680209,//i0.hdslb.com/bfs/archive/cb462198b50f4a4011400e61346175399a25f62e.jpg,413375180,BV1ZV411C76c,1591957635,2020/6/12,18:27:15,11:43,4036,2222,4774,892,29042
【主播真会玩主机篇】110：寒王一身傲骨九龙探灵，寅子法国列车奇妙冒险,5388,930731,//i0.hdslb.com/bfs/archive/b7a616fe026fde4342ba0dc07443fb33863fa182.jpg,413429911,BV1sV411r7vr,1591692069,2020/6/9,16:41:09,16:24,9079,4157,13678,1398,37233
LPL春季赛梗盘点，这波啊，这波是懂的都懂【是大腿TOP10#111】,1312,776477,//i1.hdslb.com/bfs/archive/a0bfebd678fce4f3cbea6b34b44e7e255da6c84a.jpg,583405600,BV1zz4y197xx,1591527015,2020/6/7,18:50:15,18:58,8634,6513,21369,1714,50393
【主播真会玩主机篇】109：大威天龙，超级小嬲我让你原形毕露！,1259,1214566,//i1.hdslb.com/bfs/archive/4da63034deb73c51e5e4b276f30077d256a5c6f2.jpg,413377095,BV1FV411y7a5,1591006788,2020/6/1,18:19:48,15:14,5918,9585,36854,1983,56294
躺 着 赚 钱？盘点“一波致富”的游戏理财产品【是大腿TOP10#110】,606,260439,//i0.hdslb.com/bfs/archive/4d0b95e55c5722220889844e33a8128cee25b514.jpg,838332624,BV1fg4y1B7N8,1590932673,2020/5/31,21:44:33,12:28,2125,964,2134,224,13786
【主播真会玩】187：UZI上分曲折路 峡谷处处是反转,668,792617,//i2.hdslb.com/bfs/archive/021a633ce72a87511ac66fc265a5035b0b9a2b3d.jpg,795789885,BV15C4y1p7eP,1590748509,2020/5/29,18:35:09,10:57,3707,2160,4432,1204,28568
关于我们为什么脱离起小点这件事【问个锤子04】,1205,675674,//i1.hdslb.com/bfs/archive/1e519e51445715ea3e034e87c17664e95c1dadc4.jpg,455766457,BV1y5411s7nm,1590398303,2020/5/25,17:18:23,18:01,1898,3764,14048,375,30292
【是大腿TOP10】109：盗版玩家“专属福利”？只有“盗版”才能玩到的游戏内容,1200,540727,//i0.hdslb.com/bfs/archive/5f2761ffef6831458bf1c8a5c4191537ad4eaba0.jpg,498304229,BV1pK411s7RP,1590319984,2020/5/24,19:33:04,15:03,2777,3598,11922,325,33018
【主播真会玩主机篇】108：余小C峡谷战神智斗佳慧，寅师傅死亡搂抱锁身缠斗,806,1305501,//i1.hdslb.com/bfs/archive/cd546b08e863931269873fe87f460b9ae40158fd.jpg,498211729,BV19K411W7Sv,1589802668,2020/5/18,19:51:08,14:39,4866,3219,7627,1482,38569
【是大腿TOP10】108：谁才是真正的“大佬”！游戏中难辨雌雄的“秀吉”,1143,397148,//i1.hdslb.com/bfs/archive/a77327cc9be79ede2e017c9532d78b4d447e6558.jpg,795641389,BV1zC4y1H72q,1589707840,2020/5/17,17:30:40,11:08,2506,1926,3812,224,19548
那些曾经的节目都去哪了？【问个锤子03】,717,315615,//i1.hdslb.com/bfs/archive/5fd73f2f1cb7ff3a773077cbcc675d8d82970a94.jpg,840660243,BV1654y1X7rP,1589619933,2020/5/16,17:05:33,15:58,1252,1288,3264,123,17649
【主播真会玩】186：小虎直播遭双重暴击，洞主凯哥双排恩断义绝？,928,663152,//i2.hdslb.com/bfs/archive/a5aa9fab2bf1e85169aa08143bd8e984ca282c74.jpg,838131025,BV1Rg4y1q7sK,1589529075,2020/5/15,15:51:15,13:31,6660,2613,6948,1453,27103
【主播真会玩主机篇】107：久哥言传身教游戏技巧，树哥红尘炼心终成渔夫,1135,1156988,//i1.hdslb.com/bfs/archive/a14b98826df609435ab1d404f8305bd8581a7f6f.jpg,838231460,BV14g4y1B74y,1589292172,2020/5/12,22:02:52,16:47,10134,4531,11626,2535,38446
母亲节这天我邀请长歌和她陪我一起生孩子？,850,312187,//i1.hdslb.com/bfs/archive/e9a9c3695d9a4ca723606012a8ffbe0d17055390.jpg,925582227,BV1YT4y137dP,1589114219,2020/5/10,20:36:59,10:39,3208,2465,11772,766,25357
【是大腿TOP10】107：人均落后1w经济？那些起死回生绝地翻盘的游戏,1409,568396,//i1.hdslb.com/bfs/archive/8241e138841bce9b35f121c0e90f72eb364bd7e7.jpg,883019972,BV11K4y1b79T,1589102640,2020/5/10,17:24:00,15:15,4784,2506,7420,366,27445
三个憨憨Up主在LPL春决玩”得罪人挑战“？,719,440521,//i0.hdslb.com/bfs/archive/f318e98e285a1f4a244ac14eb4401b95aa5e3bbe.jpg,285582004,BV1Df4y1m7QW,1588956116,2020/5/9,0:41:56,9:05,1319,720,1389,944,21393
【主播真会玩】185：混子主播现形记，金贡发怒是何故？,792,1176720,//i1.hdslb.com/bfs/archive/51348295355865ee5cb57b4c4ca72ee45ab1205e.jpg,967948954,BV1Tp4y197YB,1588248226,2020/4/30,20:03:46,11:27,6938,3698,8122,3407,38357
揭秘女神篇后面的男人们！【问个锤子02】,619,311612,//i0.hdslb.com/bfs/archive/38f6d23616825f7de87cb5d6e92974d42d377c1b.jpg,795479177,BV18C4y1W7Tj,1588159990,2020/4/29,19:33:10,10:58,1900,1033,2438,177,16422
【主播真会玩主机篇】106：小桀狼牙棒战神冲锋，寅子绿洲内神秘祭祀,1312,1114765,//i1.hdslb.com/bfs/archive/b7af7e79feda9870b5c99056a79709fc4a8f4364.jpg,540397530,BV1hi4y1t71u,1588057181,2020/4/28,14:59:41,15:45,8400,3591,7698,1137,34743
【是大腿TOP10】106：“狗再叫？”“猪别怂！”盘点魔兽世界最强PVP选手,1119,498795,//i2.hdslb.com/bfs/archive/08a23258554ca7a334e8dd45e2daa084b55375ed.jpg,752935433,BV1zk4y1r72s,1587905634,2020/4/26,20:53:54,13:27,1434,1788,6217,439,21896
是大腿是个怎样的工作室？【问个锤子01】,862,390398,//i2.hdslb.com/bfs/archive/4cbda0c2772f574749cf32a4052f175fbac11ab7.jpg,285433283,BV1ef4y1S7Rw,1587615656,2020/4/23,12:20:56,5:56,1660,2492,7506,227,23838
【主播真会玩主机篇】105：瓜皮蛙蛙手撕鳄鱼，壮壮练腿举步维艰,1013,1081524,//i0.hdslb.com/bfs/archive/a8d5ce03f00d1ac62729c82b244d688ed9764539.jpg,882771804,BV1NK4y1k7eD,1587367609,2020/4/20,15:26:49,15:42,6415,3784,8849,1341,36272
【是大腿TOP10】105：谁的青春回来啦！英雄联盟季前赛进化史,2910,774601,//i1.hdslb.com/bfs/archive/6d7e6ea179a47ac353e2c739ff6dbc7aaf579015.jpg,540263432,BV1Yi4y187Nx,1587291461,2020/4/19,18:17:41,15:16,12819,8855,31968,1285,55179
【主播真会玩】184：Doinb渣男面目遭揭露，孙悟空双线程游刃有余,879,1322791,//i0.hdslb.com/bfs/archive/fc1a732609b437f10ef3e4d7e74e303449e875de.jpg,925325717,BV1RT4y1G7Ep,1587114385,2020/4/17,17:06:25,14:08,13786,5260,13111,5248,47550
【主播真会玩主机篇】104：阿飞弃暗投明正道的光，张继科塔科夫爆破鬼才,1017,1146076,//i2.hdslb.com/bfs/archive/d17447eb4d6dead67aa8dd2756d957da01b7bf79.jpg,455334231,BV1X5411t7WE,1586854086,2020/4/14,16:48:06,12:41,5124,2667,5959,887,32213
【是大腿TOP10】104：阎王好过小鬼难缠，游戏中令人神烦的杂鱼小怪,1039,494366,//i2.hdslb.com/bfs/archive/9d6769e5ee9c8c0f8f95ddad18f22ebd227932df.jpg,242730379,BV15e41147Np,1586681659,2020/4/12,16:54:19,11:17,2975,1602,4206,196,22528
【主播真会玩】183：UZI峡谷开发新职业，Doinb阴阳斗法遭完虐,1087,1218776,//i1.hdslb.com/bfs/archive/029859da2be49452eb7e06a0cac7fb70b5d61927.jpg,840194311,BV1Z54y1X7x4,1586520214,2020/4/10,20:03:34,10:31,5527,2821,6563,2224,39307
