title,comment,play,pic,aid,bvid,created,date,time,length,video_review,favorite,coin,share,like
建 议 改 为 ：让 惊 喜 飞,1360,516262,//i2.hdslb.com/bfs/archive/89bc618a1ba8a9829501cad7c1b247b4dff15b26.jpg,200986445,BV18z411i7Cz,1591934424,2020/6/12,12:0:24,02:21,2353,18336,36653,4572,60742
吃吃吃吃吃到没活力？,290,68972,//i1.hdslb.com/bfs/archive/cd2c6c0ffce37c523e6432f7e0e6181c16e5a9ef.jpg,710890979,BV18Q4y1P7VE,1591617617,2020/6/8,20:0:17,01:35,123,357,353,81,7964
建 议 改 为：就 n m 离 普,1338,590523,//i2.hdslb.com/bfs/archive/2981de7a6bff8fe4942dce04f58095bcb11a227d.jpg,455968167,BV155411W7ih,1591343218,2020/6/5,15:46:58,01:53,1633,13337,11886,2999,68658
【鬼畜私房歌】棠梨煎雪Remix，曲不醉人人自醉,708,147486,//i2.hdslb.com/bfs/archive/6c25c8c5886a544adae6ca1a6f7bbc7e2ff586b8.jpg,583295682,BV1Rz4y1X79B,1590656703,2020/5/28,17:5:3,03:40,664,4360,7482,539,18194
爷青回！放假君当年被删减鬼畜片段流出,1199,212129,//i2.hdslb.com/bfs/archive/f1756141ca06b47ddd47f33ffd88b102a41485f0.jpg,200707689,BV1dz411q74d,1589549267,2020/5/15,21:27:47,02:52,1985,7223,8748,833,32779
【全明星】玩转湿巾！,609,172720,//i1.hdslb.com/bfs/archive/7fe1839e2a7d12765d4c9d18d942366feb73bf63.jpg,328109957,BV1sA411t7sz,1588593651,2020/5/4,20:0:51,02:15,496,1261,1335,184,15451
法苏天女春宝《我是小兔兔！》♪一言不合就开唱♪,1255,177444,//i2.hdslb.com/bfs/archive/4b91ad9e6f698a03f1f42376fd868f411fbd7ba8.jpg,497975955,BV1zK41157WC,1587787060,2020/4/25,11:57:40,02:45,2563,2169,2498,1154,17678
【华农公寓】我的未来式,764,256630,//i1.hdslb.com/bfs/archive/39c3a2866fea2999396149b9392150586c64795a.jpg,412846169,BV1pV411Z7vz,1587200420,2020/4/18,17:0:20,01:55,585,4263,5548,586,30023
【全明星】春 天 在 哪 里,1193,243087,//i0.hdslb.com/bfs/archive/06e5c046f8b349d65621709dbf12923af1b5ef3e.jpg,667837869,BV1Za4y1x75Q,1586960260,2020/4/15,22:17:40,02:09,1348,5393,6008,1035,34430
【鬼畜私房歌】失眠症Insomnia，宿夜西山房丁大打排位,2662,1341234,//i1.hdslb.com/bfs/archive/a78b777123640e7abac9a4d1419642f0799589e3.jpg,710223243,BV1qQ4y1K7Gs,1586404524,2020/4/9,11:55:24,02:53,6301,45599,72131,5250,168447
【鬼畜小课堂025】还在用Waves混音？这儿有更好用的效果器插件！,359,88044,//i2.hdslb.com/bfs/archive/09a668cfdb38fb3a85f905c10f48a2947e36a695.jpg,795039891,BV1tC4y147Kj,1585628175,2020/3/31,12:16:15,24:05,238,2040,926,102,7308
叙利↗亚↘大马士革报道~ ♪一言不合就开唱♪,1011,180421,//i0.hdslb.com/bfs/archive/aa42810e1131c4678cc24f40364812a8e60793f4.jpg,98983041,BV187411275w,1585299904,2020/3/27,17:5:4,02:16,1019,3208,6029,394,23590
【全明星】沙  雕  打  气  歌,1346,209287,//i0.hdslb.com/bfs/archive/3f56fc2596feaa7a9aa33fd48648f91879bf8878.jpg,93109468,BV16E411j76H,1583143245,2020/3/2,18:0:45,02:57,1586,4736,6400,606,28972
大 长 筋,939,352345,//i2.hdslb.com/bfs/archive/6e4a2de61c987e8fbfcae6071edd06bb4cac86ab.jpg,92044740,BV1Y7411P7fN,1582770423,2020/2/27,10:27:3,01:27,1706,6074,9681,2034,33058
推车那老头，你是姬伯吗？♪一言不合就开唱♪,2641,989166,//i0.hdslb.com/bfs/archive/98d48753603e54526344c4fa4adfddada0273906.jpg,91031535,BV1Yj411f7y5,1582426314,2020/2/23,10:51:54,02:09,3713,24579,38389,14989,81910
流量爱豆网恋被骗，当事人患上抱枕癖,940,254903,//i0.hdslb.com/bfs/archive/88fc7bcf0125c152cefc34d1cacb6835496e6151.jpg,84729203,BV1Y7411a7Dz,1579780826,2020/1/23,20:0:26,08:12,1715,2289,3036,1287,16389
【你是猪】今天我终于领会到笑出猪叫的奥义！,4460,2612842,//i0.hdslb.com/bfs/archive/57b658c2f72f2f5520936fc78c4af283a385e1fd.jpg,82849279,BV1BJ411H7JC,1578652229,2020/1/10,18:30:29,02:44,19798,80243,105045,57223,215421
【鬼畜私房歌】Try，功夫熊猫三主题曲,1985,574721,//i1.hdslb.com/bfs/archive/f1467d50c6eebd8ccbb0d9d0558dd2261da31d9a.jpg,79809209,BV1WJ411t7nd,1576746683,2019/12/19,17:11:23,04:05,5780,45560,93028,8590,88141
【跑调之子】呐～现在就要开始调音了哟！,702,470567,//i0.hdslb.com/bfs/archive/76637a1cc34b036bb0540a77e29c8691a78dcf16.jpg,78017420,BV1wJ411B7RH,1575547538,2019/12/5,20:5:38,02:53,1318,9205,12977,1808,26699
【鬼畜小课堂024】UTAU篇之FRQ设定,105,70956,//i2.hdslb.com/bfs/archive/a249b9066d24d2132f0387276818344d5ab90086.jpg,77802484,BV12J411z7nX,1575271470,2019/12/2,15:24:30,10:18,94,978,433,76,3103
【鬼畜小课堂023】UTAU篇之拼字教程,59,25031,//i1.hdslb.com/bfs/archive/406d1d8e36a0ad87b12ecf690eb47722c3c08bd0.jpg,77802397,BV12J411z7Hj,1575271343,2019/12/2,15:22:23,08:36,109,871,310,53,1235
【鬼畜小课堂022】UTAU篇之参数设定,88,24435,//i1.hdslb.com/bfs/archive/2fe8f24829e80e4b22af1af36512229c49c3e5ae.jpg,77802324,BV12J411z7pa,1575271171,2019/12/2,15:19:31,13:37,213,926,407,39,1285
