title,comment,play,pic,aid,bvid,created,date,time,length,video_review,favorite,coin,share,like
靠谱盘点85:强行装杯！Karsa直播疯狂嘲讽阿水，水子哥:我有皮肤你有吗？,2705,2129058,//i2.hdslb.com/bfs/archive/0a21d364f59afe8fd73f7da30ffdf4546e51a585.jpg,795936893,BV1VC4y1a7hm,1591887559,2020/6/11,22:59:19,12:30,9916,30456,109668,6670,185225
靠谱盘点84:再见2012-2020，再见Uzi,5448,2332430,//i1.hdslb.com/bfs/archive/f0281e87fab0970c5caf8f967d9942710177e1a1.jpg,968478955,BV1Ep4y1D7Dz,1591280834,2020/6/4,22:27:14,15:07,30726,52981,191109,6108,253341
【绝地BB机 S2】04：Tianba勇夺PCS总冠军， 4AM小龙竟萌生退役念头？,202,150585,//i1.hdslb.com/bfs/archive/d47138cfd366b70c80f344e231ed03a83af9351a.jpg,753271159,BV1Qk4y167s1,1590752172,2020/5/29,19:36:12,08:22,170,150,301,63,6194
【五字绝逗士】06：夏一可堂堂部落酋长，竟然被当作运载目标运输？,176,187137,//i1.hdslb.com/bfs/archive/445ce0af3c2558fc1639913da75b9a049b810ee1.jpg,968365333,BV19p4y1S7EC,1590413145,2020/5/25,21:25:45,07:27,337,224,510,129,8264
靠谱盘点83：JDG访谈，上流人士的平凡生活,2356,1727625,//i0.hdslb.com/bfs/archive/7e987f2d654c01d5d7b06144ebd9a47e52e84322.jpg,328310201,BV18A411q7bz,1590150952,2020/5/22,20:35:52,17:56,18535,10124,32316,3457,79925
【五字绝逗士】05：夏一可保卫战，战鸽氏族大战斩鸽氏族,217,178818,//i1.hdslb.com/bfs/archive/6f5001e54d430a5c6c7742a46d409036bb9efc4c.jpg,200670579,BV1ez411q76m,1589808038,2020/5/18,21:20:38,06:51,219,154,372,115,7527
靠谱盘点82：人菜瘾大！UZI化身慈善赌王，一天输光500w，为什么我斗地主老是输？,2376,2708189,//i1.hdslb.com/bfs/archive/0bccf61ba851fcc14fb50f7d9f67a55bd5296ef1.jpg,840717574,BV1j54y1D7X6,1589466884,2020/5/14,22:34:44,14:06,18467,28113,104763,12335,178594
【五字绝逗士】04：部落大酋长不需要智商，夏一可遭水友降智打击,181,154198,//i1.hdslb.com/bfs/archive/9b07c4a2f6f7eef7d3655e0d6a4acb250156c51b.jpg,498144076,BV1eK411W7f7,1589195185,2020/5/11,19:6:25,07:01,189,158,399,110,6716
靠谱盘点81：Faker用特殊方式为自己庆生，粉丝：看着就心酸！一个人太孤独了！,3898,2686287,//i0.hdslb.com/bfs/archive/2ecaa754e983b28b1e0550ca9df4bcd498e1716a.jpg,710588438,BV1mQ4y1N7p7,1588872119,2020/5/8,1:21:59,12:30,26795,30880,107405,7775,192910
【五字绝逗士】03：刘飞儿化身艾泽拉斯赌神，我赌你的底牌是个1！,544,359832,//i1.hdslb.com/bfs/archive/5ac31d0c9b709c9f682f31101fbf1205df1ac684.jpg,328075580,BV15A411t7QX,1588594816,2020/5/4,20:20:16,06:48,386,289,574,205,11106
【峡谷第一线】07：京滔骇浪，LPL双雄剑指银龙,1353,460843,//i0.hdslb.com/bfs/archive/ada05a538a21494ea8a0a07e5a7100b45a849eea.jpg,413055358,BV11V411d7RX,1588431323,2020/5/2,22:55:23,07:14,1450,602,1298,428,20107
【绝地BB机 S2】03：SMG在线宽衣乞讨为哪般？1246歌友会竟成数鹅大赛,176,121349,//i1.hdslb.com/bfs/archive/8cffff25bb4598a102f47aadc0edef9ae56231d7.jpg,967958605,BV1cp4y197ob,1588332503,2020/5/1,19:28:23,07:47,277,120,229,100,6193
【五字绝逗士】02：学到了！这就是PDD的逃跑路线？夏一可与私生饭的恩怨情仇,338,401128,//i1.hdslb.com/bfs/archive/7aa085b7731617701d703cd6ce7b2d5d239eec8b.jpg,837944707,BV1Sg4y1z7Uw,1587983161,2020/4/27,18:26:1,05:54,701,391,584,185,12298
【绝地BB机 S2】02：4AM全员化身小狮子迷弟，XDD竟是队内手速之王？,575,167342,//i2.hdslb.com/bfs/archive/93b93c8eeda5ccdcdf74788a7aec8aa8813abed6.jpg,710445865,BV1PQ4y1N7F4,1587816053,2020/4/25,20:0:53,07:26,381,163,354,178,6697
【峡谷第一线】06：水手组合驱动水势滔天，京东双核助力豪取连胜,641,447809,//i2.hdslb.com/bfs/archive/a7a22641e5b2489852fdc58cbb03a9003529e08f.jpg,370399753,BV1MZ4y1478S,1587728758,2020/4/24,19:45:58,06:48,1927,651,1331,462,18098
靠谱盘点80：猪狗大战变厨神争霸，一个做饭一个吃！TheShy直播：乌兹哥上吗？,5473,3497823,//i2.hdslb.com/bfs/archive/d37d896a6fe267a7e2000c02b132ef71e710a1b2.jpg,752992204,BV1Nk4y1k746,1587664154,2020/4/24,1:49:14,14:44,23562,76576,311599,18693,354721
