title,comment,play,pic,aid,bvid,created,date,time,length,video_review,favorite,coin,share,like
小山羊的腐烂之旅,413,266498,//i0.hdslb.com/bfs/archive/82ecec454fbfdbdbf9c97586b21cd12d37fdc764.jpg,286084404,BV1Qf4y1y7cN,1592045727,2020/6/13,18:55:27,05:02,995,3378,5774,111,36150
瑞克莫蒂细腻的彩蛋（本季完）,403,231594,//i1.hdslb.com/bfs/archive/0be64c2a0328dd001235b0e408eee0ee7d4c6a14.jpg,840923614,BV1J54y1Q7WJ,1591329656,2020/6/5,12:0:56,05:51,494,2124,2996,153,19534
接盘瑞大战王宙斯的彩蛋集锦,279,203329,//i0.hdslb.com/bfs/archive/1238affbde7cae9f674f414babe168b348c71c7b.jpg,840778714,BV1i54y1D7a6,1590811240,2020/5/30,12:0:40,04:11,518,1731,2282,85,18080
如果让你重新来过你会不会发现这些彩蛋,392,271379,//i1.hdslb.com/bfs/archive/8059021174926b2d9421a414b8b9f8f259639169.jpg,625857900,BV1Ut4y1C7Ka,1590145193,2020/5/22,18:59:53,05:10,493,2006,2271,172,20245
快意恩仇甚至有点过火的细节彩蛋与剧情。,570,337686,//i2.hdslb.com/bfs/archive/0079c564284b5a36fad0d5125bba805653d433c1.jpg,710731988,BV16Q4y1A7nJ,1589421033,2020/5/14,9:50:33,04:46,571,4239,10581,216,34043
最难懂的一集的那些剧情细节与彩蛋,685,458650,//i2.hdslb.com/bfs/archive/5586e73415e5ad1c2c7256d3d99b7da635549702.jpg,883027501,BV12K4y1b7sE,1588928644,2020/5/8,17:4:4,07:13,1731,4470,7559,608,32449
一个水果们起来造反的游戏,430,161361,//i1.hdslb.com/bfs/archive/aa7be3ae08dd415d225e105a7736554793cb5dd0.jpg,200611295,BV14z411q7dY,1588759208,2020/5/6,18:0:8,11:38,661,723,636,113,9538
这集全员搞颜色 合力贡献最污的彩蛋,705,450017,//i2.hdslb.com/bfs/archive/8ee92be8899f1609d3a517d73aff004ba73f105a.jpg,243037168,BV14e411p7MX,1588477010,2020/5/3,11:36:50,05:07,7339,3199,3089,225,31638
在火车与站台的间隙反复横跳,388,250644,//i1.hdslb.com/bfs/archive/6f01209096fb04f84a20e9581b80f7270a07da0b.jpg,837919780,BV1kg4y1z7t2,1588248017,2020/4/30,20:0:17,09:19,1358,1509,1898,193,18514
这是一个彩蛋多如牛毛的游戏,699,330872,//i0.hdslb.com/bfs/archive/c80958acb0af5cc07ffa3b53aacbf9606e9d6b79.jpg,285319313,BV13f4y1S7qz,1587614423,2020/4/23,12:0:23,04:59,733,2091,1428,192,19433
动森里那些天真质朴的彩蛋,723,523573,//i1.hdslb.com/bfs/archive/0b3a6ebfb5cf9bad8fdcae9faa6310fe76b2667d.jpg,285264397,BV1Cf4y1U7sd,1587183139,2020/4/18,12:12:19,06:03,1753,5627,10856,1009,40777
反应够慢才能发现的彩蛋，生化宇宙有内味了！,603,452819,//i0.hdslb.com/bfs/archive/c5fad58ef4e57f1a4307d1aca1e1cfb39bec063c.jpg,370227213,BV1sZ4y1x7oZ,1586577635,2020/4/11,12:0:35,06:42,1672,3997,5464,257,34407
彩蛋里大佬最多的一集 竟然还能和马云扯上关系？,711,551333,//i1.hdslb.com/bfs/archive/0db1d47a560437863e593ef0ee304d0e46b4f04e.jpg,795020946,BV1hC4y147iJ,1586056921,2020/4/5,11:22:1,07:28,1324,4804,7142,425,42156
GMOD里这些彩蛋吓得我裤衩横飞！,1016,610126,//i1.hdslb.com/bfs/archive/5bfede2c577016b254b2f7f80317a37ba0eb962a.jpg,99646117,BV1v7411X7UM,1585454444,2020/3/29,12:0:44,07:52,4538,5469,7049,394,43363
一款用jio才能发现彩蛋的游戏,905,451543,//i0.hdslb.com/bfs/archive/2e72eabd1b4730e132a6d128ad0b4e3cc3b0943c.jpg,99585754,BV1p7411y7pB,1585306836,2020/3/27,19:0:36,04:33,996,2752,3604,390,30915
模拟山羊那些好嗨好嗨的彩蛋,634,530866,//i2.hdslb.com/bfs/archive/f412cae37ea99a009db96cc111d5e2772eadb279.jpg,98072489,BV1zE411c7yn,1584761774,2020/3/21,11:36:14,05:35,1896,4058,5111,185,35117
百闻牌里那些贼有意思的彩蛋你知道几个？,611,280796,//i2.hdslb.com/bfs/archive/630af3b2b48e29a6f6c48f2917a0e7411abd44d3.jpg,96460349,BV13E411G7JG,1584258631,2020/3/15,15:50:31,05:08,941,1502,1377,269,16496
用粘钩能否在家中打造梦幻的海边吊床？,809,262868,//i1.hdslb.com/bfs/archive/0e71ff235a3cdb4ed54ef537ad02d94ba966a039.jpg,94144726,BV1FE411p7wu,1583553639,2020/3/7,12:0:39,04:39,2152,2148,4444,236,21968
谷歌地图意外拍到的大型翻车事件！,665,655601,//i2.hdslb.com/bfs/archive/2d5b3c0139d228664c5b64278a8df0191a8a03cf.jpg,92479574,BV1aE411H79c,1582948817,2020/2/29,12:0:17,03:53,1639,5331,8986,376,54725
彩蛋最多动画 瑞克和莫蒂四季2集彩蛋,707,516133,//i2.hdslb.com/bfs/archive/bff2266eb9f25de4411863cf7af62eea77ae7ea5.jpg,90742592,BV1y7411F7eN,1582344058,2020/2/22,12:0:58,07:43,1277,5780,12420,507,36425
原来上网课这么有意思，笑到流泪。,1308,742626,//i1.hdslb.com/bfs/archive/0ec5618fb5209bda5126f6d6ba4bd6d1e0830900.jpg,90279240,BV1y7411A7hX,1582167577,2020/2/20,10:59:37,06:22,3442,4150,5736,1487,37727
寄生虫这些你可能错过的彩蛋 细节 隐喻,868,487594,//i1.hdslb.com/bfs/archive/a690a53673f50832f6e175bdf78fbad6bf508396.jpg,88909974,BV1g7411g7ED,1581739248,2020/2/15,12:0:48,06:09,892,4333,9094,1008,34564
当了几年up主重做B站的入站测试题，能否顺利通过呢？,2009,281635,//i1.hdslb.com/bfs/archive/4b9787b503324af4fbe06f282313e6ecbda4832e.jpg,88640322,BV1b741137AX,1581574612,2020/2/13,14:16:52,05:33,4929,2136,3589,303,20482
这么乱来的游戏里的彩蛋竟都如此精良？,787,670226,//i2.hdslb.com/bfs/archive/f719f44827e16d2969a2f68c90161ecc35b92c98.jpg,87122560,BV1s7411h7De,1581134425,2020/2/8,12:0:25,06:29,2246,7127,12371,442,47995
我受到了侮辱，这个网站说我拖了人类的后腿！,682,429879,//i2.hdslb.com/bfs/archive/acc8a9a09920666ba72a4fbf0530bc022d36210f.jpg,87095228,BV1j7411h7K3,1580977054,2020/2/6,16:17:34,06:53,2501,3182,4287,316,25512
CSGO那些刮了才能看到的彩蛋,591,720827,//i0.hdslb.com/bfs/archive/31dfd826395e2cc8c2ae25d9870641473c79259a.jpg,85379656,BV1j7411r7ho,1580443255,2020/1/31,12:0:55,04:39,1560,5182,8267,796,40365
拜年祭2020那些你早知道的梗和彩蛋,1445,681061,//i0.hdslb.com/bfs/archive/ca7093e225b179b821b067554fc9d2d26a096cb1.jpg,85413510,BV1x7411r7oJ,1580201630,2020/1/28,16:53:50,05:12,2668,11752,12279,995,50650
为什么一个度假岛上会有海龙卷和幽灵船？？杀手海文岛的彩蛋,452,507937,//i1.hdslb.com/bfs/archive/e3c5261cdce71e19b651bb76c740f58a7553a03d.jpg,84468383,BV1d7411Y7oz,1579924812,2020/1/25,12:0:12,06:54,1713,4704,10653,228,35630
过年回家就是要玩这些东西才有气氛,301,371342,//i2.hdslb.com/bfs/archive/f092c45333ca2c2646d6fca2ec0ca2a9a604cf99.jpg,84094493,BV1a7411q78r,1579431630,2020/1/19,19:0:30,13:55,1095,1331,1557,201,15410
这怕不是史上彩蛋最多的动画片？,779,690727,//i1.hdslb.com/bfs/archive/ec52e9817eb0bd3e8a8c7d74d9606bc9a4a4b279.jpg,83573851,BV1fJ411J7NQ,1579320026,2020/1/18,12:0:26,06:40,1499,7001,13829,784,40955
这部电影的彩蛋全是童年回忆,454,389049,//i2.hdslb.com/bfs/archive/e9c5e36cf8481f1bf4849f9ccc37aea2bc4d9fbf.jpg,82933825,BV1RJ411H7xP,1578711953,2020/1/11,11:5:53,05:33,965,2870,4343,231,21400
月圆之夜通关多次都未曾注意的彩蛋,651,454321,//i2.hdslb.com/bfs/archive/9cef3ae861376fc8eae3f258908929301ac9de78.jpg,81433518,BV1aJ411h7tt,1578045612,2020/1/3,18:0:12,03:58,933,2674,2860,377,22624
这真不是外星生物？谷歌地图意外拍到的凶禽猛兽！,376,520241,//i0.hdslb.com/bfs/archive/63602e00bf53f898a768c2d87bd2065fc9588e15.jpg,81439046,BV1aJ411h7dB,1577851227,2020/1/1,12:0:27,04:41,1308,3558,4982,345,23633
真的瞎！史上最骚躲猫猫，怎么什么都能变？？？,286,386088,//i0.hdslb.com/bfs/archive/15af3cb5c5eb839870188cb8d28fc6c8a3f57d10.jpg,80929810,BV1uJ411e7ui,1577505631,2019/12/28,12:0:31,12:44,1144,1625,2269,237,14483
最骚杀手狙击模式你可能错过的彩蛋,378,534354,//i0.hdslb.com/bfs/archive/173659eb069ef8b493df2194043570f22fd5ebb9.jpg,79963529,BV16J411x7yF,1576900844,2019/12/21,12:0:44,06:37,1361,4078,7436,224,27668
死亡搁浅里健康长寿的彩蛋~~~,302,429947,//i2.hdslb.com/bfs/archive/8ae499de85034825507e64566a3deeaf75faf804.jpg,79154337,BV1DJ411C7Ar,1576296059,2019/12/14,12:0:59,06:27,695,2826,4740,157,24113
兼职up主成为全职猎人之路,199,91704,//i2.hdslb.com/bfs/archive/edd82af58f71dbf77bf3f430d23a72113e3a4045.jpg,78657230,BV1gJ411y7AW,1575893433,2019/12/9,20:10:33,05:58,230,305,403,94,4844
塞尔达织梦岛里那些你可能没注意到的彩蛋,274,313408,//i0.hdslb.com/bfs/archive/9ab04c28b90093e539544a7b33a044d66f42af50.jpg,78280076,BV1rJ411i7au,1575691224,2019/12/7,12:0:24,05:34,639,2060,2839,276,14240
死亡搁浅里那些雅俗共赏的彩蛋,353,594024,//i2.hdslb.com/bfs/archive/16797a2ace134eeabfc7bc457b3e04d6d30234ed.jpg,76652903,BV1WJ411d7yv,1574481621,2019/11/23,12:0:21,06:40,1261,4031,4579,461,24876
价值2200元的死亡搁浅长啥样？,943,652671,//i0.hdslb.com/bfs/archive/c814db4dad33948f641781880e6d3e41da1a093d.jpg,75871909,BV1kJ411U7Nj,1573895002,2019/11/16,17:3:22,05:54,2570,3193,4840,634,28555
9012年学艺术能赚多少钱？本艺术生现身说法！,916,297766,//i2.hdslb.com/bfs/archive/fca0650f99b432f75ad8f2092fdf010027485e26.jpg,75343515,BV1TE411e7Sb,1573531242,2019/11/12,12:0:42,10:35,1118,5131,11445,988,20821
生化7里的那些彩蛋，万圣节快乐,277,372955,//i1.hdslb.com/bfs/archive/baf7fd0b5f04a360f20cee4931cf1a270d10baaa.jpg,74063169,BV1VE41187Rb,1572598808,2019/11/1,17:0:8,05:26,538,2199,6043,135,17140
无主之地3超级短的彩蛋【墨鱼】,294,345385,//i1.hdslb.com/bfs/archive/c4e9e742b938550ae2a223bc0c5e8d41b3a09a33.jpg,73405773,BV1LE411a7sE,1572062420,2019/10/26,12:0:20,03:58,351,1444,2256,163,12903
无敌破坏王2互联网世界的那些彩蛋,307,392215,//i1.hdslb.com/bfs/archive/53b77725ada3ebf9f722bb15f402e16a389ee644.jpg,71654288,BV1RE411r7Jk,1571457606,2019/10/19,12:0:6,05:07,895,3245,4989,265,18323
漫展舞台下的up主们居然做这样的事？！,283,254372,//i2.hdslb.com/bfs/archive/a77e26e9731ea428254b1f1bdb09184fb13c69eb.jpg,70999498,BV1HE411Z7cA,1570939234,2019/10/13,12:0:34,04:49,947,1826,3245,125,14288
这5个据说很恐怖的网站真的恐怖吗？【墨鱼】,1437,612422,//i0.hdslb.com/bfs/archive/2ee2eaa88b8854f34e56cd511bb695e3c3131e00.jpg,69295592,BV1FE411R7GJ,1570161632,2019/10/4,12:0:32,06:58,6436,10830,21866,1111,46309
无主之地3很长很长的彩蛋【墨鱼】,508,533633,//i1.hdslb.com/bfs/archive/8f2a08cf72bf0132c8fa1994000f48170397ba07.jpg,69289038,BV1fE41197Y7,1569902416,2019/10/1,12:0:16,06:47,1524,3909,8331,572,24737
谷歌地图里的那些带艺术家,422,448335,//i2.hdslb.com/bfs/archive/c750409bc1cbe2ec9d2f8ccc67a4af82126d9824.jpg,68403640,BV1oJ41137yc,1569038427,2019/9/21,12:0:27,06:07,1446,3971,7028,382,22940
宅男的wifi升级计划,645,226093,//i0.hdslb.com/bfs/archive/9b6a04477f336e4a0686ec13e9e04ae5756c868a.jpg,68161215,BV1DJ411g7vG,1568805641,2019/9/18,19:20:41,06:33,2161,1627,1118,342,10223
无敌破坏王2那些应接不暇的彩蛋,449,485760,//i0.hdslb.com/bfs/archive/36c4c4b6b1cf3bd007f3e2c38b8e52a6b3190db7.jpg,67631164,BV17J411N7KU,1568433617,2019/9/14,12:0:17,04:50,1354,4434,9455,320,26701
绝命毒师里那些隐藏极深的彩蛋,636,513264,//i0.hdslb.com/bfs/archive/5f75792c51a2edf9fe280cc553e57b534465af24.jpg,66864988,BV1x4411k74W,1567828846,2019/9/7,12:0:46,05:09,814,4129,6590,478,21686
最累人的“捉迷藏”游戏,449,242197,//i1.hdslb.com/bfs/archive/778f5d92ac30403235e76beb81d209dde66ea976.jpg,66131902,BV19441127mc,1567231963,2019/8/31,14:12:43,08:31,895,702,719,105,8183
杯状男子的悲剧人生 茶杯头的彩蛋,653,614965,//i1.hdslb.com/bfs/archive/47ad5b274d1026001cc74e90d0d54e5d33f41fbf.jpg,65230271,BV1T4411k7cz,1566705615,2019/8/25,12:0:15,04:49,1702,6286,13127,404,33266
憨憨勇者的崩溃之旅,617,247638,//i0.hdslb.com/bfs/archive/8d24bd382abd7948e99513dfd28cfdebd2072ac0.jpg,65037793,BV1T4411r721,1566644439,2019/8/24,19:0:39,06:47,652,956,722,200,8352
疯狂动物城那些你可能错过的彩蛋,864,605262,//i0.hdslb.com/bfs/archive/cbd6d8ee4622769ead26b3c7dba3521fa153c037.jpg,63831035,BV1H4411U7rq,1566028856,2019/8/17,16:0:56,05:38,5231,6020,11139,509,34815
csgo里这些彩蛋不太光彩,986,1107319,//i2.hdslb.com/bfs/archive/656166a1857d1cbac73eda7cc9ed26891b65c88d.jpg,63109709,BV1C4411X7Rn,1565503222,2019/8/11,14:0:22,05:54,3358,8754,13601,1367,41788
最大的地图软件里意外拍到的稀奇事物,873,738223,//i1.hdslb.com/bfs/archive/3477c456bc6d701e6091d478f6238d09c2eb70c1.jpg,62025076,BV1zt411u7rU,1564819717,2019/8/3,16:8:37,04:24,2679,6027,7707,423,33106
杀手赦免又大又圆的彩蛋,555,559918,//i1.hdslb.com/bfs/archive/e87af82242f518328b8f51e02ff6bf72491a4b6f.jpg,60969479,BV1jt411P724,1564214456,2019/7/27,16:0:56,06:23,2198,5475,12178,253,29071
【裸本求死日常】不开枪只开车能走多远？,483,408714,//i1.hdslb.com/bfs/archive/b3e83d5ab61144f764a91fe2de55ca515176efd8.jpg,60618636,BV1Rt411L7A2,1564027235,2019/7/25,12:0:35,07:08,1492,1558,2563,124,14121
每天拿在手里的钱居然也有这么多彩蛋？,982,463032,//i0.hdslb.com/bfs/archive/f35ba5f6e02d4f849ba87e33e7a4921fc143b8cd.jpg,59758917,BV1bt41137dg,1563604229,2019/7/20,14:30:29,04:25,2317,3239,4382,411,18969
四个猛男的捉迷藏游戏,552,557114,//i1.hdslb.com/bfs/archive/0d70de75709321a8677ae372151fcded4c2de930.jpg,58948710,BV1Wt411L7wN,1563006649,2019/7/13,16:30:49,11:38,1957,2794,3408,558,17177
终于百万了 这期视频做点不一样的,1225,515317,//i0.hdslb.com/bfs/archive/e285fe033037473e5e5bfdf5bb238a1f8ed70707.jpg,57977791,BV1s4411c7WK,1562401852,2019/7/6,16:30:52,10:39,3466,4485,12131,193,29648
cf我有加特林我能一统三国吗？,681,308642,//i1.hdslb.com/bfs/archive/903f9f12b23efe385c18826dd03f292c87eedc11.jpg,57971614,BV1W4411c72L,1562338389,2019/7/5,22:53:9,07:28,732,676,1007,95,7884
B站的那些彩蛋，老用户看了都沉默了！！！,5634,1491835,//i1.hdslb.com/bfs/archive/86c5124a967dd5c6a45f22577377a15cd23f2b03.jpg,57160736,BV1Yx41197Hu,1561795212,2019/6/29,16:0:12,05:43,7566,46932,265771,3208,197273
看了那么久的海贼王你有注意到这些吗？,944,546469,//i1.hdslb.com/bfs/archive/9c154ffa94fce8f7a1e3768805d6010f06971d9e.jpg,56434354,BV1q4411u7NU,1561191309,2019/6/22,16:15:9,05:13,1782,7663,13876,1089,28340
光头杀手潜入少妇豪宅结果竟然……,608,699962,//i0.hdslb.com/bfs/archive/ad27c25e43d5b6be2fbe1de78aa86052c33b16f8.jpg,55561194,BV1f4411P7Hy,1560589201,2019/6/15,17:0:1,05:50,1998,6269,9312,394,26619
心机少年带你攻城拔寨,333,172258,//i1.hdslb.com/bfs/archive/c32816a6fe54057c63ed091c858a0ff89608543d.jpg,55283733,BV1x4411K7Un,1560255041,2019/6/11,20:10:41,05:33,386,10525,5866,5131,15648
