title,comment,play,pic,aid,bvid,created,date,time,length,video_review,favorite,coin,share,like
【潇洒】真正该被教育的，是我们的家长,1189,160590,//i2.hdslb.com/bfs/archive/7d4df8e89e064a210c4edacbbe41d3add605f892.jpg,925921242,BV1BT4y1E7a6,1591013710,2020/6/1,20:15:10,12:13,935,3799,6411,493,17071
【潇洒】饕餮：上古凶兽的奇怪打开方式【潇洒观山海番外01】,1053,297146,//i0.hdslb.com/bfs/archive/021e054a9f57e489a0207745475818e24ec62477.jpg,370388536,BV15Z4y1477e,1587734032,2020/4/24,21:13:52,12:09,2423,3933,7119,340,22946
【潇洒】禁食狗肉立法就离谱，我 反 对！【潇洒一辣】,72593,3411366,//i0.hdslb.com/bfs/archive/873410ba061be8338692032f2060dd4366a49eaa.jpg,327802333,BV1HA411b7w5,1587125139,2020/4/17,20:5:39,14:31,105165,161412,497350,61766,475079
【潇洒】一省包一城！32张海报复习武汉战疫，进来找找你的省份？,4077,288898,//i0.hdslb.com/bfs/archive/0d191df439ca9c4329082794c126017410fe1dd2.jpg,242631431,BV1ye411x7Hp,1586692309,2020/4/12,19:51:49,33:00,6509,24324,54266,8679,48826
2019最猛逆袭动画！科技霸权VS人类命运共同体，越看越上头！【国动万象】,1851,618084,//i2.hdslb.com/bfs/archive/4744640c0f7c6522236222edc32000920e834281.jpg,93763716,BV1sE411x7hy,1583409918,2020/3/5,20:5:18,13:36,2372,8250,13197,1358,35925
惊艳全球的中国水墨动画，为何断了传承？【国动万象】,1150,261684,//i2.hdslb.com/bfs/archive/274daa43b64f5495749ec8aa7ac2c8f12c802e12.jpg,87303886,BV1U7411b7fa,1581077758,2020/2/7,20:15:58,08:59,2075,4043,7471,339,21853
你渴望唤醒第二人格吗？【肾入解读】,1094,258781,//i2.hdslb.com/bfs/archive/cf9e81672787e63fb08537184bd826bcb677f346.jpg,81292770,BV1qJ41187co,1580040600,2020/1/26,20:10:0,12:37,2278,4464,6981,350,20301
医生之子万字肺腑之言，请把信任还给中国医患（一）【潇洒一辣】,5462,649353,//i2.hdslb.com/bfs/archive/bcf300dbed2b1c857ca9072691ea9e95b4d70c5f.jpg,83911287,BV1t7411i7Nd,1579320300,2020/1/18,12:5:0,11:08,5171,35602,85300,6160,84133
大IP改编为何烂作频出？浅谈网络小说、轻小说、漫画的改编优势,1981,327754,//i2.hdslb.com/bfs/archive/1857a55f7d9dbfcb01fefa0f24f0bdc6d27510bb.jpg,81301667,BV1QJ41187js,1578053410,2020/1/3,20:10:10,08:24,2724,2822,4456,219,17803
天官赐福和三体会掉链子吗？2020国创霸权拉胯大预测！【国动万象＆国动荟萃】,4978,373091,//i1.hdslb.com/bfs/archive/352637f5d3923b7fcd7aef0c27485fbecf1659a3.jpg,79861247,BV1DJ411t7MM,1576757940,2019/12/19,20:19:0,15:04,7582,10724,27868,858,37614
全网最全！1个视频看完龙的23种起源！重新认知“龙的传人”！【潇洒观山海•龙02】,4358,825761,//i2.hdslb.com/bfs/archive/8bb24ff55ade196531458031d7b6d64faca3c761.jpg,78228985,BV1eJ411i7US,1575633928,2019/12/6,20:5:28,23:01,10528,54505,127910,6922,100503
为啥90后童年百花齐放，00后童年只有喜羊羊？【国动万象】,8604,1565871,//i2.hdslb.com/bfs/archive/b09c966d2eb181d19f14bb6c2ce21147a3de9e15.jpg,74841626,BV1yE411i74f,1573128021,2019/11/7,20:0:21,15:37,20186,24193,53839,4724,82525
十二生肖为啥只有龙是假的？【潇洒观山海•龙01】,3494,760149,//i2.hdslb.com/bfs/archive/595a9ff6363b4a3c172eead0cf77c97a8c488160.jpg,74062716,BV15E41187p3,1572527265,2019/10/31,21:7:45,05:13,4978,20137,53544,1709,71341
提前剧透《灵笼》第七集！前半季剧情总结+伏笔挖掘【国动万象】,1756,413817,//i2.hdslb.com/bfs/archive/ebe46a1f5f4f239b5412f06bf6d0d2125b5dc9a4.jpg,70839404,BV1aE411o787,1570795530,2019/10/11,20:5:30,15:24,4262,18918,47477,3450,45117
自来水头子联合献唱，今天我们都是骄傲的少年,807,285417,//i2.hdslb.com/bfs/archive/b704097dacd3495ad93ec7947a85005cd25fea0d.jpg,69397858,BV1hE411R7ru,1569902416,2019/10/1,12:0:16,04:19,1466,7819,10844,1323,27630
你以为罗小黑是低龄动画？它只是把你变成了孩子【国动万象】,2232,370624,//i2.hdslb.com/bfs/archive/9cbac01ec54ccf15639a0a6458265e3c9947e400.jpg,67241919,BV1uJ411K7h9,1568116842,2019/9/10,20:0:42,10:18,5456,17441,42076,3569,47640
这些山海经异兽竟是古代巫师的cosplay？【潇洒观山海03】,1566,447934,//i1.hdslb.com/bfs/archive/b39b768a45d19b55ba26bf5f678e45f2d98be371.jpg,66403969,BV1v441117iq,1567512006,2019/9/3,20:0:6,13:21,5256,25626,66741,2623,59798
剑指40亿！《哪吒》凭什么？凭它是中国影史上第一部真正的合家欢！【国动万象】,7019,1427127,//i0.hdslb.com/bfs/archive/bd15efe18e2a7928b0dce4e09d11d3081484b570.jpg,62232809,BV1Gt411M7XP,1564930860,2019/8/4,23:1:0,11:09,16264,44209,119130,6483,135261
2D就是良心3D就是省钱？你可能对动画有点误解【国动万象】,3292,374818,//i2.hdslb.com/bfs/archive/4da5e03c3376f0f08ed54905547f677ba0a2cf28.jpg,59846281,BV1ut411n7aZ,1563624038,2019/7/20,20:0:38,06:22,2245,6025,14134,427,26664
awsl！在山海经里养宠物是什么体验？【潇洒观山海02】,2607,753677,//i1.hdslb.com/bfs/archive/178235fb557fa96475db32c065e2bf3b2d5c5282.jpg,58283285,BV1M4411F779,1562558432,2019/7/8,12:0:32,15:40,15945,37590,92139,1883,81016
沙雕网友用山海体来写现代事物，肚子都笑痛了【潇洒读评论01】,2063,747807,//i0.hdslb.com/bfs/archive/07c9cb0ab48eb61ba2dda6241ee945ba4d7e92bd.jpg,57489846,BV1ax411X7B6,1561986786,2019/7/1,21:13:6,07:25,4302,27921,64237,4642,69443
全屏秒杀！那些出场自带地图buff的山海经异兽【潇洒观山海01】,9142,1593243,//i2.hdslb.com/bfs/archive/c735bb6d5fe7e5c72c6578897e2ff2dacc245df1.jpg,56617044,BV1W4411g7EL,1561303653,2019/6/23,23:27:33,15:32,14750,61755,139923,5501,129066
久仰大名却半字未读？一个视频带你周游《山海经》【潇洒观山海00】,4510,1463619,//i2.hdslb.com/bfs/archive/8d6406c72f266ebc8c49d2e2b7a7b3d834df9371.jpg,55103421,BV1E4411N7Yd,1560089920,2019/6/9,22:18:40,14:56,14309,113340,257391,9534,208374
这部国产偶像番被国人轻视，却反向输出日本？【国动万象】,1641,238973,//i2.hdslb.com/bfs/archive/c342acb96191cf734d972d3ffdd3e9dc1fcc1bc7.jpg,48721112,BV11b411u7X8,1554725518,2019/4/8,20:11:58,07:11,1402,3340,5255,634,11410
你喜欢镇魂街的魔改吗？【国动万象】,1275,188977,//i2.hdslb.com/bfs/archive/d88f39ef031d7ee11e2f550660cfac7e62690c78.jpg,48171998,BV1Lb411W7KR,1554379247,2019/4/4,20:0:47,06:06,1406,1497,3551,117,8272
“多大的人了还看动画？”,9104,1670722,//i2.hdslb.com/bfs/archive/0a1ed5bd03d4510bbaed8e4f654c8527b3c549ce.jpg,46947457,BV1mb411j7md,1553256025,2019/3/22,20:0:25,07:49,14506,45258,119551,6826,112452
国产动画为何不如美日？因为不会赚钱【潇洒一辣】,7603,377191,//i2.hdslb.com/bfs/archive/83bc93b1cd75d705273089cf95d5a989149a40be.jpg,46459256,BV1rb411J7c7,1552737767,2019/3/16,20:2:47,16:35,4842,16903,43041,1857,37044
