UPname,avid0,avid1,avid2,avid3,avid4,avid5,avid6,avid7,avid8,avid9,avid10,avid11,avid12,avid13,avid14,avid15,avid16,avid17,avid18,avid19,avid20,avid21,avid22,avid23,avid24,avid25,avid26,avid27,avid28,avid29,avid30,avid31,avid32,avid33,avid34,avid35,avid36,avid37,avid38,avid39,avid40,avid41,avid42,avid43,avid44,avid45,avid46,avid47,avid48,avid49
-欣小萌-,456025297,370921493,753482306,370895896,795754870,710871687,200805003,243217857,285636615,498082939,925281208,412787851,242749095,837599929,99515273,94136414,90890263,88000335,87563436,83704889,82813706,82225361,79266928,78135967,77471909,77147348,76413823,75967047,75710478,73439530,70987622,69427114,68815060,67630150,67457647,66884419,65665713,65132517,64385279,63690966,63100439,62618087,61733230,61010724,60399721,59530318,59440922,58313141,57331157,56643023
-纯黑-,200865832,455702051,243126199,285550317,243097448,497947252,752909437,667822413,412752766,667874647,412789708,625269317,837703365,497712391,882661719,455197087,667562156,242584855,412537715,98712796,98190117,97696348,97632787,97477234,97477064,97151025,96923399,96862936,95856665,95750952,95335623,93176068,91498557,90020825,89185039,88258399,86033518,85851349,84992465,84538133,82989035,81429965,81370868,81272299,80094676,77544767,77421822,77350635,77266387,74048503
=咬人猫=,243383166,583287843,925374962,497794736,497594135,89206622,85359480,81232875,77166462,69874552,67456873,63670855,55650303,54784637,54841002,54142108,52727612,50530804,42463258,38677044,37049274,33131459,31715666,30724586,29523121,29013765,26252517,23914769,20536702,16628021,15572523,12960592,11022534,10501369,8614487,8182926,7808885,7495672,6945785,6683560,6471208,6117110,5682645,5372796,5151020,4686255,4246624,4061568,3777820,3589326
ilem,243019509,285194438,80155822,66469792,65108599,55701764,55287468,50850238,50517318,49812603,49686893,48902566,48968906,47148472,46980139,46148392,45657535,45020985,44392242,44255110,43426592,39330059,37813841,33640798,28381447,23909596,18426282,14678451,11152762,9937776,9372087,7400996,5838968,5350871,4809328,4496165,4222799,3905495,3709035,3444039,3179885,3111452,3031443,2609801,2416925,2293806,2191330,2129461,2025532,1971745
KBShinya,243588654,243425707,925852086,413279468,370746976,200692208,200581944,243046659,200426028,455307637,200063496,540000052,98691240,795034310,98781534,95752547,95370962,92430302,91065378,89122213,88443792,88062807,87932934,86449235,85882400,85497778,84584217,83839472,83634471,83087826,82630423,79820120,79062126,78093572,77186755,75733434,75223254,75095411,73631475,71711763,70422201,69826883,69743976,68960996,68416008,68141102,66993213,66959967,65943705,65750923
kei和marin,840886766,710981693,668369909,328206986,328053550,667963118,99804716,96501939,92689725,87935194,85540561,84951133,84282324,83932786,81785768,80863359,77814961,76607921,75566061,74974344,74152345,73738297,71525034,71218539,70878482,69918318,68933209,68153467,67281091,66621433,66293307,65477669,64885565,64592190,64023359,63550168,62649117,62049069,60192212,59299416,58362965,57842698,56804128,56333393,55701941,55569531,55280436,53874542,53449329,53169421
Kevin英语情报局,925934089,243251843,753164987,455742614,925478488,540146684,967612166,94123336,90283726,86636341,83289669,82771516,80744273,79628023,78396565,77574874,76882727,74126849,71664547,71011895,70858721,69318645,68735908,67736727,66939433,65559468,64255996,62952108,61584115,60925062,60020864,59566161,59344590,57500109,56508766,54934282,54542600,53561987,52807748,52032442,50586613,49827884,49158191,48515463,48385560,47571499,47123508,46838939,46095300,45076924
LexBurner,370927182,498348743,838334220,370788078,883160201,455590234,328039260,837897167,667957213,795347283,412787851,327745594,882688319,327604379,98119541,95424858,93796227,91878989,90381146,87498274,86287538,85966811,84988689,84754153,84554152,84113614,82976636,82968958,81417219,81135857,80110877,79903305,78525944,78361795,77326438,76359284,75993929,74262698,73641230,73174969,71625927,71304256,70844825,70152557,69700706,69359661,68930825,66649415,66029350,65527015
OELoop,328603860,668406923,795787778,668060325,840541318,540479667,795339592,925134033,96545660,95959919,85965831,85496132,85054548,82930983,82899838,81474544,78103119,74138768,71569261,70674086,69514696,67607026,67432049,66377168,63206112,61317850,60606185,56435557,54142790,51993656,50706313,49426800,48245147,46216850,43016773,41620079,41576115,40444882,38823874,38575395,36921674,35520237,34630450,33681211,33134873,32014951,31367677,30257137,27072766,25544643
STN工作室,328622188,498413430,498446245,838438010,840885758,540901887,540920498,795808865,968264036,883353511,285779844,883367251,753365416,370724207,753135503,925691727,370680363,328158291,840744665,200631630,710715413,413015166,838059196,795607039,370484495,795378839,285472040,285456935,967912133,795382439,882950206,497892892,795281312,840274389,455265622,882860691,412644270,497655889,540131030,540209867,412712882,752592203,455089090,497527811,455072812,98704219,98452559,98009278,97032642,96791120
zettaranc,840932128,968289424,243215306,967944442,540393686,540358392,497686517,97577955,96128177,94049236,92509614,90650123,90077413,87448943,85720592,81975308,81540950,81061139,80617966,79147093,77972457,77616999,77361668,76797541,76544553,75748681,75158794,74906386,74163872,73865990,73419908,71552288,70258715,68434586,67796514,67414323,66763940,66093208,64472466,63135121,61773370,61078670,59928118,59089615,58689121,57285232,56240425,55616477,55224054,54671188
三无Marblue,626104100,413462544,883192334,625196747,242552218,99321696,91062089,89013546,86033291,83834232,81423028,80485252,79741449,79372874,78276055,76450224,74903257,73261961,69707530,68960996,68626007,68167308,67685245,66920995,63984638,62798958,61562427,61117121,59039160,58622335,57535633,57389227,55738877,54690393,52554795,51316882,49596271,49067889,48426261,47148472,46572559,44346024,43435896,42153737,40948553,40394565,39890012,39161818,38744900,38268426
与山0v0,413506852,328472174,285831875,285790672,370779347,710776909,328178981,625707675,710521307,753094424,925465289,412858341,540489571,200472713,925295665,412769308,327659588,582625653,710068412,99974460,98633649,98853503,98055953,97477999,96092775,95302001,94490301,93727150,93058587,92546483,92017200,91503544,90502965,88585495,87892744,87035065,86620291,85684530,85360588,84931240,84499806,83721486,83461404,83195412,82517923,82323393,81901314,81438878,80879409,80742376
东尼ookii,795970396,668456246,583277619,795795973,285794133,243147137,498018221,413046778,582888868,370447066,840438883,455357760,285235818,667726387,795164854,327566248,100337685,99245676,98057110,96478812,96327326,94827820,93812324,92527420,90909713,89629873,88357359,87022904,86220261,85446227,84874983,84499225,83791710,83560176,81975613,81173611,79970058,79828649,78815657,78258704,77641663,76489931,74958353,74296555,73878213,73140705,71534849,71300728,71088442,69978069
中国BOY超级大猩猩,371119945,968573076,243421756,413474542,413271272,668312610,498287023,200793610,540805667,455710142,328155436,925663778,243074793,498049241,455596000,753045246,840488720,625376057,327788944,667772138,625276754,412787851,925278059,840136516,540167962,327530580,99792935,99330497,98497198,97391635,97147104,97007793,96387334,95855702,94624679,94416892,93932830,93418049,92870088,92538218,92166013,91243304,90880181,90221926,89540636,88646022,88202799,87528097,86883558,86276406
